beetag_exprun,col_num,exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID,red_day1,red_day11,red_delta,resp_rate,e_coli_plate,PAM_avg_day1,PAM_avg_day11,PAM_delta,log_PAM_delta
G37Y30_exp2B,216,2,B,A,5,A_5,20,S,A,S_A,A_5_20_S_A,0.39516,0.40329,0.00813,-0.00505,1,0.27,0.331,0.061,-2.796881415
G35Y24_exp2A,220,2,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,0.48458,0.4443,-0.04028,NA,NA,0.444,0.061,-0.383,-0.95972029
G38Y37_exp1B,167,1,B,A,5,A_5,20,S,S,S_S,A_5_20_S_S,0.67775,0.71221,0.03446,-0.00375,0,0.264,0.252,-0.012,-4.422848629
G27Y59_exp1A,157,1,A,A,5,A_5,20,S,S,S_S,A_5_20_S_S,0.59235,0.66727,0.07492,-0.00559,1,0.396,0.517,0.121,-2.111964733
G36Y22_exp2B,170,2,B,A,5,A_5,20,F,A,F_A,A_5_20_F_A,0.63516,0.63504,-0.00012,-0.00396,0,0.428,0.063,-0.365,-1.007857925
Y23B1927_exp1B,167,1,B,A,7.5,A_7.5,20,S,S,S_S,A_7.5_20_S_S,0.4624,0.63279,0.17039,-0.00293,0,0.381,0.529,0.148,-1.910543005
G32Y93_exp3A,241,3,A,A,5,A_5,20,S,S,S_S,A_5_20_S_S,0.53379,0.62806,0.09427,-0.01322,1,0.586,0.088,-0.498,-0.697155202
W20O87_exp3B,256,3,B,A,10,A_10,30,S,S,S_S,A_10_30_S_S,0.57907,0.62511,0.04604,NA,NA,0.554,0.559,0.005,-5.298317367
W3O17_exp3B,252,3,B,A,0,A_0,30,F,S,F_S,CNTRL_30_F_S,0.58953,0.60997,0.02044,-0.0032,1,0.537,0.217,-0.32,-1.139434283
B33G95_exp1A,157,1,A,A,0,A_0,30,S,S,S_S,CNTRL_30_S_S,0.63849,0.6038,-0.03469,-0.00826,0,0.347,0.571,0.224,-1.496109227
Y10B50_exp2B,170,2,B,A,7.5,A_7.5,20,F,A,F_A,A_7.5_20_F_A,0.53426,0.60161,0.06735,-0.00286,0,0.5,0.552,0.052,-2.95651156
G37Y30_exp1A,157,1,A,A,5,A_5,30,S,A,S_A,A_5_30_S_A,0.59675,0.60057,0.00382,-0.00644,1,0.193,0.495,0.302,-1.197328262
G33Y94_exp1B,167,1,B,A,5,A_5,30,F,A,F_A,A_5_30_F_A,0.53062,0.59465,0.06403,-0.00347,0,0.312,0.188,-0.124,-2.087473713
Y23B3299_exp2A,198,2,A,A,7.5,A_7.5,30,S,A,S_A,A_7.5_30_S_A,0.37109,0.582,0.21091,-0.00258,1,0.348,0.51,0.162,-1.820158944
G33Y1_exp1B,181,1,B,A,5,A_5,30,F,S,F_S,A_5_30_F_S,0.56963,0.57779,0.00816,-0.00361,0,0.404,0.545,0.141,-1.958995389
G33Y95_exp1B,178,1,B,A,5,A_5,30,F,A,F_A,A_5_30_F_A,0.45856,0.56433,0.10577,-0.00327,1,0.295,0.079,-0.216,-1.532476871
G32Y88_exp1A,145,1,A,A,5,A_5,30,F,A,F_A,A_5_30_F_A,0.54249,0.56175,0.01926,-0.00504,0,0.396,0.325,-0.071,-2.645075402
G33Y100_exp1B,167,1,B,A,5,A_5,30,F,S,F_S,A_5_30_F_S,0.51585,0.56026,0.04441,-0.00447,0,0.401,0.418,0.017,-4.074541935
R12W60_exp1A,157,1,A,A,10,A_10,30,F,S,F_S,A_10_30_F_S,0.5002,0.55502,0.05482,-0.00868,0,0.406,0.402,-0.004,-5.521460918
Y12B65_exp1B,167,1,B,A,5,A_5,30,S,S,S_S,A_5_30_S_S,0.50261,0.55469,0.05208,-0.00471,0,0.372,0.234,-0.138,-1.980501594
Y3B28_exp1B,167,1,B,A,7.5,A_7.5,30,F,S,F_S,A_7.5_30_F_S,0.53557,0.55176,0.01619,-0.00354,0,0.386,0.43,0.044,-3.123565645
R20W92_exp2B,223,2,B,A,10,A_10,30,S,S,S_S,A_10_30_S_S,0.54156,0.54998,0.00842,-0.00314,1,0.519,0.02,-0.499,-0.695149183
G32Y92_exp1A,152,1,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,0.60385,0.54613,-0.05772,-0.00283,0,0.359,0.374,0.015,-4.199705078
G36Y28_exp1A,155,1,A,A,5,A_5,20,F,S,F_S,A_5_20_F_S,0.57575,0.53782,-0.03793,-0.0028,1,0.335,0.47,0.135,-2.002480501
B29G67_exp2A,233,2,A,A,0,A_0,30,S,A,S_A,CNTRL_30_S_A,0.52761,0.5375,0.00989,NA,NA,0.422,0.431,0.009,-4.710530702
R13W65_exp2A,205,2,A,A,10,A_10,20,S,S,S_S,A_10_20_S_S,0.48712,0.53747,0.05035,-0.00314,0,0.526,0.458,-0.068,-2.688247574
O10G20_exp3B,252,3,B,A,5,A_5,20,F,S,F_S,A_5_20_F_S,0.41418,0.5352,0.12102,NA,NA,0.562,0.366,-0.196,-1.62964062
B13G10_exp1B,167,1,B,A,0,A_0,30,F,S,F_S,CNTRL_30_F_S,0.48781,0.53401,0.0462,-0.00427,0,0.409,0.433,0.024,-3.729701449
B34G3106_exp2B,198,2,B,A,0,A_0,30,S,S,S_S,CNTRL_30_S_S,0.51303,0.53264,0.01961,-0.00248,0,0.533,0.545,0.012,-4.422848629
G32Y93_exp1A,157,1,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,0.67688,0.53094,-0.14594,-0.00785,0,0.4,0.209,-0.191,-1.655481851
R7W39_exp1A,155,1,A,A,10,A_10,20,F,S,F_S,A_10_20_F_S,0.477,0.52988,0.05288,NA,NA,0.334,0.369,0.035,-3.352407217
B26G48_exp1B,167,1,B,A,0,A_0,20,F,A,F_A,CNTRL_20_F_A,0.53307,0.52948,-0.00359,NA,NA,0.333,0.541,0.208,-1.570217199
B13G2_exp1B,167,1,B,A,0,A_0,30,F,A,F_A,CNTRL_30_F_A,0.54838,0.5292,-0.01918,-0.00317,0,0.174,0.126,-0.048,-3.036554268
Y23B3299_exp1B,182,1,B,A,7.5,A_7.5,20,S,S,S_S,A_7.5_20_S_S,0.48704,0.52867,0.04163,-0.00356,1,0.442,0.563,0.121,-2.111964733
R7W38_exp1A,152,1,A,A,10,A_10,20,F,S,F_S,A_10_20_F_S,0.51144,0.52786,0.01642,-0.01477,1,0.25,0.503,0.253,-1.37436579
G35Y24_exp3A,241,3,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,0.48433,0.52749,0.04316,-0.0057,0,0.538,0.516,-0.022,-3.816712826
Y13B74_exp3A,241,3,A,A,7.5,A_7.5,30,S,S,S_S,A_7.5_30_S_S,0.36128,0.52587,0.16459,-0.00498,0,0.582,0.556,-0.026,-3.649658741
W13O59_exp3B,253,3,B,A,7.5,A_7.5,30,F,S,F_S,A_7.5_30_F_S,0.36677,0.52566,0.15889,NA,NA,0.563,0.062,-0.501,-0.691149178
B33G90_exp2B,170,2,B,A,0,A_0,30,F,A,F_A,CNTRL_30_F_A,0.53134,0.52453,-0.00681,-0.0078,0,0.452,0.27,-0.182,-1.703748592
O4B24_exp3B,254,3,B,A,0,A_0,20,S,S,S_S,CNTRL_20_S_S,0.5333,0.52125,-0.01205,-0.00509,0,0.584,0.385,-0.199,-1.614450454
Y20B95_exp1B,178,1,B,A,7.5,A_7.5,20,F,A,F_A,A_7.5_20_F_A,0.4704,0.52095,0.05055,-0.00422,0,0.375,0.075,-0.3,-1.203972804
R14W73_exp1B,167,1,B,A,10,A_10,20,S,S,S_S,A_10_20_S_S,0.58332,0.52085,-0.06247,-0.00391,0,0.382,0.161,-0.221,-1.509592577
Y7B41_exp2A,209,2,A,A,7.5,A_7.5,20,F,A,F_A,A_7.5_20_F_A,0.42746,0.51713,0.08967,NA,NA,0.501,0.579,0.078,-2.551046452
R13W64_exp2A,233,2,A,A,10,A_10,20,S,S,S_S,A_10_20_S_S,0.52546,0.51672,-0.00874,-0.00414,1,0.323,0.117,-0.206,-1.57987911
G29Y70_exp2B,170,2,B,A,5,A_5,30,F,A,F_A,A_5_30_F_A,0.42281,0.51665,0.09384,-0.00551,0,0.502,0.082,-0.42,-0.867500568
Y4B33_exp1B,171,1,B,A,7.5,A_7.5,30,S,S,S_S,A_7.5_30_S_S,0.53661,0.51591,-0.0207,-0.00635,0,0.302,0.453,0.151,-1.890475442
G35Y12_exp1B,167,1,B,A,5,A_5,20,F,A,F_A,A_5_20_F_A,0.52175,0.51584,-0.00591,-0.00276,0,0.341,0.564,0.223,-1.500583508
B33G95_exp2B,226,2,B,A,0,A_0,30,F,S,F_S,CNTRL_30_F_S,0.39021,0.51502,0.12481,-0.00502,1,0.577,0.196,-0.381,-0.964955904
