beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
B27G53_exp2B,-0.00593,-0.02355,-2.551046452,CNTRL_20_A,0,20,A,0,170
B30G72_exp2B,-0.0042,0.00345,-1.692819521,CNTRL_20_A,0,20,A,0,215
O3B13_exp3B,-0.0044,0.00093,-2.353878387,CNTRL_20_A,0,20,A,0,242
B23G34_exp3A,-0.00535,0.01885,-4.605170186,CNTRL_20_A,0,20,A,0,237
B26G49_exp1B,-0.00293,-0.06258,-1.435484605,CNTRL_20_A,0,20,A,0,178
B28G58_exp1B,-0.00356,0.01479,-2.733368009,CNTRL_20_A,0,20,A,0,168
B34G97_exp1A,-0.00265,-0.04572,-0.970219074,CNTRL_20_A,0,20,A,0,162
O4B21_exp3B,-0.0041,-0.02152,-2.95651156,CNTRL_20_A,0,20,A,0,242
B24G39_exp1A,-0.00299,0.0683,-1.474033275,CNTRL_20_A,0,20,A,0,152
B23G33_exp2A,-0.00501,0.01248,-2.847312268,CNTRL_20_A,0,20,A,0,194
B24G38_exp3A,-0.00293,0.01943,-1.335601247,CNTRL_20_A,0,20,A,0,235
O4B24_exp3B,-0.00509,-0.01205,-1.614450454,CNTRL_20_S,0,20,S,0,254
B28G62_exp1B,-0.00529,-0.0256,-1.070024832,CNTRL_20_S,0,20,S,0,167
B24G41_exp2A,-0.00357,0.01876,-3.9633163,CNTRL_20_S,0,20,S,0,201
B30G75_exp2B,-0.00269,0.01956,-3.688879454,CNTRL_20_S,0,20,S,0,217
B24G41_exp3A,-0.00401,-0.03092,-0.908818717,CNTRL_20_S,0,20,S,0,240
B26G51_exp1B,-0.00185,-0.03783,-1.061316504,CNTRL_20_S,0,20,S,0,166
B34G3106_exp1A,-0.003,-0.03469,-3.270169119,CNTRL_20_S,0,20,S,0,144
O3B15_exp3B,-0.00443,0.00687,-5.298317367,CNTRL_20_S,0,20,S,0,247
B23G36_exp2A,-0.00594,0.04591,-0.8603831,CNTRL_20_S,0,20,S,0,193
B27G56_exp2B,-0.00282,-0.03467,-0.908818717,CNTRL_20_S,0,20,S,0,211
B24G40_exp1A,-0.00184,-0.12529,-1.220779923,CNTRL_20_S,0,20,S,0,143
B13G2_exp1B,-0.00317,-0.01918,-3.036554268,CNTRL_30_A,0,30,A,0,167
B33G90_exp2B,-0.0078,-0.00681,-1.703748592,CNTRL_30_A,0,30,A,0,170
B33G92_exp1A,-0.00177,0.05592,-2.847312268,CNTRL_30_A,0,30,A,0,154
W3O13_exp3B,-0.00442,-0.02204,-6.907755279,CNTRL_30_A,0,30,A,0,242
B28G59_exp2A,-0.00683,0.02994,-2.18036746,CNTRL_30_A,0,30,A,0,210
B29G64_exp2A,-0.00312,-0.00713,-3.411247718,CNTRL_30_A,0,30,A,0,198
W4O21_exp3B,-0.00431,0.0138,-2.032557956,CNTRL_30_A,0,30,A,0,242
B25G44_exp1B,-0.00299,0.01057,-2.343407088,CNTRL_30_A,0,30,A,0,181
B34G100_exp2B,-0.00246,-0.00051,-2.253794929,CNTRL_30_A,0,30,A,0,224
B29G64_exp3A,-0.00318,0.02836,-2.688247574,CNTRL_30_A,0,30,A,0,237
B31G78_exp1A,-0.00086,-0.01249,-3.101092789,CNTRL_30_A,0,30,A,0,144
B33G95_exp1A,-0.00826,-0.03469,-1.496109227,CNTRL_30_S,0,30,S,0,157
B13G10_exp1B,-0.00427,0.0462,-3.729701449,CNTRL_30_S,0,30,S,0,167
B34G3106_exp2B,-0.00248,0.01961,-4.422848629,CNTRL_30_S,0,30,S,0,198
B29G70_exp2A,-0.00815,0.05818,-0.837017551,CNTRL_30_S,0,30,S,0,205
B25G46_exp1B,-0.00146,-0.00314,-1.966112856,CNTRL_30_S,0,30,S,0,167
W3O15_exp3B,-0.00511,0.0403,-1.350927217,CNTRL_30_S,0,30,S,0,248
B28G62_exp3A,-0.00305,-0.00882,-3.772261063,CNTRL_30_S,0,30,S,0,240
B28G62_exp2A,-0.00542,0.0054,-3.101092789,CNTRL_30_S,0,30,S,0,198
B29G70_exp3A,-0.00558,0.03729,-3.057607677,CNTRL_30_S,0,30,S,0,240
B31G79_exp1A,-0.00285,-0.0693,-1.725971729,CNTRL_30_S,0,30,S,0,144
W4O23_exp3B,-0.00352,-0.00397,-0.908818717,CNTRL_30_S,0,30,S,0,245
B33G93_exp2B,-0.00263,0.0006,-4.199705078,CNTRL_30_S,0,30,S,0,196
R5W21_exp2B,-0.00398,0.02046,-0.869884359,A_10_20_A,10,20,A,0,170
R11W50_exp3A,-0.00414,0.01192,-3.324236341,A_10_20_A,10,20,A,0,235
R14W71_exp1B,-0.00304,-0.00951,-2.111964733,A_10_20_A,10,20,A,0,180
O22W44_exp3B,-0.00237,0.01955,-2.145581344,A_10_20_A,10,20,A,0,242
O21W39_exp3B,-0.00596,-0.00688,-3.611918413,A_10_20_A,10,20,A,0,242
R8W40_exp1A,-0.00501,-0.06227,-2.292634762,A_10_20_A,10,20,A,0,154
R7W36_exp1A,-0.00296,0.00034,-1.251763468,A_10_20_A,10,20,A,0,144
R13W63_exp1B,-0.00454,-0.13245,-1.814005078,A_10_20_A,10,20,A,0,178
R13W63_exp3A,-0.00329,-0.00599,-4.074541935,A_10_20_A,10,20,A,0,237
R11W50_exp2A,-0.00314,-0.12772,-1.108662625,A_10_20_A,10,20,A,0,196
R13W65_exp2A,-0.00314,0.05035,-2.688247574,A_10_20_S,10,20,S,0,205
R14W73_exp1B,-0.00391,-0.06247,-1.509592577,A_10_20_S,10,20,S,0,167
R11W53_exp3A,-0.00404,-0.0354,-1.709258248,A_10_20_S,10,20,S,0,240
R13W65_exp1B,-0.00962,-0.05375,-3.772261063,A_10_20_S,10,20,S,0,167
R8W42_exp1A,-0.0073,-0.0455,-2.975929646,A_10_20_S,10,20,S,0,144
R5W24_exp2B,-0.00089,0.01469,-1.358679194,A_10_20_S,10,20,S,0,196
O21W42_exp3B,-0.00301,-0.12127,-0.605136303,A_10_20_S,10,20,S,0,252
O22W46_exp3B,-0.00528,-0.17735,-3.218875825,A_10_20_S,10,20,S,0,249
R6W31_exp2B,-0.00512,-0.00262,-3.324236341,A_10_20_S,10,20,S,0,217
R7W37_exp1A,-0.00584,-0.0538,-2.525728644,A_10_20_S,10,20,S,0,143
R11W53_exp2A,-0.0025,-0.14112,-2.312635429,A_10_20_S,10,20,S,0,198
R20W88_exp1A,-0.00595,0.00017,-1.339410775,A_10_30_A,10,30,A,0,165
R15W75_exp1B,-0.00175,-0.07947,-2.673648774,A_10_30_A,10,30,A,0,169
W20O84_exp3B,-0.01002,-0.03933,-3.015934981,A_10_30_A,10,30,A,0,242
R12W57_exp1A,-0.00502,-0.13528,-1.217395825,A_10_30_A,10,30,A,0,146
R21W95_exp2A,-0.00168,0.00911,-2.780620894,A_10_30_A,10,30,A,0,226
R1W3_exp1B,-0.00377,-0.02133,-1.224175512,A_10_30_A,10,30,A,0,178
W17O78_exp3B,-0.00541,-0.04881,-1.619488248,A_10_30_A,10,30,A,0,242
R12W56_exp2B,-0.00326,0.05848,-1.005121946,A_10_30_A,10,30,A,0,171
R17W80_exp3A,-0.00161,-0.01435,-1.427116356,A_10_30_A,10,30,A,0,235
R17W82_exp2A,-0.0018,-0.02781,-3.324236341,A_10_30_A,10,30,A,0,210
R21W94_exp3A,-0.00425,-0.00271,-4.422848629,A_10_30_A,10,30,A,0,237
R20W87_exp2B,-0.00416,-0.04015,-1.018877321,A_10_30_A,10,30,A,0,184
R12W60_exp1A,-0.00868,0.05482,-5.521460918,A_10_30_S,10,30,S,0,157
R17W84_exp3A,-0.00317,0.02739,-1.15518264,A_10_30_S,10,30,S,0,240
R1W6_exp1B,-0.00315,-0.0205,-2.3227878,A_10_30_S,10,30,S,0,167
W20O86_exp3B,-0.00644,-0.04324,-2.617295838,A_10_30_S,10,30,S,0,245
R21W100_exp3A,-0.00418,0.00426,-1.287354413,A_10_30_S,10,30,S,0,240
R17W84_exp2A,-0.00376,-0.08891,-1.57987911,A_10_30_S,10,30,S,0,200
R21W100_exp2A,-0.00199,-0.05692,-2.198225078,A_10_30_S,10,30,S,0,206
W17O80_exp3B,-0.0042,-0.04119,-1.005121946,A_10_30_S,10,30,S,0,248
R12W59_exp2B,-0.00395,-0.04917,-3.912023005,A_10_30_S,10,30,S,0,217
R20W92_exp1A,-0.00284,-0.01819,-3.473768074,A_10_30_S,10,30,S,0,153
R15W78_exp1B,-0.00309,-0.00065,-1.877317358,A_10_30_S,10,30,S,0,171
R20W90_exp2B,-0.00431,-0.0143,-3.296837366,A_10_30_S,10,30,S,0,200
G36Y22_exp2B,-0.00396,-0.00012,-1.007857925,A_5_20_A,5,20,A,0,170
G35Y12_exp1B,-0.00276,-0.00591,-1.500583508,A_5_20_A,5,20,A,0,167
O11G24_exp3B,-0.0037,-0.02855,-0.839329691,A_5_20_A,5,20,A,0,248
G32Y87_exp2A,-0.00651,0.10502,-1.903808973,A_5_20_A,5,20,A,0,197
G30Y76_exp3A,-0.00537,0.0027,-2.465104022,A_5_20_A,5,20,A,0,237
G37Y29_exp2B,-0.00376,-0.07831,-2.95651156,A_5_20_A,5,20,A,0,171
G36Y25_exp1A,-0.00531,-0.05074,-3.218875825,A_5_20_A,5,20,A,0,152
G38Y34_exp1B,-0.00208,-0.00862,-3.146555163,A_5_20_A,5,20,A,0,168
O10G14_exp3B,-0.00347,0.02782,-4.268697949,A_5_20_A,5,20,A,0,242
G32Y87_exp3A,-0.00382,-0.05228,-1.924148657,A_5_20_A,5,20,A,0,236
G27Y56_exp1A,-0.00562,-0.034873,-1.48722028,A_5_20_A,5,20,A,0,146
G38Y37_exp1B,-0.00375,0.03446,-4.422848629,A_5_20_S,5,20,S,0,167
G35Y23_exp1B,-0.00238,0.01628,-1.386294361,A_5_20_S,5,20,S,0,166
G27Y57_exp1A,-0.00334,-0.1034,-2.198225078,A_5_20_S,5,20,S,0,144
G32Y92_exp3A,-0.00526,-0.06799,-0.858021824,A_5_20_S,5,20,S,0,240
G36Y27_exp1A,-0.0038,0.05649,-2.563949857,A_5_20_S,5,20,S,0,151
G32Y92_exp2A,-0.00375,0.02852,-2.551046452,A_5_20_S,5,20,S,0,201
G36Y26_exp2B,-0.00422,0.02717,-1.737271284,A_5_20_S,5,20,S,0,191
G30Y79_exp2A,-0.00885,-0.03251,-1.114741671,A_5_20_S,5,20,S,0,220
O11G22_exp3B,-0.0037,-0.09202,-2.733368009,A_5_20_S,5,20,S,0,242
O10G17_exp3B,-0.00555,0.00362,-2.847312268,A_5_20_S,5,20,S,0,248
G30Y78_exp3A,-0.00765,0.02039,-3.772261063,A_5_20_S,5,20,S,0,239
G37Y32_exp2B,-0.00236,0.02138,-2.900422094,A_5_20_S,5,20,S,0,217
G33Y94_exp1B,-0.00347,0.06403,-2.087473713,A_5_30_A,5,30,A,0,167
G32Y88_exp1A,-0.00504,0.01926,-2.645075402,A_5_30_A,5,30,A,0,145
G29Y70_exp2B,-0.00551,0.09384,-0.867500568,A_5_30_A,5,30,A,0,170
G35Y14_exp2A,-0.00525,0.10003,-1.944910649,A_5_30_A,5,30,A,0,210
Y12B62_exp1B,-0.00114,0.00094,-1.217395825,A_5_30_A,5,30,A,0,169
G38Y35_exp2A,-0.0022,-0.03517,-3.863232841,A_5_30_A,5,30,A,0,221
W8O36_exp3B,-0.00703,0.04619,-2.47693848,A_5_30_A,5,30,A,0,242
G37Y29_exp1A,-0.00376,0.04325,-2.847312268,A_5_30_A,5,30,A,0,155
G31Y80_exp2B,-0.00415,-0.04537,-3.863232841,A_5_30_A,5,30,A,0,178
G38Y36_exp3A,-0.00591,0.02424,-2.63108916,A_5_30_A,5,30,A,0,238
G35Y21_exp3A,-0.00488,-0.00827,-2.162823151,A_5_30_A,5,30,A,0,237
G33Y1_exp1B,-0.00361,0.00816,-1.958995389,A_5_30_S,5,30,S,0,181
G33Y100_exp1B,-0.00447,0.04441,-4.074541935,A_5_30_S,5,30,S,0,167
Y12B65_exp1B,-0.00471,0.05208,-1.980501594,A_5_30_S,5,30,S,0,167
G32Y92_exp1A,-0.00283,-0.05772,-4.199705078,A_5_30_S,5,30,S,0,152
G32Y93_exp1A,-0.00785,-0.14594,-1.655481851,A_5_30_S,5,30,S,0,157
G35Y24_exp3A,-0.0057,0.04316,-3.816712826,A_5_30_S,5,30,S,0,241
W8O38_exp3B,-0.00596,0.01308,-1.5945493,A_5_30_S,5,30,S,0,248
G31Y83_exp2B,-0.00331,-0.03314,-2.673648774,A_5_30_S,5,30,S,0,198
G35Y23_exp2A,-0.00378,0.02835,-2.95651156,A_5_30_S,5,30,S,0,198
W10O44_exp3B,-0.00484,-0.03122,-4.074541935,A_5_30_S,5,30,S,0,255
G37Y32_exp1A,-0.00559,0.00217,-1.57987911,A_5_30_S,5,30,S,0,153
G38Y37_exp2A,-0.00223,-0.11706,-3.912023005,A_5_30_S,5,30,S,0,205
G29Y72_exp2B,NA,-0.03766,-0.906340401,A_5_30_S,5,30,S,0,196
G38Y38_exp3A,-0.00659,-0.68822,-3.218875825,A_5_30_S,5,30,S,0,241
Y10B50_exp2B,-0.00286,0.06735,-2.95651156,A_7.5_20_A,7.5,20,A,0,170
Y20B95_exp1B,-0.00422,0.05055,-1.203972804,A_7.5_20_A,7.5,20,A,0,178
Y4B30_exp3A,-0.00276,0.05582,-5.521460918,A_7.5_20_A,7.5,20,A,0,234
