sample_name,date_collected,field_or_lab,experimental_subrun,experimental_day_of_colllection,fed_or_starved,temp,NO3_and_NO2_uM,NO2_uM,NO3_uM,NO3_INTENDED,NO3_DISCREPANCY,NH4_uM,NH4_INTENDED,NH4_DISCREPANCY,corresponding treat ID,NO3_uM,NH4_uM,CONTROL?
A_0_20,8_31_22,lab,3A,11,starved,20,2.051,0.364,1.687,0,1.687,6.422,0,6.422,A_0_20_S,1.687,6.422,CONTROL
A_5_20,8_31_22,lab,3A,11,starved,20,5.886,0.697,5.189,0,5.189,12.442,5,7.442,A_5_20_S,5.189,12.442,
A_7.5_20,8_31_22,lab,3A,11,starved,20,3.684,0.524,3.16,0,3.16,12.564,7.5,5.064,A_7.5_20_S,3.16,12.564,
A_10_20,8_31_22,lab,3A,11,starved,20,2.878,0.551,2.327,0,2.327,11.122,10,1.122,A_10_20_S,2.327,11.122,
N_0_20,8_31_22,lab,3A,11,starved,20,3.954,0.594,3.36,0,3.36,4.706,0,4.706,N_0_20_S,3.36,4.706,CONTROL
N_1.5_20,8_31_22,lab,3A,11,starved,20,3.702,0.541,3.161,1.5,1.661,3.017,0,3.017,N_1.5_20_S,3.161,3.017,
N_5_20,8_31_22,lab,3A,11,starved,20,4.466,0.179,4.287,5,-0.713,0.939,0,0.939,N_5_20_S,4.287,0.939,
N_18_20,8_31_22,lab,3A,11,starved,20,16.16,0.381,15.779,18,-2.221,1.282,0,1.282,N_18_20_S,15.779,1.282,
A_0_30,8_31_22,lab,3A,11,starved,30,4.385,2.099,2.286,0,2.286,16.526,0,16.526,A_0_30_S,2.286,16.526,CONTROL
A_5_30,8_31_22,lab,3A,11,starved,30,4.364,2.337,2.027,0,2.027,25.834,5,20.834,A_5_30_S,2.027,25.834,
A_7.5_30,8_31_22,lab,3A,11,starved,30,4.842,2.699,2.143,0,2.143,25.198,7.5,17.698,A_7.5_30_S,2.143,25.198,
A_10_30,8_31_22,lab,3A,11,starved,30,3.723,1.679,2.044,0,2.044,17.96,10,7.96,A_10_30_S,2.044,17.96,
N_0_30,8_31_22,lab,3A,11,starved,30,4.284,2.247,2.037,0,2.037,17.503,0,17.503,N_0_30_S,2.037,17.503,CONTROL
N_1.5_30,8_31_22,lab,3A,11,starved,30,7.051,3.187,3.864,1.5,2.364,19.036,0,19.036,N_1.5_30_S,3.864,19.036,
N_5_30,8_31_22,lab,3A,11,starved,30,9.333,3.035,6.298,5,1.298,17.04,0,17.04,N_5_30_S,6.298,17.04,
N_18_30,8_31_22,lab,3A,11,starved,30,21.18,2.171,19.009,18,1.009,15.646,0,15.646,N_18_30_S,19.009,15.646,
20_A_0_F,8_27_22,lab,3A,7,fed,20,4.328,0.262,4.066,0,4.066,3.551,0,3.551,A_0_20_F,4.066,3.551,CONTROL
20_A_5_F,8_27_22,lab,3A,7,fed,20,3.051,0.589,2.462,0,2.462,12.255,5,7.255,A_5_20_F,2.462,12.255,
20_A_7.5_F,8_27_22,lab,3A,7,fed,20,4.308,0.229,4.079,0,4.079,10.676,7.5,3.176,A_7.5_20_F,4.079,10.676,
20_A_10_F,8_27_22,lab,3A,7,fed,20,4.329,0.434,3.895,0,3.895,11.449,10,1.449,A_10_20_F,3.895,11.449,
20_N_0_F,8_27_22,lab,3A,7,fed,20,1.696,0.293,1.403,0,1.403,5.581,0,5.581,N_0_20_F,1.403,5.581,CONTROL
20_N_1.5_F,8_27_22,lab,3A,7,fed,20,3.796,0.184,3.612,1.5,2.112,2.47,0,2.47,N_1.5_20_F,3.612,2.47,
20_N_5_F,8_27_22,lab,3A,7,fed,20,6.639,0.216,6.423,5,1.423,5.827,0,5.827,N_5_20_F,6.423,5.827,
20_N_18_F,8_27_22,lab,3A,7,fed,20,13.39,0.268,13.122,18,-4.878,4.766,0,4.766,N_18_20_F,13.122,4.766,
30_A_0_F,8_27_22,lab,3A,7,fed,30,3.205,1.313,1.892,0,1.892,12.403,0,12.403,A_0_30_F,1.892,12.403,CONTROL
30_A_5_F,8_27_22,lab,3A,7,fed,30,2.759,0.949,1.81,0,1.81,12.468,5,7.468,A_5_30_F,1.81,12.468,
30_A_7.5_F,8_27_22,lab,3A,7,fed,30,4.363,1.037,3.326,0,3.326,22.475,7.5,14.975,A_7.5_30_F,3.326,22.475,
30_A_10_F,8_27_22,lab,3A,7,fed,30,2.06,0.464,1.596,0,1.596,19.336,10,9.336,A_10_30_F,1.596,19.336,
30_N_0_F,8_27_22,lab,3A,7,fed,30,2.129,0.883,1.246,0,1.246,21.249,0,21.249,N_0_30_F,1.246,21.249,CONTROL
30_N_1.5_F,8_27_22,lab,3A,7,fed,30,3.22,0.604,2.616,1.5,1.116,11.267,0,11.267,N_1.5_30_F,2.616,11.267,
30_N_5_F,8_27_22,lab,3A,7,fed,30,7.412,1.354,6.058,5,1.058,15.518,0,15.518,N_5_30_F,6.058,15.518,
30_N_18_F,8_27_22,lab,3A,7,fed,30,10.387,0.387,10,18,-8,7.698,0,7.698,N_18_30_F,10,7.698,
