col_num,treat_ID_full,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,pollution,dose,temp,feed,symbiont,pam_status,PercOutliersCheck,dose_level,new_treat_ID_full
168,N_0_20_F_A,0.108,0.223,0.115,1.064814815,-2.162823151,Nitrate,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
150,N_0_20_F_A,0.085,0.157,0.072,0.847058824,-2.63108916,Nitrate,0,20,Fed,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Aposymbiotic
142,N_0_20_F_S,0.377,0.528,0.151,0.400530504,-1.890475442,Nitrate,0,20,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
145,N_0_20_F_S,0.34,0.514,0.174,0.511764706,-1.74869998,Nitrate,0,20,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
153,N_0_20_F_S,0.355,0.561,0.206,0.58028169,-1.57987911,Nitrate,0,20,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Fed_Symbiotic
168,N_0_20_S_A,0.097,0.149,0.052,0.536082474,-2.95651156,Nitrate,0,20,Starved,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
150,N_0_20_S_A,0.126,0.305,0.179,1.420634921,-1.720369473,Nitrate,0,20,Starved,Aposymbiotic,increase,TRUE,control-0,Nitrate_control-0_20_Starved_Aposymbiotic
149,N_0_20_S_S,0.396,0.114,-0.282,-0.712121212,-1.265848208,Nitrate,0,20,Starved,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
157,N_0_20_S_S,0.358,0.494,0.136,0.379888268,-1.995100393,Nitrate,0,20,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
153,N_0_20_S_S,0.366,0.556,0.19,0.519125683,-1.660731207,Nitrate,0,20,Starved,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_20_Starved_Symbiotic
168,N_0_30_F_A,0.211,0.313,0.102,0.483412322,-2.282782466,Nitrate,0,30,Fed,Aposymbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
150,N_0_30_F_A,0.112,0.545,0.433,3.866071429,-0.837017551,Nitrate,0,30,Fed,Aposymbiotic,increase,TRUE,control-0,Nitrate_control-0_30_Fed_Aposymbiotic
142,N_0_30_F_S,0.44,0.569,0.129,0.293181818,-2.047942875,Nitrate,0,30,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
147,N_0_30_F_S,0.437,0.494,0.057,0.130434783,-2.864704011,Nitrate,0,30,Fed,Symbiotic,increase,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
153,N_0_30_F_S,0.453,0.275,-0.178,-0.392935982,-1.725971729,Nitrate,0,30,Fed,Symbiotic,decrease,FALSE,control-0,Nitrate_control-0_30_Fed_Symbiotic
