col_num,treat_ID_full,red_day1,red_day11,red_delta,red_percent_change,pollution,dose,temp,feed,symbiont,rgb_status,PercOutliersCheck,dose_level,new_treat_ID_full
239,N_1.5_20_F_S,108.6946641,112.7674732,4.072809095,3.747018429,Nitrate,1.5,20,Fed,Symbiotic,bleached,NA,Low,Nitrate_Low_20_Fed_Symbiotic
237,N_1.5_20_F_A,174.7340992,147.8833268,-26.85077244,-15.36664713,Nitrate,1.5,20,Fed,Aposymbiotic,browned,NA,Low,Nitrate_Low_20_Fed_Aposymbiotic
237,N_1.5_20_F_A,160.5866029,131.7483967,-28.83820616,-17.95803986,Nitrate,1.5,20,Fed,Aposymbiotic,browned,NA,Low,Nitrate_Low_20_Fed_Aposymbiotic
226,N_1.5_20_F_A,160.2633766,162.2930552,2.029678577,1.266464379,Nitrate,1.5,20,Fed,Aposymbiotic,bleached,NA,Low,Nitrate_Low_20_Fed_Aposymbiotic
223,N_1.5_20_F_A,186.3222235,186.0375889,-0.284634573,-0.152764693,Nitrate,1.5,20,Fed,Aposymbiotic,browned,NA,Low,Nitrate_Low_20_Fed_Aposymbiotic
206,N_1.5_20_F_S,119.5487558,107.1545044,-12.39425134,-10.36752851,Nitrate,1.5,20,Fed,Symbiotic,browned,NA,Low,Nitrate_Low_20_Fed_Symbiotic
199,N_1.5_20_F_A,160.6477561,158.0531119,-2.594644185,-1.615113867,Nitrate,1.5,20,Fed,Aposymbiotic,browned,NA,Low,Nitrate_Low_20_Fed_Aposymbiotic
185,N_1.5_20_F_S,154.4316789,134.7990288,-19.63265018,-12.71283866,Nitrate,1.5,20,Fed,Symbiotic,browned,NA,Low,Nitrate_Low_20_Fed_Symbiotic
183,N_1.5_30_F_A,198.0993007,214.6364003,16.53709963,8.347883903,Nitrate,1.5,30,Fed,Aposymbiotic,bleached,NA,Low,Nitrate_Low_30_Fed_Aposymbiotic
171,N_1.5_30_F_S,132.883804,121.0041367,-11.8796673,-8.93989105,Nitrate,1.5,30,Fed,Symbiotic,browned,NA,Low,Nitrate_Low_30_Fed_Symbiotic
170,N_1.5_30_F_A,164.4584302,184.3558172,19.89738698,12.09873337,Nitrate,1.5,30,Fed,Aposymbiotic,bleached,NA,Low,Nitrate_Low_30_Fed_Aposymbiotic
165,N_1.5_30_F_A,181.2181056,151.8611453,-29.35696031,-16.19979428,Nitrate,1.5,30,Fed,Aposymbiotic,browned,NA,Low,Nitrate_Low_30_Fed_Aposymbiotic
161,N_1.5_30_F_S,127.4105555,166.8310164,39.42046091,30.93971356,Nitrate,1.5,30,Fed,Symbiotic,bleached,NA,Low,Nitrate_Low_30_Fed_Symbiotic
226,A_7.5_30_S_A,117.904431,249.1086962,131.2042653,111.2801819,Ammonium,7.5,30,Starved,Aposymbiotic,bleached,NA,Medium,Ammonium_Medium_30_Starved_Aposymbiotic
150,N_5_20_S_A,111.2138297,202.5035374,91.28970763,82.08485209,Nitrate,5,20,Starved,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_20_Starved_Aposymbiotic
202,N_5_30_F_A,100.0133819,180.5403189,80.52693693,80.5161623,Nitrate,5,30,Fed,Aposymbiotic,bleached,NA,Medium,Nitrate_Medium_30_Fed_Aposymbiotic
167,A_10_20_F_A,131.4693693,235.6101438,104.1407745,79.21295665,Ammonium,10,20,Fed,Aposymbiotic,bleached,NA,High,Ammonium_High_20_Fed_Aposymbiotic
208,N_0_30_S_S,90.49490531,160.1856349,69.69072963,77.01066639,Nitrate,0,30,Starved,Symbiotic,bleached,NA,control-0,Nitrate_control-0_30_Starved_Symbiotic
233,A_0_30_S_S,64.02741506,109.2194612,45.19204615,70.58233744,Ammonium,0,30,Starved,Symbiotic,bleached,NA,control-0,Ammonium_control-0_30_Starved_Symbiotic
197,A_7.5_20_S_A,87.87487493,149.4688957,61.59402075,70.09286875,Ammonium,7.5,20,Starved,Aposymbiotic,bleached,NA,Medium,Ammonium_Medium_20_Starved_Aposymbiotic
175,A_5_30_S_A,99.95940414,169.0981773,69.13877319,69.16685207,Ammonium,5,30,Starved,Aposymbiotic,bleached,NA,Low,Ammonium_Low_30_Starved_Aposymbiotic
