exp_num,subrun,N_species,N_dose,control_or_nutrient,N_species_dose,temp,food,sym_state,food_sym_state,col_num,treat_ID,beetag,beetag_exprun,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_percent_change,red_delta
3,B,A,0,control,A_0,30,F,S,F_S,252,CNTRL_30_F_S,W3O17,W3O17_exp3B,1,W3O17_day1_exp3B,W3O17_3B_day1.JPG,0.58953,W3O17_day11_exp3B,W3O17_3B_day11.JPG,0.60997,0.034671688,0.02044
1,A,A,0,control,A_0,30,S,S,S_S,157,CNTRL_30_S_S,B33G95,B33G95_exp1A,1,B33G95_day1_exp1A,B33G95_1A_day1.JPG,0.63849,B33G95_day11_exp1A,B33G95_1A_day11.JPG,0.6038,-0.054331313,-0.03469
2,A,A,0,control,A_0,30,S,A,S_A,233,CNTRL_30_S_A,B29G67,B29G67_exp2A,1,B29G67_day1_exp2A,B29G67_2A_day1.JPG,0.52761,B29G67_day11_exp2A,B29G67_2A_day11.JPG,0.5375,0.018744906,0.00989
1,B,A,0,control,A_0,30,F,S,F_S,167,CNTRL_30_F_S,B13G10,B13G10_exp1B,1,B13G10_day1_exp1B,B13G10_1B_day1.JPG,0.48781,B13G10_day11_exp1B,B13G10_1B_day11.JPG,0.53401,0.094709006,0.0462
2,B,A,0,control,A_0,30,S,S,S_S,198,CNTRL_30_S_S,B34G3106,B34G3106_exp2B,1,B34G3106_day1_exp2B,B34G31_2B_day1.JPG,0.51303,B34G3106_day11_exp2B,B34G31_2B_day11.JPG,0.53264,0.038223886,0.01961
1,B,A,0,control,A_0,20,F,A,F_A,167,CNTRL_20_F_A,B26G48,B26G48_exp1B,1,B26G48_day1_exp1B,B26G48_1B_day1.JPG,0.53307,B26G48_day11_exp1B,B26G48_1B_day11.JPG,0.52948,-0.006734575,-0.00359
1,B,A,0,control,A_0,30,F,A,F_A,167,CNTRL_30_F_A,B13G2,B13G2_exp1B,1,B13G2_day1_exp1B,B13G2_1B_day1.JPG,0.54838,B13G2_day11_exp1B,B13G2_1B_day11.JPG,0.5292,-0.034975747,-0.01918
2,B,A,0,control,A_0,30,F,A,F_A,170,CNTRL_30_F_A,B33G90,B33G90_exp2B,1,B33G90_day1_exp2B,B33G90_2B_day1.JPG,0.53134,B33G90_day11_exp2B,B33G90_2B_day11.JPG,0.52453,-0.012816652,-0.00681
3,B,A,0,control,A_0,20,S,S,S_S,254,CNTRL_20_S_S,O4B24,O4B24_exp3B,1,O4B24_day1_exp3B,O4B24_3B_day1.JPG,0.5333,O4B24_day11_exp3B,O4B24_3B_day11.JPG,0.52125,-0.022595162,-0.01205
2,B,A,0,control,A_0,30,F,S,F_S,226,CNTRL_30_F_S,B33G95,B33G95_exp2B,1,B33G95_day1_exp2B,B33G95_2B_day1.JPG,0.39021,B33G95_day11_exp2B,B33G95_2B_day11.JPG,0.51502,0.319853412,0.12481
1,A,A,0,control,A_0,30,S,A,S_A,154,CNTRL_30_S_A,B33G92,B33G92_exp1A,1,B33G92_day1_exp1A,B33G92_1A_day1.JPG,0.45585,B33G92_day11_exp1A,B33G92_1A_day11.JPG,0.51177,0.122671932,0.05592
2,A,A,0,control,A_0,30,S,S,S_S,205,CNTRL_30_S_S,B29G70,B29G70_exp2A,1,B29G70_day1_exp2A,B29G70_2A_day1.JPG,0.44632,B29G70_day11_exp2A,B29G70_2A_day11.JPG,0.5045,0.130354902,0.05818
1,B,A,0,control,A_0,30,S,S,S_S,167,CNTRL_30_S_S,B25G46,B25G46_exp1B,1,B25G46_day1_exp1B,B25G46_1B_day1.JPG,0.50413,B25G46_day11_exp1B,B25G46_1B_day11.JPG,0.50099,-0.006228552,-0.00314
2,A,A,0,control,A_0,20,S,A,S_A,233,CNTRL_20_S_A,B24G40,B24G40_exp2A,1,B24G40_day1_exp2A,B24G40_2A_day1.JPG,0.52712,B24G40_day11_exp2A,B24G40_2A_day11.JPG,0.49753,-0.056135225,-0.02959
2,B,A,0,control,A_0,30,S,A,S_A,178,CNTRL_30_S_A,B34G97,B34G97_exp2B,1,B34G97_day1_exp2B,B34G97_2B_day1.JPG,0.5517,B34G97_day11_exp2B,B34G97_2B_day11.JPG,0.4951,-0.102591988,-0.0566
1,A,A,0,control,A_0,20,F,A,F_A,152,CNTRL_20_F_A,B24G38,B24G38_exp1A,1,B24G38_day1_exp1A,B24G38_1A_day1.JPG,0.50635,B24G38_day11_exp1A,B24G38_1A_day11.JPG,0.48912,-0.034027846,-0.01723
1,B,A,0,control,A_0,30,F,S,F_S,178,CNTRL_30_F_S,B13G13,B13G13_exp1B,1,B13G13_day1_exp1B,B13G13_1B_day1.JPG,0.45258,B13G13_day11_exp1B,B13G13_1B_day11.JPG,0.47878,0.057890318,0.0262
1,A,A,0,control,A_0,30,F,S,F_S,155,CNTRL_30_F_S,B31G82,B31G82_exp1A,1,B31G82_day1_exp1A,B31G82_1A_day1.JPG,0.53367,B31G82_day11_exp1A,B31G81_1A_day11.JPG,0.47829,-0.103771994,-0.05538
3,A,A,0,control,A_0,30,F,S,F_S,241,CNTRL_30_F_S,B28G63,B28G63_exp3A,1,B28G63_day1_exp3A,B28G63_3A_day1.JPG,0.45753,B28G63_day11_exp3A,B28G63_3A_day11.JPG,0.46737,0.021506786,0.00984
2,A,A,0,control,A_0,30,S,S,S_S,222,CNTRL_30_S_S,B29G71,B29G71_exp2A,1,B29G71_day1_exp2A,B29G71_2A_day1.JPG,0.43379,B29G71_day11_exp2A,B29G71_2A_day11.JPG,0.46206,0.065169783,0.02827
3,B,A,0,control,A_0,30,F,S,F_S,248,CNTRL_30_F_S,W3O15,W3O15_exp3B,1,W3O15_day1_exp3B,W3O15_3B_day1.JPG,0.42019,W3O15_day11_exp3B,W3O15_3B_day11.JPG,0.46049,0.095908994,0.0403
1,A,A,0,control,A_0,20,S,S,S_S,157,CNTRL_20_S_S,B34G3409,B34G3409_exp1A,1,B34G3409_day1_exp1A,B34G34_1A_day1.JPG,0.36539,B34G3409_day11_exp1A,B34G34_1A_day11.JPG,0.45966,0.257998303,0.09427
3,B,A,0,control,A_0,20,S,A,S_A,243,CNTRL_20_S_A,O3B20,O3B20_exp3B,1,O3B20_day1_exp3B,O3B20_3B_day1.JPG,0.51594,O3B20_day11_exp3B,O3B20_3B_day11.JPG,0.45816,-0.111989766,-0.05778
3,A,A,0,control,A_0,20,F,S,F_S,241,CNTRL_20_F_S,B23G37,B23G37_exp3A,1,B23G37_day1_exp3A,B23G37_3A_day1.JPG,0.41494,B23G37_day11_exp3A,B23G37_3A_day11.JPG,0.45623,0.099508363,0.04129
