exp_num,subrun,exp_run_full,N_species,N_dose,control_or_nutrient,N_species_dose,temp,food,sym_state,food_sym_state,col_num,treat_ID,beetag,beetag_exprun,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_percent_change,red_delta
1,A,1A,N,0,control,N_0,20,F,A,F_A,150,CNTRL_20_F_A,B14G15,B14G15_exp1A,1,B14G15_day1_exp1A,B14G15_1A_day1.JPG,0.36895,B14G15_day11_exp1A,B14G15_1A_day11.JPG,0.38382,0.040303564,0.01487
1,A,1A,N,0,control,N_0,20,F,A,F_A,168,CNTRL_20_F_A,B14G14,B14G14_exp1A,1,B14G14_day1_exp1A,B14G14_1A_day1.JPG,0.34305,B14G14_day11_exp1A,B14G14_1A_day11.JPG,0.36367,0.060107856,0.02062
1,A,1A,N,0,control,N_0,20,F,S,F_S,145,CNTRL_20_F_S,B14G20,B14G20_exp1A,1,B14G20_day1_exp1A,B14G20_1A_day1.JPG,0.3273,B14G20_day11_exp1A,B14G20_1A_day11.JPG,0.37676,0.151115185,0.04946
1,A,1A,N,0,control,N_0,20,F,S,F_S,142,CNTRL_20_F_S,B14G17,B14G17_exp1A,1,B14G17_day1_exp1A,B14G17_1A_day1.JPG,0.37887,B14G17_day11_exp1A,B14G17_1A_day11.JPG,0.32011,-0.155092776,-0.05876
1,A,1A,N,0,control,N_0,20,F,S,F_S,153,CNTRL_20_F_S,B14G21,B14G21_exp1A,1,B14G21_day1_exp1A,B14G21_1A_day1.JPG,0.25749,B14G21_day11_exp1A,B14G21_1A_day11.JPG,0.30511,0.184939221,0.04762
1,A,1A,N,0,control,N_0,20,S,A,S_A,150,CNTRL_20_S_A,B15G23,B15G23_exp1A,1,B15G23_day1_exp1A,B15G23_1A_day1.JPG,0.34726,B15G23_day11_exp1A,B15G23_1A_day11.JPG,0.40766,0.173933076,0.0604
1,A,1A,N,0,control,N_0,20,S,A,S_A,168,CNTRL_20_S_A,B15G22,B15G22_exp1A,1,B15G22_day1_exp1A,B15G22_1A_day1.JPG,0.33028,B15G22_day11_exp1A,B15G22_1A_day11.JPG,0.33946,0.027794599,0.00918
1,A,1A,N,0,control,N_0,20,S,S,S_S,157,CNTRL_20_S_S,B15G25,B15G25_exp1A,1,B15G25_day1_exp1A,B15G25_1A_day1.JPG,0.45477,B15G25_day11_exp1A,B15G25_1A_day11.JPG,0.44357,-0.024627834,-0.0112
1,A,1A,N,0,control,N_0,20,S,S,S_S,149,CNTRL_20_S_S,B15G24,B15G24_exp1A,1,B15G24_day1_exp1A,B15G24_1A_day1.JPG,0.33323,B15G24_day11_exp1A,B15G24_1A_day11.JPG,0.34621,0.038952075,0.01298
1,A,1A,N,0,control,N_0,20,S,S,S_S,153,CNTRL_20_S_S,B15G26,B15G26_exp1A,1,B15G26_day1_exp1A,B15G26_1A_day1.JPG,0.39011,B15G26_day11_exp1A,B15G26_1A_day11.JPG,0.2821,-0.276870626,-0.10801
1,A,1A,N,0,control,N_0,30,F,A,F_A,150,CNTRL_30_F_A,B27G54,B27G54_exp1A,1,B27G54_1A_day1_exp1A,B27G54_1A_day1.JPG,0.39266,B27G54_day11_exp1A,B27G54_1A_day11.JPG,0.34112,-0.131258595,-0.05154
1,A,1A,N,0,control,N_0,30,F,A,F_A,168,CNTRL_30_F_A,B27G53,B27G53_exp1A,1,B27G53_1A_day1_exp1A,B27G53_1A_day1.JPG,0.24177,B27G53_day11_exp1A,B27G53_1A_day11.JPG,0.2988,0.235885346,0.05703
1,A,1A,N,0,control,N_0,30,F,S,F_S,153,CNTRL_30_F_S,B27G57,B27G57_exp1A,1,B27G57_1A_day1_exp1A,B27G57_1A_day1.JPG,0.40445,B27G57_day11_exp1A,B27G57_1A_day11.JPG,0.48234,0.192582519,0.07789
1,A,1A,N,0,control,N_0,30,F,S,F_S,147,CNTRL_30_F_S,B27G56,B27G56_exp1A,1,B27G56_1A_day1_exp1A,B27G56_1A_day1.JPG,0.37992,B27G56_day11_exp1A,B27G56_1A_day11.JPG,0.43284,0.139292483,0.05292
1,A,1A,N,0,control,N_0,30,F,S,F_S,142,CNTRL_30_F_S,B27G55,B27G55_exp1A,1,B27G55_1A_day1_exp1A,B27G55_1A_day1.JPG,0.38392,B27G55_day11_exp1A,B27G55_1A_day11.JPG,0.34999,-0.088377787,-0.03393
1,A,1A,N,0,control,N_0,30,S,A,S_A,162,CNTRL_30_S_A,B30G72,B30G72_exp1A,1,B30G72_day1_exp1A,B30G72_1A_day1.JPG,0.385,B30G72_day11_exp1A,B30G72_1A_day11.JPG,0.38686,0.004831169,0.00186
