beetag_exprun,col_num,exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID_collapsed_controls,red_day1,red_day11,red_delta,resp_rate,e_coli_plate,PAM_avg_day1,PAM_avg_day11,PAM_delta,log_PAM_delta
B13G2_exp3A,223,3,A,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.4608,0.4955,0.0347,-0.0041,1,0.353,0.237,-0.116,-0.116
B13G8_exp2A,226,2,A,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.47674,0.46312,-0.01362,-0.00394,1,0.455,0.411,-0.044,-0.044
B14G14_exp2B,149,2,B,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.47311,0.41061,-0.0625,-0.00625,0,0.562,0.361,-0.201,-0.201
B22G29_exp1B,183,1,B,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.3883,0.4026,0.0143,-0.00306,1,0.17,0.383,0.213,0.213
B22G27_exp1B,160,1,B,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.364,0.39741,0.03341,NA,NA,0.196,0.345,0.149,0.149
B14G15_exp1A,150,1,A,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.36895,0.38382,0.01487,-0.00422,1,0.085,0.157,0.072,0.072
B14G14_exp1A,168,1,A,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.34305,0.36367,0.02062,-0.00489,0,0.108,0.223,0.115,0.115
B13G2_exp2A,174,2,A,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.37049,0.35824,-0.01225,NA,NA,0.448,0.09,-0.358,-0.358
B13G3_exp2A,199,2,A,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.34904,0.33167,-0.01737,-0.00707,0,0.232,0.134,-0.098,-0.098
B13G8_exp3A,237,3,A,N,0,CNTRL_0,20,F,A,F_A,CNTRL_20_F_A,0.3487,0.32924,-0.01946,-0.00252,0,0.561,0.372,-0.189,-0.189
