date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_29_22,06_30_22,168,C,168C,115,5,APO,1,A,B14,G14,B14G14,1A,B14G14_exp1A,168,1,20,0.108,0.223,0.115,1.064814815,-2.162823151,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_24_22,150,P,150P,102,5,APO,1,A,B14,G15,B14G15,1A,B14G15_exp1A,150,1,20,0.085,0.157,0.072,0.847058824,-2.63108916,N_0_20_F_A,CNTRL_0_20_F_A,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,A,F_A
06_22_22,06_23_22,142,B,142B,97,2,SYM,1,A,B14,G17,B14G17,1A,B14G17_exp1A,142,1,20,0.377,0.528,0.151,0.400530504,-1.890475442,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_23_22,145,F,145F,99,12,SYM,1,A,B14,G20,B14G20,1A,B14G20_exp1A,145,1,20,0.34,0.514,0.174,0.511764706,-1.74869998,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_22_22,06_24_22,153,M,153M,105,1,SYM,1,A,B14,G21,B14G21,1A,B14G21_exp1A,153,1,20,0.355,0.561,0.206,0.58028169,-1.57987911,N_0_20_F_S,CNTRL_0_20_F_S,CNTRL_0_20_F,CNTRL,0,CNTRL_0,Control,20,F,S,F_S
06_29_22,06_30_22,168,K,168K,115,13,APO,1,A,B15,G22,B15G22,1A,B15G22_exp1A,168,2,20,0.097,0.149,0.052,0.536082474,-2.95651156,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_22_22,06_24_22,150,I,150I,101,14,APO,1,A,B15,G23,B15G23,1A,B15G23_exp1A,150,2,20,0.126,0.305,0.179,1.420634921,-1.720369473,N_0_20_S_A,CNTRL_0_20_S_A,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,A,S_A
06_22_22,06_24_22,149,C,149C,101,2,SYM,1,A,B15,G24,B15G24,1A,B15G24_exp1A,149,2,20,0.396,0.114,-0.282,-0.712121212,-1.265848208,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_22_22,06_24_22,157,N,157N,107,14,SYM,1,A,B15,G25,B15G25,1A,B15G25_exp1A,157,2,20,0.358,0.494,0.136,0.379888268,-1.995100393,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_22_22,06_24_22,153,U,153U,105,9,SYM,1,A,B15,G26,B15G26,1A,B15G26_exp1A,153,2,20,0.366,0.556,0.19,0.519125683,-1.660731207,N_0_20_S_S,CNTRL_0_20_S_S,CNTRL_0_20_S,CNTRL,0,CNTRL_0,Control,20,S,S,S_S
06_29_22,06_30_22,168,G,168G,115,9,APO,1,A,B27,G53,B27G53,1A,B27G53_exp1A,168,4,30,0.211,0.313,0.102,0.483412322,-2.282782466,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_24_22,150,E,150E,101,10,APO,1,A,B27,G54,B27G54,1A,B27G54_exp1A,150,4,30,0.112,0.545,0.433,3.866071429,-0.837017551,N_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_23_22,142,H,142H,97,8,SYM,1,A,B27,G55,B27G55,1A,B27G55_exp1A,142,4,30,0.44,0.569,0.129,0.293181818,-2.047942875,N_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
