num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,control_or_nutrient,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
4,7_26_22,1,A,1,1,D1,D1,-0.00499,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B24G38,1A,B24G38_exp1A,152,3,0
3,7_26_22,1,A,1,0,C1,C1,-0.00299,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B24G39,1A,B24G39_exp1A,152,3,0
3,7_26_22,1,B,1,0,C1,C1,-0.00293,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B26G49,1B,B26G49_exp1B,178,37,0
4,7_26_22,1,B,1,1,D1,D1,-0.00152,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B26G50,1B,B26G50_exp1B,184,37,0
3,08_15_22,2,A,1,0,C1,C1,-0.00501,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B23G33,2A,B23G33_exp2A,194,67,0
4,08_15_22,2,A,1,1,D1,D1,-0.00663,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B23G35,2A,B23G35_exp2A,231,67,0
3,08_20_22,2,B,1,0,C1,C1,-0.00593,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B27G53,2B,B27G53_exp2B,170,99,0
4,08_20_22,2,B,1,1,D1,D1,-0.00418,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B27G54,2B,B27G54_exp2B,212,99,0
3,09_01_22,3,A,1,0,C1,C1,-0.00535,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B23G34,3A,B23G34_exp3A,237,131,0
4,09_01_22,3,A,1,1,D1,D1,-0.0038,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,B23G35,3A,B23G35_exp3A,237,131,0
3,09_05_22,3,B,1,0,C1,C1,-0.0044,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,O3B13,3B,O3B13_exp3B,242,173,0
4,09_05_22,3,B,1,1,D1,D1,-0.0051,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,0,Control,20,F,A,O3B14,3B,O3B14_exp3B,244,173,0
4,7_26_22,1,A,1,0,D1,D1,-0.00184,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B24G40,1A,B24G40_exp1A,143,3,0
5,7_26_22,1,A,1,1,A2,A2,-0.00385,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B24G42,1A,B24G42_exp1A,155,3,0
4,7_26_22,1,B,1,0,D1,D1,-0.00185,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B26G51,1B,B26G51_exp1B,166,37,0
5,7_26_22,1,B,1,1,A2,A2,-0.00201,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B26G52,1B,B26G52_exp1B,173,37,0
4,08_15_22,2,A,1,0,D1,D1,-0.00594,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B23G36,2A,B23G36_exp2A,193,67,0
5,08_15_22,2,A,1,1,A2,A2,-0.00696,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B23G37,2A,B23G37_exp2A,220,67,0
4,08_20_22,2,B,1,0,D1,D1,-0.00282,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B27G56,2B,B27G56_exp2B,211,99,0
5,08_20_22,2,B,1,1,A2,A2,-0.00425,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B27G57,2B,B27G57_exp2B,226,99,0
5,09_01_22,3,A,1,1,A2,A2,-0.00414,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,B23G37,3A,B23G37_exp3A,241,131,0
4,09_05_22,3,B,1,0,D1,D1,-0.00443,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,O3B15,3B,O3B15_exp3B,247,173,0
5,09_05_22,3,B,1,1,A2,A2,-0.00325,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,0,Control,20,F,S,O3B17,3B,O3B17_exp3B,252,161,0
6,7_26_22,1,A,1,1,B2,B2,-0.00298,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B34G100,1A,B34G100_exp1A,146,8,0
5,7_26_22,1,A,1,0,A2,A2,-0.00265,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B34G97,1A,B34G97_exp1A,162,8,0
5,7_26_22,1,B,1,0,A2,A2,-0.00356,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B28G58,1B,B28G58_exp1B,168,38,0
6,7_26_22,1,B,1,1,B2,B2,-0.00107,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B28G60,1B,B28G60_exp1B,187,38,0
6,08_15_22,2,A,1,1,B2,B2,-0.00532,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B24G39,2A,B24G39_exp2A,210,68,0
5,08_20_22,2,B,1,0,A2,A2,-0.0042,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B30G72,2B,B30G72_exp2B,215,100,0
6,08_20_22,2,B,1,1,B2,B2,-0.00606,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B30G73,2B,B30G73_exp2B,171,100,0
5,09_01_22,3,A,1,0,A2,A2,-0.00293,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B24G38,3A,B24G38_exp3A,235,132,0
6,09_01_22,3,A,1,1,B2,B2,-0.00095,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,B24G40,3A,B24G40_exp3A,237,132,0
5,09_05_22,3,B,1,0,A2,A2,-0.0041,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,O4B21,3B,O4B21_exp3B,242,174,0
6,09_05_22,3,B,1,1,B2,B2,-0.00333,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,0,Control,20,S,A,O4B22,3B,O4B22_exp3B,247,174,0
6,7_26_22,1,A,1,0,B2,B2,-0.003,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B34G3106,1A,B34G3106_exp1A,144,8,0
7,7_26_22,1,A,1,1,C2,C2,-0.00378,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B34G3310,1A,B34G3310_exp1A,153,8,0
6,7_26_22,1,B,1,0,B2,B2,-0.00529,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B28G62,1B,B28G62_exp1B,167,38,0
7,7_26_22,1,B,1,1,C2,C2,-0.00348,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B28G63,1B,B28G63_exp1B,182,38,0
6,08_15_22,2,A,1,0,B2,B2,-0.00357,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B24G41,2A,B24G41_exp2A,201,68,0
7,08_15_22,2,A,1,1,C2,C2,-0.00631,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B24G42,2A,B24G42_exp2A,222,68,0
6,08_20_22,2,B,1,0,B2,B2,-0.00269,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B30G75,2B,B30G75_exp2B,217,100,0
7,08_20_22,2,B,1,1,C2,C2,-0.00376,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B30G76,2B,B30G76_exp2B,233,100,0
6,09_01_22,3,A,1,0,B2,B2,-0.00401,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B24G41,3A,B24G41_exp3A,240,132,0
7,09_01_22,3,A,1,1,C2,C2,-0.00472,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,B24G42,3A,B24G42_exp3A,241,132,0
6,09_05_22,3,B,1,0,B2,B2,-0.00509,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,O4B24,3B,O4B24_exp3B,254,174,0
7,09_05_22,3,B,1,1,C2,C2,-0.0069,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,0,Control,20,S,S,O4B25,3B,O4B25_exp3B,250,174,0
8,7_26_22,1,A,1,1,D2,D2,-0.00448,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B31G77,1A,B31G77_exp1A,160,6,0
7,7_26_22,1,A,1,0,C2,C2,-0.00086,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B31G78,1A,B31G78_exp1A,144,6,0
7,7_26_22,1,B,1,0,C2,C2,-0.00317,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B13G2,1B,B13G2_exp1B,167,33,0
8,7_26_22,1,B,1,1,D2,D2,-0.00234,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B13G8,1B,B13G8_exp1B,184,33,0
7,08_15_22,2,A,1,0,C2,C2,-0.00683,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B28G59,2A,B28G59_exp2A,210,71,0
8,08_15_22,2,A,1,1,D2,D2,-0.00321,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B28G60,2A,B28G60_exp2A,232,71,0
7,08_20_22,2,B,1,0,C2,C2,-0.0078,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B33G90,2B,B33G90_exp2B,170,103,0
8,08_20_22,2,B,1,1,D2,D2,-0.00379,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B33G92,2B,B33G92_exp2B,213,103,0
7,09_01_22,3,A,1,0,C2,C2,-0.00265,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B28G58,3A,B28G58_exp3A,235,135,0
8,09_01_22,3,A,1,1,D2,D2,-0.00402,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,B28G60,3A,B28G60_exp3A,237,135,0
7,09_05_22,3,B,1,0,C2,C2,-0.00442,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,W3O13,3B,W3O13_exp3B,242,188,0
8,09_05_22,3,B,1,1,D2,D2,-0.00624,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,0,Control,30,F,A,W3O14,3B,W3O14_exp3B,245,188,0
8,7_26_22,1,A,1,0,D2,D2,-0.00285,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B31G79,1A,B31G79_exp1A,144,6,0
9,7_26_22,1,A,1,1,A3,A3,-0.00579,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B31G82,1A,B31G82_exp1A,155,6,0
8,7_26_22,1,B,1,0,D2,D2,-0.00427,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B13G10,1B,B13G10_exp1B,167,33,0
9,7_26_22,1,B,1,1,A3,A3,-0.00264,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B13G13,1B,B13G13_exp1B,178,33,0
8,08_15_22,2,A,1,0,D2,D2,-0.00542,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B28G62,2A,B28G62_exp2A,198,71,0
9,08_15_22,2,A,1,1,A3,A3,-0.00326,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B28G63,2A,B28G63_exp2A,220,71,0
8,08_20_22,2,B,1,0,D2,D2,-0.00263,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B33G93,2B,B33G93_exp2B,196,103,0
9,08_20_22,2,B,1,1,A3,A3,-0.00502,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,0,Control,30,F,S,B33G95,2B,B33G95_exp2B,226,103,0
