num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
6,7_26_22,1,A,2,1,B2,B2,-0.0063,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G29Y70,1A,G29Y70_exp1A,168,12,0
6,7_26_22,1,A,2,0,B2,B2,-0.00469,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G29Y71,1A,G29Y71_exp1A,150,12,0
6,7_26_22,1,B,2,0,B2,B2,-0.00747,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G30Y75,1B,G30Y75_exp1B,163,43,0
6,7_26_22,1,B,2,1,B2,B2,-0.00245,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G30Y76,1B,G30Y76_exp1B,169,43,0
6,08_15_22,2,A,2,0,B2,B2,-0.0023,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G23Y1819,2A,G23Y1819_exp2A,199,73,0
7,08_15_22,2,A,2,1,C2,C2,-0.00293,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G23Y5017,2A,G23Y5017_exp2A,174,73,0
6,08_20_22,2,B,2,0,B2,B2,-0.00513,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G25Y45,2B,G25Y45_exp2B,157,105,0
7,08_20_22,2,B,2,1,C2,C2,-0.00364,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G25Y46,2B,G25Y46_exp2B,184,105,0
7,09_01_22,3,A,2,1,C2,C2,-0.00275,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G23Y1819,3A,G23Y1819_exp3A,223,137,0
6,09_01_22,3,A,2,0,B2,B2,-0.00138,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,G23Y2820,3A,G23Y2820_exp3A,237,137,0
6,09_05_22,3,B,2,0,B2,B2,-0.0057,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,O5G2,3B,O5G2_exp3B,238,175,0
7,09_05_22,3,B,2,1,C2,C2,-0.00482,N_1.5_20_F_A,N_1.5_20_F_A,F_A,N_1.5,N,1.5,20,F,A,O5G3,3B,O5G3_exp3B,242,175,0
7,7_26_22,1,A,2,0,C2,C2,-0.00448,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G29Y73,1A,G29Y73_exp1A,147,12,0
7,7_26_22,1,A,2,1,C2,C2,-0.00507,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G29Y74,1A,G29Y74_exp1A,153,12,0
7,7_26_22,1,B,2,0,C2,C2,-0.00743,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G30Y78,1B,G30Y78_exp1B,160,43,0
7,7_26_22,1,B,2,1,C2,C2,-0.00527,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G30Y79,1B,G30Y79_exp1B,171,43,0
7,08_15_22,2,A,2,0,C2,C2,-0.00303,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G23Y2129,2A,G23Y2129_exp2A,185,73,0
8,08_15_22,2,A,2,1,D2,D2,-0.00378,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G23Y3130,2A,G23Y3130_exp2A,206,73,0
7,08_20_22,2,B,2,0,C2,C2,-0.00413,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G25Y47,2B,G25Y47_exp2B,171,105,0
8,08_20_22,2,B,2,1,D2,D2,-0.00367,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G25Y49,2B,G25Y49_exp2B,223,105,0
8,09_01_22,3,A,2,1,D2,D2,-0.00772,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G23Y3130,3A,G23Y3130_exp3A,239,137,0
7,09_01_22,3,A,2,0,C2,C2,-0.00419,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,G23Y5017,3A,G23Y5017_exp3A,240,137,0
7,09_05_22,3,B,2,0,C2,C2,-0.00338,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,O5G5,3B,O5G5_exp3B,245,175,0
8,09_05_22,3,B,2,1,D2,D2,-0.00607,N_1.5_20_F_S,N_1.5_20_F_S,F_S,N_1.5,N,1.5,20,F,S,O5G7,3B,O5G7_exp3B,256,175,0
8,7_26_22,1,A,2,1,D2,D2,-0.00329,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G31Y80,1A,G31Y80_exp1A,168,13,0
8,7_26_22,1,A,2,0,D2,D2,-0.00222,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G31Y82,1A,G31Y82_exp1A,150,13,0
8,7_26_22,1,B,2,0,D2,D2,-0.00518,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G34Y3,1B,G34Y3_exp1B,166,45,0
8,7_26_22,1,B,2,1,D2,D2,-0.00292,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G34Y5,1B,G34Y5_exp1B,184,45,0
8,08_15_22,2,A,2,0,D2,D2,-0.0041,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G24Y41,2A,G24Y41_exp2A,203,74,0
9,08_15_22,2,A,2,1,A3,A3,-0.00604,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G24Y42,2A,G24Y42_exp2A,228,74,0
8,08_20_22,2,B,2,0,D2,D2,-0.00143,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G27Y55,2B,G27Y55_exp2B,169,107,0
9,08_20_22,2,B,2,1,A3,A3,-0.00225,N_1.5_20_S_A,N_1.5_20_S_A,S_A,N_1.5,N,1.5,20,S,A,G27Y56,2B,G27Y56_exp2B,206,107,0
