num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,red_day1,red_day11,red_delta
11,08_20_22,2,B,1,1,C3,C3,-0.00392,-0.057410265,0.057410265,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B34G3409,2B,B34G3409_exp2B,233,104,0,64.02741506,109.2194612,45.19204615
22,08_20_22,2,B,1,0,B6,B6,-0.00236,-0.103860755,0.103860755,A_5_20_S_S,A_5_20_S_S,S_S,A_5,A,Ammonium,5,20,S,S,G37Y32,2B,G37Y32_exp2B,217,112,0,65.33391276,71.28695327,5.953040511
20,09_01_22,3,A,1,0,D5,D5,-0.00765,-0.188524588,0.188524588,A_5_20_F_S,A_5_20_F_S,F_S,A_5,A,Ammonium,5,20,F,S,G30Y78,3A,G30Y78_exp3A,239,139,0,75.15196068,89.11822606,13.96626539
3,7_26_22,1,A,1,0,C1,C1,-0.00299,-0.084220357,0.084220357,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B24G39,1A,B24G39_exp1A,152,3,0,79.93756654,115.6215297,35.68396312
19,7_26_22,1,A,2,1,C5,C5,-0.00259,-0.06843175,0.06843175,A_7.5_30_F_S,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,Y15B83,1A,Y15B83_exp1A,144,29,0,80.41923776,98.81998549,18.40074773
4,08_15_22,2,A,1,1,D1,D1,-0.00663,-0.085719309,0.085719309,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G35,2A,B23G35_exp2A,231,67,0,84.64386447,73.01158996,-11.63227451
12,08_20_22,2,B,3,1,D3,D3,-0.00614,-0.157000526,0.157000526,A_10_20_S_S,A_10_20_S_S,S_S,A_10,A,Ammonium,10,20,S,S,R6W32,2B,R6W32_exp2B,233,118,0,85.35335029,79.34683769,-6.006512604
16,08_15_22,2,A,2,0,D4,D4,-0.00235,-0.124782775,0.124782775,A_7.5_20_S_A,A_7.5_20_S_A,S_A,A_7.5,A,Ammonium,7.5,20,S,A,Y8B45,2A,Y8B45_exp2A,197,96,0,87.87487493,149.4688957,61.59402075
16,08_20_22,2,B,3,0,D4,D4,-0.00431,-0.103546586,0.103546586,A_10_30_S_S,A_10_30_S_S,S_S,A_10,A,Ammonium,10,30,S,S,R20W90,2B,R20W90_exp2B,200,114,0,94.20721194,93.28588028,-0.921331657
5,08_15_22,2,A,1,1,A2,A2,-0.00696,-0.160821358,0.160821358,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B23G37,2A,B23G37_exp2A,220,67,0,94.72233468,128.3797074,33.65737269
16,7_26_22,1,B,3,0,D4,D4,-0.00309,-0.087780193,0.087780193,A_10_30_S_S,A_10_30_S_S,S_S,A_10,A,Ammonium,10,30,S,S,R15W78,1B,R15W78_exp1B,171,53,0,95.4679563,89.88174051,-5.58621579
5,09_01_22,3,A,1,0,A2,A2,-0.00293,-0.059052104,0.059052104,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B24G38,3A,B24G38_exp3A,235,132,0,95.7702354,101.4750168,5.704781402
14,7_26_22,1,B,3,1,B4,B4,-0.00436,-0.085761973,0.085761973,A_10_30_F_S,A_10_30_F_S,F_S,A_10,A,Ammonium,10,30,F,S,R1W7,1B,R1W7_exp1B,182,48,0,95.92014464,114.3733066,18.45316195
17,08_20_22,2,B,2,0,A5,A5,-0.00218,-0.092787646,0.092787646,A_7.5_20_S_S,A_7.5_20_S_S,S_S,A_7.5,A,Ammonium,7.5,20,S,S,Y11B58,2B,Y11B58_exp2B,217,123,0,96.06560912,73.08922513,-22.97638399
7,08_15_22,2,A,1,1,C2,C2,-0.00631,-0.170416375,0.170416375,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B24G42,2A,B24G42_exp2A,222,68,0,96.56916699,82.11163603,-14.45753096
5,08_20_22,2,B,2,1,A2,A2,-0.00304,-0.177273056,0.177273056,A_5_30_S_A,A_5_30_S_A,S_A,A_5,A,Ammonium,5,30,S,A,G31Y82,2B,G31Y82_exp2B,225,110,0,97.74155305,96.82307262,-0.918480425
19,09_01_22,3,A,2,0,C5,C5,-0.00498,-0.077498634,0.077498634,A_7.5_30_F_S,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,Y13B74,3A,Y13B74_exp3A,241,154,0,97.90826191,152.7461001,54.83783823
4,08_20_22,2,B,1,0,D1,D1,-0.00282,-0.131669433,0.131669433,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B27G56,2B,B27G56_exp2B,211,99,0,98.0236204,95.44187297,-2.581747427
4,08_15_22,2,A,1,0,D1,D1,-0.00594,-0.119035998,0.119035998,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B23G36,2A,B23G36_exp2A,193,67,0,98.59696414,92.59156332,-6.005400823
9,7_26_22,1,A,3,1,A3,A3,-0.00437,-0.153604196,0.153604196,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R7W35,1A,R7W35_exp1A,153,23,0,98.94647668,94.22437391,-4.722102773
5,08_15_22,2,A,2,1,A2,A2,-0.00279,-0.047941039,0.047941039,A_5_30_S_A,A_5_30_S_A,S_A,A_5,A,Ammonium,5,30,S,A,G38Y36,2A,G38Y36_exp2A,175,80,0,99.95940414,169.0981773,69.13877319
14,7_26_22,1,A,2,0,B4,B4,-0.00433,-0.039049428,0.039049428,A_7.5_20_F_A,A_7.5_20_F_A,F_A,A_7.5,A,Ammonium,7.5,20,F,A,Y11B56,1A,Y11B56_exp1A,143,27,0,101.1844962,103.2777523,2.093256058
21,08_15_22,2,A,1,0,A6,A6,-0.00651,-0.247304439,0.247304439,A_5_20_S_A,A_5_20_S_A,S_A,A_5,A,Ammonium,5,20,S,A,G32Y87,2A,G32Y87_exp2A,197,76,0,101.7726863,166.9704707,65.19778446
15,7_26_22,1,A,2,1,C4,C4,-0.00511,-0.143683304,0.143683304,A_7.5_20_F_S,A_7.5_20_F_S,F_S,A_7.5,A,Ammonium,7.5,20,F,S,Y11B58,1A,Y11B58_exp1A,152,27,0,102.0179402,132.672865,30.6549248
12,7_26_22,1,A,3,1,D3,D3,-0.00696,-0.201623781,0.201623781,A_10_20_S_S,A_10_20_S_S,S_S,A_10,A,Ammonium,10,20,S,S,R8W43,1A,R8W43_exp1A,153,24,0,102.5256346,90.4118892,-12.11374543
19,08_20_22,2,B,2,0,C5,C5,-0.00237,-0.078841582,0.078841582,A_7.5_30_F_S,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,Y17B92,2B,Y17B92_exp2B,196,126,0,103.8575655,69.07439865,-34.7831669
18,08_20_22,2,B,2,1,B5,B5,-0.0056,-0.220198414,0.220198414,A_7.5_20_S_S,A_7.5_20_S_S,S_S,A_7.5,A,Ammonium,7.5,20,S,S,Y11B59,2B,Y11B59_exp2B,233,123,0,105.4558901,96.93575642,-8.520133708
3,08_15_22,2,A,1,0,C1,C1,-0.00501,-0.119535514,0.119535514,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G33,2A,B23G33_exp2A,194,67,0,105.7294007,121.2732169,15.54381628
13,08_20_22,2,B,3,0,A4,A4,-0.00326,-0.079512339,0.079512339,A_10_30_F_A,A_10_30_F_A,F_A,A_10,A,Ammonium,10,30,F,A,R12W56,2B,R12W56_exp2B,171,113,0,108.3632157,149.006817,40.64360135
7,08_20_22,2,B,1,1,C2,C2,-0.00376,-0.11439849,0.11439849,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B30G76,2B,B30G76_exp2B,233,100,0,108.4516489,71.12099849,-37.33065044
