row_number,exp_num,subrun,N_species,N_dose,temp,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
1,2,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y3130,11,G23Y3130_day11,G23Y29_2A_day11.JPG,G23Y3130_exp2A_day11,82.3022,36.9092,23.8806,186.2784,16.66087,27.67015,92.12485,153.7897,44.68371,139.7568,175.403,202.4135,0.33425,0.16217,0.036487,1
2,2,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y1,1,G33Y1_day1,G33Y100_2A_day1.JPG,G33Y1_exp2A_day1,89.393,38.2741,29.7196,241.873,42.65133,55.90652,107.7922,175.0519,57.86574,139.8994,176.075,207.1096,0.3009,0.11502,0.030138,1
3,2,A,N,0,20,S,A,CNTRL_20_S_A,B22G29,11,B22G29_day11,B22G29_2A_day11.JPG,B22G29_exp2A_day11,95.0711,41.4268,24.4853,193.1038,24.47045,33.57531,97.07554,153.6743,42.25751,119.1405,145.4347,171.0143,0.38462,0.18834,0.021127,1
4,1,A,N,1.5,30,F,S,N_1.5_30_F_S,G28Y67,11,G28Y67_day11,G28Y67_1A_day11.JPG,G28Y67_exp1A_day11,95.2391,52.6832,32.3147,232.349,33.60002,40.60304,101.0061,165.855,41.2602,158.5628,191.2068,217.8792,0.28642,0.19211,0.058558,1
5,2,A,N,0,20,S,S,CNTRL_20_S_S,B22G27,11,B22G27_day11,B22G27_2A_day11.JPG,B22G27_exp2A_day11,96.0074,44.1847,34.0419,193.6022,24.31492,33.5313,86.28576,144.5546,33.94303,129.9869,161.6453,183.837,0.37173,0.141,0.091338,1
6,1,B,N,1.5,30,F,S,N_1.5_30_F_S,G23Y3130,11,G23Y3130_day11,G23Y2820_1B_day11.JPG,G23Y3130_exp1B_day11,97.912,43.3894,29.2249,220.1,35.74411,42.41798,109.5489,173.4648,53.86511,145.6617,176.494,200.9374,0.35134,0.14468,0.032491,1
7,3,B,N,5,20,F,S,N_5_20_F_S,O12Y5,11,O12Y5_day11,O12Y5_3B_day11.JPG,O12Y5_exp3B_day11,100.8182,42.18812,22.56473,246.5338,53.55335,60.18325,129.8149,184.377,55.20537,157.7197,177.4477,195.1052,0.34647,0.16454,-0.037776,1
8,3,B,N,0,30,F,A,CNTRL_30_F_S,W1O2,11,W1O2_day11,W1O2_3B_day11.JPG,W1O2_exp3B_day11,101.4213,80.9321,46.2374,205.5804,26.41792,45.56247,102.9315,176.0207,64.27218,125.1779,161.3357,200.2821,0.27677,0.37452,0.047712,1
9,2,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y2129,11,G23Y2129_day11,G23Y19_2A_day11.JPG,G23Y2129_exp2A_day11,105.8759,57.56362,34.35554,184.6117,17.35731,29.17991,83.35743,141.044,36.02962,111.6425,141.0595,167.8169,0.40013,0.2849,0.07398,1
10,2,A,N,1.5,30,F,S,N_1.5_30_F_S,G33Y100,11,G33Y100_day11,G33Y1_2A_day11.JPG,G33Y100_exp2A_day11,107.0515,70.15256,40.78897,214.8555,42.4054,59.34886,100.0535,175.9952,78.51986,124.8927,171.2661,218.5084,0.35716,0.34644,-0.034832,1
11,2,A,N,1.5,20,F,S,N_1.5_20_F_S,G23Y3130,1,G23Y3130_day1,G23Y3130_2A_day1.JPG,G23Y3130_exp2A_day1,107.3704,50.8803,35.15906,208.9443,31.86981,40.83723,102.6761,160.0703,42.39907,140.9703,169.8409,191.1795,0.38579,0.1744,0.062822,1
