num,date,time,temp,light_intensity,chamber_or_temperate,exp_num,exp_A,exp_B
1,7/15/2022,10:43:50 AM,24.255,0,chamber,1,1,0
2,7/15/2022,10:43:59 AM,,,chamber,1,1,0
3,7/15/2022,11:13:50 AM,25.513,0,chamber,1,1,0
4,7/15/2022,11:43:50 AM,25.805,0,chamber,1,1,0
5,7/15/2022,12:13:50 PM,26.488,0,chamber,1,1,0
6,7/15/2022,12:43:50 PM,26.879,0,chamber,1,1,0
7,7/15/2022,1:13:50 PM,27.173,0,chamber,1,1,0
8,7/15/2022,1:43:50 PM,27.075,0,chamber,1,1,0
9,7/15/2022,2:13:50 PM,27.075,0,chamber,1,1,0
10,7/15/2022,2:43:50 PM,27.075,0,chamber,1,1,0
11,7/15/2022,3:13:50 PM,27.075,0,chamber,1,1,0
12,7/15/2022,3:43:50 PM,26.195,635.1,chamber,1,1,0
13,7/15/2022,4:13:50 PM,26.977,484.4,chamber,1,1,0
14,7/15/2022,4:43:50 PM,27.567,193.8,chamber,1,1,0
15,7/15/2022,5:13:50 PM,27.862,495.1,chamber,1,1,0
16,7/15/2022,5:43:50 PM,28.159,484.4,chamber,1,1,0
17,7/15/2022,6:13:50 PM,28.258,484.4,chamber,1,1,0
18,7/15/2022,6:43:50 PM,28.357,495.1,chamber,1,1,0
19,7/15/2022,7:13:50 PM,28.357,161.5,chamber,1,1,0
20,7/15/2022,7:43:50 PM,28.357,183,chamber,1,1,0
21,7/15/2022,8:13:50 PM,28.357,183,chamber,1,1,0
22,7/15/2022,8:43:50 PM,28.258,0,chamber,1,1,0
23,7/15/2022,9:13:50 PM,28.258,161.5,chamber,1,1,0
24,7/15/2022,9:43:50 PM,28.258,0,chamber,1,1,0
25,7/15/2022,10:13:50 PM,28.258,0,chamber,1,1,0
26,7/15/2022,10:43:50 PM,28.258,0,chamber,1,1,0
27,7/15/2022,11:13:50 PM,28.258,0,chamber,1,1,0
28,7/15/2022,11:43:50 PM,28.258,0,chamber,1,1,0
29,7/16/2022,12:13:50 AM,28.258,0,chamber,1,1,0
30,7/16/2022,12:43:50 AM,28.357,0,chamber,1,1,0
31,7/16/2022,1:13:50 AM,28.357,0,chamber,1,1,0
32,7/16/2022,1:43:50 AM,28.357,0,chamber,1,1,0
33,7/16/2022,2:13:50 AM,28.357,0,chamber,1,1,0
34,7/16/2022,2:43:50 AM,28.357,0,chamber,1,1,0
35,7/16/2022,3:13:50 AM,28.357,0,chamber,1,1,0
36,7/16/2022,3:43:50 AM,28.357,0,chamber,1,1,0
37,7/16/2022,4:13:50 AM,28.357,0,chamber,1,1,0
38,7/16/2022,4:43:50 AM,28.357,0,chamber,1,1,0
39,7/16/2022,5:13:50 AM,28.357,0,chamber,1,1,0
40,7/16/2022,5:43:50 AM,28.357,0,chamber,1,1,0
41,7/16/2022,6:13:50 AM,28.357,0,chamber,1,1,0
42,7/16/2022,6:43:50 AM,28.357,0,chamber,1,1,0
43,7/16/2022,7:13:50 AM,28.357,0,chamber,1,1,0
44,7/16/2022,7:43:50 AM,28.357,0,chamber,1,1,0
45,7/16/2022,8:13:50 AM,28.357,183,chamber,1,1,0
46,7/16/2022,8:43:50 AM,28.456,0,chamber,1,1,0
47,7/16/2022,9:13:50 AM,28.456,193.8,chamber,1,1,0
48,7/16/2022,9:43:50 AM,28.555,193.8,chamber,1,1,0
49,7/16/2022,10:13:50 AM,28.555,495.1,chamber,1,1,0
50,7/16/2022,10:43:50 AM,28.555,495.1,chamber,1,1,0
51,7/16/2022,11:13:50 AM,28.655,193.8,chamber,1,1,0
52,7/16/2022,11:43:50 AM,28.655,32.3,chamber,1,1,0
53,7/16/2022,12:13:50 PM,28.258,161.5,chamber,1,1,0
54,7/16/2022,12:43:50 PM,28.06,161.5,chamber,1,1,0
55,7/16/2022,1:13:50 PM,28.06,172.2,chamber,1,1,0
56,7/16/2022,1:43:50 PM,27.862,183,chamber,1,1,0
57,7/16/2022,2:13:50 PM,28.06,96.9,chamber,1,1,0
58,7/16/2022,2:43:50 PM,28.06,204.5,chamber,1,1,0
59,7/16/2022,3:13:50 PM,27.862,193.8,chamber,1,1,0
60,7/16/2022,3:43:50 PM,27.665,139.9,chamber,1,1,0
61,7/16/2022,4:13:50 PM,27.567,139.9,chamber,1,1,0
62,7/16/2022,4:43:50 PM,27.567,139.9,chamber,1,1,0
63,7/16/2022,5:13:50 PM,27.665,139.9,chamber,1,1,0
64,7/16/2022,5:43:50 PM,27.665,139.9,chamber,1,1,0
65,7/16/2022,6:13:50 PM,27.862,139.9,chamber,1,1,0
66,7/16/2022,6:43:50 PM,27.665,139.9,chamber,1,1,0
67,7/16/2022,7:13:50 PM,27.665,43.1,chamber,1,1,0
68,7/16/2022,7:43:50 PM,27.567,0,chamber,1,1,0
69,7/16/2022,8:13:50 PM,27.567,43.1,chamber,1,1,0
70,7/16/2022,8:43:50 PM,27.468,0,chamber,1,1,0
