exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,treat_ID,beetag,beetag_exp_concat,image_day,beetag_day1_exp_concat,image_name_day1,red_day1,beetag_day11_exp_concat,image_name_day11,red_day11,red_delta
1,B,N,1.5,N_1.5,20,S,S,S_S,N_1.5_20_S_S,G34Y10,G34Y10_exp1B,1,G34Y10_day1_exp1B,G34Y10_1B_day1.JPG,0.34601,G34Y10_day11_exp1B,G34Y10_1B_day11.JPG,0.41695,0.07094
2,B,A,5,A_5,20,S,A,S_A,A_5_20_S_A,G37Y30,G37Y30_exp2B,1,G37Y30_day1_exp2B,G37Y30_2B_day1.JPG,0.39516,G37Y30_day11_exp2B,G37Y30_2B_day11.JPG,0.40329,0.00813
1,A,N,1.5,N_1.5,20,F,A,F_A,N_1.5_20_F_A,G29Y71,G29Y71_exp1A,1,G29Y71_day1_exp1A,G29Y71_1A_day1.JPG,0.38521,G29Y71_day11_exp1A,G29Y71_1A_day11.JPG,0.59284,0.20763
2,A,A,5,A_5,30,F,S,F_S,A_5_30_F_S,G35Y24,G35Y24_exp2A,1,G35Y24_day1_exp2A,G35Y24_2A_day1.JPG,0.48458,G35Y24_day11_exp2A,G35Y24_2A_day11.JPG,0.4443,-0.04028
1,B,A,5,A_5,20,S,S,S_S,A_5_20_S_S,G38Y37,G38Y37_exp1B,1,G38Y37_day1_exp1B,G38Y37_1B_day1.JPG,0.67775,G38Y37_day11_exp1B,G38Y37_1B_day11.JPG,0.71221,0.03446
1,B,N,1.5,N_1.5,20,F,S,F_S,N_1.5_20_F_S,G30Y78,G30Y78_exp1B,1,G30Y78_day1_exp1B,G30Y78_1B_day1.JPG,0.45442,G30Y78_day11_exp1B,G30Y78_1B_day11.JPG,0.69288,0.23846
1,A,A,5,A_5,20,S,S,S_S,A_5_20_S_S,G27Y59,G27Y59_exp1A,1,G27Y59_day1_exp1A,G27Y59_1A_day1.JPG,0.59235,G27Y59_day11_exp1A,G27Y59_1A_day11.JPG,0.66727,0.07492
3,B,N,1.5,N_1.5,20,S,A,S_A,N_1.5_20_S_A,O5G7,O5G7_exp3B,1,O5G7_day1_exp3B,O5G7_3B_day1.JPG,0.49881,O5G7_day11_exp3B,O5W7_3B_day11.JPG,0.6603,0.16149
1,A,N,0,N_0,30,S,S,S_S,CNTRL_30_S_S,B30G76,B30G76_exp1A,1,B30G76_day1_exp1A,B30G76_1A_day1.JPG,0.67194,B30G76_day11_exp1A,B30G76_1A_day11.JPG,0.64003,-0.03191
2,B,A,5,A_5,20,F,A,F_A,A_5_20_F_A,G36Y22,G36Y22_exp2B,1,G36Y22_day1_exp2B,G36Y22_2B_day1.JPG,0.63516,G36Y22_day11_exp2B,G36Y22_2B_day11.JPG,0.63504,-0.00012
1,B,A,7.5,A_7.5,20,S,S,S_S,A_7.5_20_S_S,Y23B1927,Y23B1927_exp1B,1,Y23B1927_day1_exp1B,Y23B19_1B_day1.JPG,0.4624,Y23B1927_day11_exp1B,Y23B19_1B_day11.JPG,0.63279,0.17039
3,A,A,5,A_5,20,S,S,S_S,A_5_20_S_S,G32Y93,G32Y93_exp3A,1,G32Y93_day1_exp3A,G32Y93_3A_day1.JPG,0.53379,G32Y93_day11_exp3A,G32Y93_3A_day11.JPG,0.62806,0.09427
3,B,N,0,N_0,30,S,S,S_S,CNTRL_30_S_S,W2O11,W2O11_exp3B,1,W2O11_day1_exp3B,W2O11_3B_day1.JPG,0.50221,W2O11_day11_exp3B,W2O11_3B_day11.JPG,0.62569,0.12348
3,B,A,10,A_10,30,S,S,S_S,A_10_30_S_S,W20O87,W20O87_exp3B,1,W20O87_day1_exp3B,W20O87_3B_day1.JPG,0.57907,W20O87_day11_exp3B,W20O87_3B_day11.JPG,0.62511,0.04604
3,B,A,0,A_0,30,F,S,F_S,CNTRL_30_F_S,W3O17,W3O17_exp3B,1,W3O17_day1_exp3B,W3O17_3B_day1.JPG,0.58953,W3O17_day11_exp3B,W3O17_3B_day11.JPG,0.60997,0.02044
1,A,A,0,A_0,30,S,S,S_S,CNTRL_30_S_S,B33G95,B33G95_exp1A,1,B33G95_day1_exp1A,B33G95_1A_day1.JPG,0.63849,B33G95_day11_exp1A,B33G95_1A_day11.JPG,0.6038,-0.03469
