beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
B14G14_exp2B,-0.00625,-0.0625,-0.201,CNTRL_20_A,0,20,A,0,149
B14G14_exp1A,-0.00489,0.02062,0.115,CNTRL_20_A,0,20,A,0,168
B13G3_exp2A,-0.00707,-0.01737,-0.098,CNTRL_20_A,0,20,A,0,199
B13G8_exp3A,-0.00252,-0.01946,-0.189,CNTRL_20_A,0,20,A,0,237
O1B1_exp3B,-0.00456,-0.00143,0.118,CNTRL_20_A,0,20,A,0,238
B22G28_exp1B,-0.00123,-0.00055,0.138,CNTRL_20_A,0,20,A,0,169
B13G13_exp3A,-0.00913,-0.00143,-0.148,CNTRL_20_S,0,20,S,0,240
O1B4_exp3B,-0.00475,-0.06275,-0.418,CNTRL_20_S,0,20,S,0,245
B13G10_exp2A,-0.0056,0.03735,-0.312,CNTRL_20_S,0,20,S,0,175
B14G21_exp1A,-0.00293,0.04762,0.206,CNTRL_20_S,0,20,S,0,153
B14G17_exp2B,-0.00323,-0.01655,-0.04,CNTRL_20_S,0,20,S,0,159
B15G23_exp1A,-0.00296,0.0604,0.179,CNTRL_20_A,0,20,A,0,150
O2B7_exp3B,-0.00536,0.00712,0.052,CNTRL_20_A,0,20,A,0,238
B23G33_exp1B,-0.00281,-0.0009,0.123,CNTRL_20_A,0,20,A,0,166
B22G30_exp3A,-0.0067,-0.09828,-0.017,CNTRL_20_A,0,20,A,0,237
B15G22_exp2B,-0.00207,-0.0131,-0.058,CNTRL_20_A,0,20,A,0,169
B23G36_exp1B,-0.00201,0.05642,-0.072,CNTRL_20_S,0,20,S,0,164
B15G24_exp2B,-0.00173,-0.05904,0.072,CNTRL_20_S,0,20,S,0,180
B22G27_exp2A,-0.00946,0.11298,0.129,CNTRL_20_S,0,20,S,0,207
B15G24_exp1A,-0.00224,0.01298,-0.282,CNTRL_20_S,0,20,S,0,149
O2B10_exp3B,-0.00442,-0.09177,-0.216,CNTRL_20_S,0,20,S,0,249
B22G31_exp3A,-0.00819,-0.07566,-0.551,CNTRL_20_S,0,20,S,0,239
B31G77_exp2B,-0.00387,0.03721,-0.046,CNTRL_30_A,0,30,A,0,167
B25G44_exp3A,-0.00464,0.03737,0.182,CNTRL_30_A,0,30,A,0,237
W1O1_exp3B,-0.00372,-0.01629,-0.039,CNTRL_30_A,0,30,A,0,238
B27G54_exp1A,-0.0044,-0.05154,0.433,CNTRL_30_A,0,30,A,0,150
B29G64_exp1B,-0.00138,-0.00421,-0.186,CNTRL_30_A,0,30,A,0,164
B25G43_exp2A,-0.00362,0.02337,-0.175,CNTRL_30_A,0,30,A,0,174
B25G47_exp3A,-0.00385,0.11913,-0.03,CNTRL_30_S,0,30,S,0,240
B27G57_exp1A,-0.00437,0.07789,-0.178,CNTRL_30_S,0,30,S,0,153
B25G46_exp2A,-0.00865,0.01999,-0.045,CNTRL_30_S,0,30,S,0,185
B29G70_exp1B,-0.00423,0.02857,0.232,CNTRL_30_S,0,30,S,0,161
W1O3_exp3B,-0.00446,-0.15194,-0.014,CNTRL_30_S,0,30,S,0,251
B31G80_exp2B,-0.00223,-0.01145,-0.341,CNTRL_30_S,0,30,S,0,206
B32G83_exp2B,-0.00332,-0.04383,-0.091,CNTRL_30_A,0,30,A,0,170
B32G83_exp1B,-0.00243,-0.00784,0.024,CNTRL_30_A,0,30,A,0,166
W2O7_exp3B,-0.00787,0.00242,0.117,CNTRL_30_A,0,30,A,0,238
B26G48_exp2A,-0.00584,0.04075,-0.427,CNTRL_30_A,0,30,A,0,193
B26G50_exp3A,-0.0078,-0.01982,0.137,CNTRL_30_A,0,30,A,0,237
B30G73_exp1A,-0.00178,0.03029,0.049,CNTRL_30_A,0,30,A,0,151
B30G75_exp1A,-0.00328,0.0971,-0.025,CNTRL_30_S,0,30,S,0,154
B32G87_exp1B,-0.00305,0.04102,-0.219,CNTRL_30_S,0,30,S,0,164
B32G87_exp2B,-0.00728,0.11474,0.018,CNTRL_30_S,0,30,S,0,208
B26G52_exp3A,-0.00534,0.01863,0.009,CNTRL_30_S,0,30,S,0,241
W2O10_exp3B,-0.00351,0.00391,-0.288,CNTRL_30_S,0,30,S,0,250
B26G51_exp2A,-0.00713,0.07391,-0.037,CNTRL_30_S,0,30,S,0,196
G29Y71_exp1A,-0.00469,0.20763,0.238,N_1.5_20_A,1.5,20,A,0,150
G25Y45_exp2B,-0.00513,-0.02114,-0.495,N_1.5_20_A,1.5,20,A,0,157
G30Y75_exp1B,-0.00747,0.06997,0.188,N_1.5_20_A,1.5,20,A,0,163
O5G2_exp3B,-0.0057,0.06045,0.012,N_1.5_20_A,1.5,20,A,0,238
G23Y1819_exp2A,-0.0023,0.01988,0.191,N_1.5_20_A,1.5,20,A,0,199
G23Y2820_exp3A,-0.00138,-0.06781,-0.066,N_1.5_20_A,1.5,20,A,0,237
G30Y78_exp1B,-0.00743,0.23846,0.089,N_1.5_20_S,1.5,20,S,0,160
G23Y2129_exp2A,-0.00303,0.07235,0.161,N_1.5_20_S,1.5,20,S,0,185
O5G5_exp3B,-0.00338,0.03998,-0.456,N_1.5_20_S,1.5,20,S,0,245
G23Y5017_exp3A,-0.00419,-0.03037,-0.451,N_1.5_20_S,1.5,20,S,0,240
G29Y73_exp1A,-0.00448,-0.13059,0.128,N_1.5_20_S,1.5,20,S,0,147
G25Y47_exp2B,-0.00413,-0.03784,-0.457,N_1.5_20_S,1.5,20,S,0,171
G24Y44_exp3A,-0.00401,0.08242,0.117,N_1.5_20_S,1.5,20,S,0,230
G31Y82_exp1A,-0.00222,0.01075,0.285,N_1.5_20_A,1.5,20,A,0,150
G24Y41_exp3A,-0.00254,0.04724,0.014,N_1.5_20_A,1.5,20,A,0,237
G34Y3_exp1B,-0.00518,-0.02675,0.368,N_1.5_20_A,1.5,20,A,0,166
G24Y41_exp2A,-0.0041,-0.04248,0.23,N_1.5_20_A,1.5,20,A,0,203
G34Y10_exp1B,-0.00311,0.07094,-0.295,N_1.5_20_S,1.5,20,S,0,164
O8G11_exp3B,-0.00495,-0.03337,-0.3,N_1.5_20_S,1.5,20,S,0,249
G27Y55_exp2B,-0.00143,0.00824,0.106,N_1.5_20_S,1.5,20,S,0,169
G31Y83_exp1A,-0.00266,-0.04487,0.15,N_1.5_20_S,1.5,20,S,0,150
G27Y58_exp2B,-0.00485,-0.02879,-0.319,N_1.5_20_S,1.5,20,S,0,208
O8G10_exp3B,-0.00555,0.0236,-0.083,N_1.5_20_S,1.5,20,S,0,244
G24Y43_exp2A,-0.00448,-0.03781,-0.265,N_1.5_20_S,1.5,20,S,0,186
G23Y2820_exp1B,-0.00348,0.04499,-0.144,N_1.5_30_A,1.5,30,A,0,183
G28Y63_exp1A,-0.00318,0.10239,0.039,N_1.5_30_A,1.5,30,A,0,150
G33Y94_exp2A,-0.00304,0.05456,-0.206,N_1.5_30_A,1.5,30,A,0,186
G33Y94_exp3A,-0.00212,0.06308,0.003,N_1.5_30_A,1.5,30,A,0,237
W5O29_exp3B,-0.00292,0.02352,0.131,N_1.5_30_A,1.5,30,A,0,238
G26Y54_exp2B,-0.00222,0.01747,0.01,N_1.5_30_S,1.5,30,S,0,223
G23Y2129_exp1B,-0.00484,0.06342,-0.23,N_1.5_30_S,1.5,30,S,0,161
W5O27_exp3B,-0.00575,0.01878,0.21,N_1.5_30_S,1.5,30,S,0,246
G33Y97_exp3A,-0.00521,0.02212,-0.024,N_1.5_30_S,1.5,30,S,0,239
G28Y64_exp1A,-0.00282,-0.11505,0.211,N_1.5_30_S,1.5,30,S,0,142
G26Y50_exp2B,-0.00154,-0.06816,-0.209,N_1.5_30_S,1.5,30,S,0,167
G33Y1_exp2A,-0.00144,-0.00712,-0.304,N_1.5_30_S,1.5,30,S,0,206
G34Y3_exp2A,-0.00214,0.1268,0.101,N_1.5_30_A,1.5,30,A,0,193
G28Y62_exp2B,-0.00391,0.05377,-0.063,N_1.5_30_A,1.5,30,A,0,170
G24Y40_exp1B,-0.00344,0.05687,0.074,N_1.5_30_A,1.5,30,A,0,166
G25Y45_exp1A,-0.00185,0.02445,0.215,N_1.5_30_A,1.5,30,A,0,162
G25Y47_exp1A,-0.00341,-0.00816,-0.214,N_1.5_30_S,1.5,30,S,0,152
G24Y43_exp1B,-0.00358,0.035,-0.096,N_1.5_30_S,1.5,30,S,0,165
W7O34_exp3B,-0.00196,-0.01862,-0.474,N_1.5_30_S,1.5,30,S,0,252
G34Y10_exp2A,-0.00206,-0.03479,-0.135,N_1.5_30_S,1.5,30,S,0,198
G28Y64_exp2B,-0.00289,0.00258,-0.162,N_1.5_30_S,1.5,30,S,0,188
G34Y10_exp3A,-0.00452,-0.07445,-0.045,N_1.5_30_S,1.5,30,S,0,239
R1W3_exp2A,-0.00261,0.09867,-0.416,N_18_20_A,18,20,A,0,174
R3W10_exp1A,-0.00265,0.19397,0.165,N_18_20_A,18,20,A,0,150
R10W45_exp1B,-0.00568,0.02914,0.212,N_18_20_A,18,20,A,0,163
R3W10_exp2B,-0.00422,0.00701,-0.037,N_18_20_A,18,20,A,0,194
R3W12_exp2B,-0.00533,0.00429,0.018,N_18_20_S,18,20,S,0,205
R10W48_exp1B,-0.00462,-0.00207,0.148,N_18_20_S,18,20,S,0,161
R3W12_exp1A,-0.00661,-0.10435,-0.012,N_18_20_S,18,20,S,0,147
R1W2_exp2A,-0.00321,-0.09244,-0.496,N_18_20_S,18,20,S,0,206
R4W14_exp2B,-0.00411,-0.04708,-0.432,N_18_20_A,18,20,A,0,170
R10W45_exp2A,-0.00224,-0.01739,-0.391,N_18_20_A,18,20,A,0,192
R11W51_exp1B,-0.00233,0.03051,0.215,N_18_20_A,18,20,A,0,171
R5W21_exp1A,-0.00419,-0.00745,0.057,N_18_20_A,18,20,A,0,162
R10W48_exp2A,-0.00295,0.0914,0.304,N_18_20_S,18,20,S,0,193
