num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
11,7_26_22,1,A,1,0,C3,C3,-0.00489,-0.119251703,0.119251703,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B14G14,1A,B14G14_exp1A,168,1,0
12,7_26_22,1,A,1,1,D3,D3,-0.00422,-0.173322843,0.173322843,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B14G15,1A,B14G15_exp1A,150,1,0
11,7_26_22,1,B,1,0,C3,C3,-0.00123,-0.029779574,0.029779574,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B22G28,1B,B22G28_exp1B,169,34,0
12,7_26_22,1,B,1,1,D3,D3,-0.00306,-0.105677898,0.105677898,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B22G29,1B,B22G29_exp1B,183,34,0
11,08_15_22,2,A,1,0,C3,C3,-0.00707,-0.167448916,0.167448916,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B13G3,2A,B13G3_exp2A,174,65,0
12,08_15_22,2,A,1,1,D3,D3,-0.00394,-0.114374527,0.114374527,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B13G8,2A,B13G8_exp2A,226,65,0
11,08_20_22,2,B,1,0,C3,C3,-0.00625,-0.14343632,0.14343632,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B14G14,2B,B14G14_exp2B,149,97,0
12,08_20_22,2,B,1,1,D3,D3,-0.00476,-0.171108015,0.171108015,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B14G15,2B,B14G15_exp2B,184,97,0
12,09_01_22,3,A,1,1,D3,D3,-0.0041,-0.233825669,0.233825669,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B13G2,3A,B13G2_exp3A,223,129,0
11,09_01_22,3,A,1,0,C3,C3,-0.00252,-0.063596661,0.063596661,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B13G8,3A,B13G8_exp3A,237,129,0
11,09_05_22,3,B,1,0,C3,C3,-0.00456,-0.053992089,0.053992089,N_0_20_F_A,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,O1B1,3B,O1B1_exp3B,238,161,0
