variable,coef,lower_95QI,upper_95QI,sign
(Intercept),-2.297157181,-7.449912135,3.170489496,0 in 95% Quantile Interval
dose_levelElevated,4.584619968,-5.778976829,15.33081479,0 in 95% Quantile Interval
temp30,5.188600683,-1.41885103,11.98261726,0 in 95% Quantile Interval
feedStarved,0.449638137,-6.094857093,7.147777869,0 in 95% Quantile Interval
symbiontSymbiotic,-3.160473059,-10.44435985,3.633789958,0 in 95% Quantile Interval
dose_levelElevated:temp30,-1.531624483,-17.70521171,14.65632183,0 in 95% Quantile Interval
dose_levelElevated:feedStarved,-2.021998623,-19.13244492,14.80249288,0 in 95% Quantile Interval
dose_levelElevated:symbiontSymbiotic,-4.457795931,-19.37713414,10.02921033,0 in 95% Quantile Interval
temp30:feedStarved,-1.408850487,-11.08230085,8.13684987,0 in 95% Quantile Interval
temp30:symbiontSymbiotic,1.824385641,-7.423182213,11.14419944,0 in 95% Quantile Interval
feedStarved:symbiontSymbiotic,0.067495532,-9.012837973,9.413602502,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved,-5.945129317,-28.31068481,15.30096995,0 in 95% Quantile Interval
dose_levelElevated:temp30:symbiontSymbiotic,-8.500156357,-31.26315256,13.50356133,0 in 95% Quantile Interval
dose_levelElevated:feedStarved:symbiontSymbiotic,-1.543097317,-26.26124305,22.36542389,0 in 95% Quantile Interval
temp30:feedStarved:symbiontSymbiotic,4.53633383,-8.31094062,17.98429588,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved:symbiontSymbiotic,15.34210668,-14.8027427,47.5691353,0 in 95% Quantile Interval
