variable,coef,lower_95QI,upper_95QI,sign
(Intercept),0.086586265,0.072740848,0.099707972,0 not in 95% Quantile Interval
dose_levelElevated,0.012500569,-0.013134195,0.040157025,0 in 95% Quantile Interval
temp30,-0.018950397,-0.035824778,-0.002362762,0 not in 95% Quantile Interval
feedStarved,0.009369534,-0.007448242,0.026364846,0 in 95% Quantile Interval
symbiontSymbiotic,0.005336613,-0.011572474,0.023385404,0 in 95% Quantile Interval
e_coli1,0.011821632,-0.005765824,0.029735762,0 in 95% Quantile Interval
dose_levelElevated:temp30,0.001544746,-0.03919734,0.042440691,0 in 95% Quantile Interval
dose_levelElevated:feedStarved,-0.008976645,-0.054056244,0.035413359,0 in 95% Quantile Interval
dose_levelElevated:symbiontSymbiotic,-0.005455322,-0.042254062,0.032753495,0 in 95% Quantile Interval
dose_levelElevated:e_coli1,0.033465785,-0.005973677,0.074256593,0 in 95% Quantile Interval
temp30:feedStarved,0.011732942,-0.012263295,0.036990844,0 in 95% Quantile Interval
temp30:symbiontSymbiotic,0.003349252,-0.018903677,0.026379649,0 in 95% Quantile Interval
temp30:e_coli1,0.009156174,-0.013308719,0.033415301,0 in 95% Quantile Interval
feedStarved:symbiontSymbiotic,-0.008701854,-0.033726924,0.014933216,0 in 95% Quantile Interval
feedStarved:e_coli1,0.005253164,-0.018563591,0.029010223,0 in 95% Quantile Interval
symbiontSymbiotic:e_coli1,-0.004009732,-0.028533573,0.019669807,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved,-0.020119882,-0.078037802,0.035121596,0 in 95% Quantile Interval
dose_levelElevated:temp30:symbiontSymbiotic,-0.010775003,-0.070857433,0.044776981,0 in 95% Quantile Interval
dose_levelElevated:temp30:e_coli1,-0.020573624,-0.080766769,0.036310386,0 in 95% Quantile Interval
dose_levelElevated:feedStarved:symbiontSymbiotic,0.044483789,-0.015164985,0.109096665,0 in 95% Quantile Interval
dose_levelElevated:feedStarved:e_coli1,-0.042933944,-0.108974794,0.019635143,0 in 95% Quantile Interval
dose_levelElevated:symbiontSymbiotic:e_coli1,-0.016815282,-0.071066366,0.034443313,0 in 95% Quantile Interval
temp30:feedStarved:symbiontSymbiotic,-0.014869788,-0.0499448,0.017404762,0 in 95% Quantile Interval
temp30:feedStarved:e_coli1,-0.027517073,-0.063037881,0.005764461,0 in 95% Quantile Interval
temp30:symbiontSymbiotic:e_coli1,-0.015348109,-0.048468586,0.015055739,0 in 95% Quantile Interval
feedStarved:symbiontSymbiotic:e_coli1,0.001946208,-0.030904,0.036255304,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved:symbiontSymbiotic,-0.012419553,-0.09194797,0.066284695,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved:e_coli1,0.09311724,0.012917523,0.179653982,0 not in 95% Quantile Interval
dose_levelElevated:temp30:symbiontSymbiotic:e_coli1,0.012634534,-0.065546278,0.098134982,0 in 95% Quantile Interval
dose_levelElevated:feedStarved:symbiontSymbiotic:e_coli1,0.009712293,-0.075475138,0.099664645,0 in 95% Quantile Interval
temp30:feedStarved:symbiontSymbiotic:e_coli1,0.026935024,-0.017984017,0.076709895,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved:symbiontSymbiotic:e_coli1,-0.063913237,-0.183866825,0.043255013,0 in 95% Quantile Interval
