"","date_coll","date_frag","col_num","frag_letter","col_frag_num","tile_num","tile_position","sym_state_full","exp_num","exp_subrun","stand_beetag","peg_beetag","exp_1_beetag","exp_run_full","beetag_exprun","col_num.1","jar_unique_ID","PAM_avg_day1","PAM_avg_day11","PAM_delta","pam_percent_change","log_PAM_delta","treat_ID_full","treat_ID_collapsed_controls","treat_ID_without_sym","N_species","N_dose","N_species_dose","control_or_nutrient","temp","food","sym_state","food_sym_state"
"1","06_22_22","06_24_22",155,"J","155J",106,13,"SYM",1,"A","B31","G82","B31G82","1A","B31G82_exp1A",155,6,0.365,0.572,0.207,0.567123288,-1.575036486,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"2","08_01_22","08_03_22",240,"H","240H",162,2,"SYM",3,"A","B24","G41","B24G41","3A","B24G41_exp3A",240,132,0.484,0.081,-0.403,-0.832644628,-0.908818717,"A_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"3","06_22_22","06_25_22",162,"B","162B",110,14,"APO",1,"A","B34","G97","B34G97","1A","B34G97_exp1A",162,8,0.12,0.499,0.379,3.158333333,-0.970219074,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"4","06_29_22","06_30_22",191,"D","191D",129,14,"SYM",2,"B","B27","G55","B27G55","2B","B27G55_exp2B",191,99,0.585,0.588,0.003,0.005128205,-5.80914299,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"5","06_22_22","06_24_22",153,"C","153C",104,7,"SYM",1,"A","B34","G3310","B34G3310","1A","B34G3310_exp1A",153,8,0.466,0.543,0.077,0.165236052,-2.563949857,"A_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"6","08_01_22","08_02_22",237,"AN","237AN",156,10,"APO",3,"A","B29","G65","B29G65","3A","B29G65_exp3A",237,136,0.369,0.433,0.064,0.173441734,-2.748872196,"A_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"7","06_29_22","07_07_22",234,"A","234A",152,10,"APO",3,"A","B23","G33","B23G33","3A","B23G33_exp3A",234,131,0.475,0.149,-0.326,-0.686315789,-1.120857898,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"8","06_29_22","06_30_22",182,"I","182I",124,16,"SYM",1,"B","B25","G47","B25G47","1B","B25G47_exp1B",182,36,0.239,0.144,-0.095,-0.39748954,-2.353878387,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"9","08_01_22","8_06_22",255,"C","255C",176,15,"SYM",3,"B","W4","O24","W4O24","3B","W4O24_exp3B",255,189,0.031,0.515,0.484,15.61290323,-0.725670372,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"10","06_29_22","07_07_22",226,"I","226I",148,2,"SYM",2,"B","B33","G95","B33G95","2B","B33G95_exp2B",226,103,0.577,0.196,-0.381,-0.660311958,-0.964955904,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
