"","date_coll","date_frag","col_num","frag_letter","col_frag_num","tile_num","tile_position","stand_beetag","peg_beetag","exp_beetag","exp_num","exp_subrun","beetag_exprun","exp_startdate","N_species","N_dose","temp","food","sym_state","treat_ID","N_species_dose","PES_day","PES_value"
"1","08_01_22","08_03_22",238,"O","238O",159,9,"O17","W14","O17W14",3,"B","O17W14_exp3B","08_25_22","N",18,20,"F","A","N_18_20_F_A","N_18",2,2
"2","08_01_22","08_03_22",238,"O","238O",159,9,"O17","W14","O17W14",3,"B","O17W14_exp3B","08_25_22","N",18,20,"F","A","N_18_20_F_A","N_18",6,NA
"3","08_01_22","08_03_22",238,"O","238O",159,9,"O17","W14","O17W14",3,"B","O17W14_exp3B","08_25_22","N",18,20,"F","A","N_18_20_F_A","N_18",10,NA
"4","08_01_22","08_03_22",242,"Y","242Y",166,6,"O17","W15","O17W15",3,"B","O17W15_exp3B","08_25_22","N",18,20,"F","A","N_18_20_F_A","N_18",2,2
"5","08_01_22","08_03_22",242,"Y","242Y",166,6,"O17","W15","O17W15",3,"B","O17W15_exp3B","08_25_22","N",18,20,"F","A","N_18_20_F_A","N_18",6,NA
"6","08_01_22","08_03_22",242,"Y","242Y",166,6,"O17","W15","O17W15",3,"B","O17W15_exp3B","08_25_22","N",18,20,"F","A","N_18_20_F_A","N_18",10,NA
"7","08_01_22","8_05_22",251,"J","251J",172,11,"O17","W17","O17W17",3,"B","O17W17_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",2,3
"8","08_01_22","8_05_22",251,"J","251J",172,11,"O17","W17","O17W17",3,"B","O17W17_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",6,NA
"9","08_01_22","8_05_22",251,"J","251J",172,11,"O17","W17","O17W17",3,"B","O17W17_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",10,NA
"10","08_01_22","8_05_22",246,"B","246B",169,9,"O17","W20","O17W20",3,"B","O17W20_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",2,5
"11","08_01_22","8_05_22",246,"B","246B",169,9,"O17","W20","O17W20",3,"B","O17W20_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",6,NA
"12","08_01_22","8_05_22",246,"B","246B",169,9,"O17","W20","O17W20",3,"B","O17W20_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",10,NA
"13","08_01_22","8_06_22",256,"F","256F",177,8,"O17","W33","O17W33",3,"B","O17W33_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",2,5
"14","08_01_22","8_06_22",256,"F","256F",177,8,"O17","W33","O17W33",3,"B","O17W33_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",6,NA
"15","08_01_22","8_06_22",256,"F","256F",177,8,"O17","W33","O17W33",3,"B","O17W33_exp3B","08_25_22","N",18,20,"F","S","N_18_20_F_S","N_18",10,NA
"16","08_01_22","08_03_22",238,"X","238X",160,2,"O20","W34","O20W34",3,"B","O20W34_exp3B","08_25_22","N",18,20,"S","A","N_18_20_S_A","N_18",2,2
"17","08_01_22","08_03_22",238,"X","238X",160,2,"O20","W34","O20W34",3,"B","O20W34_exp3B","08_25_22","N",18,20,"S","A","N_18_20_S_A","N_18",6,NA
"18","08_01_22","08_03_22",238,"X","238X",160,2,"O20","W34","O20W34",3,"B","O20W34_exp3B","08_25_22","N",18,20,"S","A","N_18_20_S_A","N_18",10,NA
