station,depth,year_month_day,year,month,day,arrival.time.local,latitude.degrees,latitude.decimal.minutes,longitude.degrees,longitude.decimal.minutes,weather,rain.previous.24,crew,secchi.depth.meters,secchi.on.bottom,station.depth.meters,sample.depth.meters,temperature.celsius,do.mgl,do.percent.saturation,salinity.ppt,pH.nbs,ph.mv,chlorophyll.ugl,d13c.permil,d15n.permil,carbon.mg.l,nitrogen.mg.l,doc.mgl,nitrate.plus.nitrite.uml,nitrite.uml,nitrate.uml,orthophosphate.uml,ammonia.uml,tss.mgl,percent.organic,comments.field,flag.field,comments.chlorophyll,flag.chlorophyll,comments.isotopes,flag.isotopes,comments.doc,flag.doc,comments.nitrate.plus.nitrite,flag.nitrate.plus.nitrite,comments.nitrite,flag.nitrite,comments.orthophosphate,flag.orthophosphate,comments.ammonia,flag.ammonia,comments.tss,flag.tss
1,surface,1/16/2014,2014,01,16,937,41,45.625,71,22.78,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",2.3,n,5.5,0.5,3.4,12.17,101.4,15.12,7.87,NA,2.4,-26.6,5.6,NA,NA,16.95,44.51,0.35,44.16,1.43,9.55,12.26,38.09,moved station slightly-too shallow and rocky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,mid,1/16/2014,2014,01,16,937,41,45.625,71,22.78,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",2.3,n,5.5,2.7,3.1,11.82,104.3,24.32,7.77,NA,3.8,-24.7,7.4,NA,NA,23.11,24.53,0.16,24.37,0.94,4.13,10.53,34.98,moved station slightly-too shallow and rocky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,bottom,1/16/2014,2014,01,16,937,41,45.625,71,22.78,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",2.3,n,5.5,4.5,2.7,11.44,102.9,29.06,7.88,NA,2.5,-24.1,8.4,NA,NA,1.6,10.59,0,10.59,1.77,4.28,12.36,25.23,moved station slightly-too shallow and rocky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,surface,1/16/2014,2014,01,16,1014,41,41.971,71,19.521,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",3.4,n,14.3,0.5,3.2,12.19,106.5,22.8,7.99,NA,1.9,-25.4,7.3,NA,NA,2.18,25.04,0.13,24.91,1.67,6.49,18.03,20.33,moved station slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,mid,1/16/2014,2014,01,16,1014,41,41.971,71,19.521,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",3.4,n,14.3,7,3.1,10.99,100.8,30.84,7.97,NA,2.1,-24,9.1,NA,NA,25.7,6.79,0,6.79,1.16,2.18,13.16,22.15,moved station slightly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,bottom,1/16/2014,2014,01,16,1014,41,41.971,71,19.521,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",3.4,n,14.3,NA,NA,NA,NA,NA,NA,NA,1.2,-24.5,9.2,NA,NA,1.16,4.88,0,4.88,1.65,3.57,13.01,22.96,"moved station slightly, so not in mid-channel, sonde cable insufficient to reach bottom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,surface,1/16/2014,2014,01,16,1133,41,39.493,71,23.196,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",3,n,5.3,0.5,2.9,12.49,110,25.89,8.03,NA,4.5,-23.8,8.9,NA,NA,2.49,15.87,0.02,15.85,1.2,3.78,10.78,33.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,mid,1/16/2014,2014,01,16,1133,41,39.493,71,23.196,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",3,n,5.3,2.6,2.6,13.01,116.1,28.41,8.08,NA,8.8,-22.4,9.8,NA,NA,1.95,7.29,0,7.29,1.2,2.15,12.82,30.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,bottom,1/16/2014,2014,01,16,1133,41,39.493,71,23.196,"Wind: < 5 knots, Air Temp: 0-4 °C, Sea State: flat, miscelaneous: fog",n,"DC, RM, CW",3,n,5.3,5,2.4,12.38,110.7,29.31,8.08,NA,7.5,-22.5,9.8,NA,NA,2.44,7.51,0,7.51,0.59,1.13,12.83,28.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,surface,1/15/2014,2014,01,15,1135,41,35.886,71,22.93,"Wind: 5 knots, Air Temp: NA, Sea State: NA, miscelaneous: sunny, 0.75 in rain past 24 hours",y,"DC, RM, JB",3.5,n,10.1,0.5,2.6,12.33,109.8,28.42,8.01,NA,2.7,-25.5,8.8,NA,NA,1.59,8.21,0,8.21,1.53,2.52,13.63,25.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
