Run File Date,sample_month,sample_year,station_num,depth,Sample ID,orthophosphate,ammonia,nitrate_and_nitrite,nitrite,nitrate
1/11/2021,February,2019,1,upper,1 upper,0.435,6.572,14.347,0.691,13.656
1/11/2021,February,2019,1,middle,1 mid,0.599,6.403,5.656,0.497,5.159
1/11/2021,February,2019,1,bottom,1 bottom,0.65,5.4,1.817,0.288,1.529
1/11/2021,February,2019,2,upper,2 upper,0.596,5.047,4.256,0.772,3.484
1/11/2021,February,2019,2,middle,2 mid,0.596,5.501,1.166,0.53,0.636
1/11/2021,February,2019,2,bottom,2 bottom,0.638,5.133,0.894,0.584,0.31
1/11/2021,February,2019,3,upper,3 upper,0.513,5.803,4.715,1.011,3.704
1/11/2021,February,2019,3,middle,3 mid,0.467,4.426,2.035,0.581,1.454
1/11/2021,February,2019,3,bottom,3 bottom,0.525,5.122,0.925,0.445,0.48
1/11/2021,February,2019,4,upper,4 upper,0.704,4.78,1.246,0.444,0.802
1/11/2021,February,2019,4,middle,4 mid,0.983,4.879,1.541,0.304,1.237
1/11/2021,February,2019,4,bottom,4 bottom,1.289,5.397,0.914,0.438,0.476
1/11/2021,February,2019,5,upper,5 upper,0.821,4.314,0.535,0.288,0.247
1/11/2021,February,2019,5,middle,5 mid,0.886,4.114,0.639,0.238,0.401
1/11/2021,February,2019,5,bottom,5 bottom,1.008,4.254,1.985,0.439,1.546
1/11/2021,February,2019,6,upper,6 upper,0.341,2.604,1.896,0.298,1.598
1/11/2021,February,2019,6,middle,6 mid,0.657,3.821,2.172,0.624,1.548
1/11/2021,February,2019,6,bottom,6 bottom,0.84,4.425,3.095,0.96,2.135
1/11/2021,February,2019,7,upper,7 upper,0.832,3.819,2.174,0.504,1.67
1/11/2021,February,2019,7,middle,7 mid,0.845,4.325,2.1,0.501,1.599
1/11/2021,February,2019,7,bottom,7 bottom,0.853,4.482,2.254,0.455,1.799
1/11/2021,February,2019,8,upper,8 upper,1.012,4.191,2.462,0.363,2.099
1/11/2021,February,2019,8,middle,8 mid,1.161,4.583,4.317,0.348,3.969
1/11/2021,February,2019,8,bottom,8 bottom,1.002,4.385,3.766,0.176,3.59
1/11/2021,March,2019,1,upper,1 upper,0.974,5.162,7.25,0.111,7.139
1/11/2021,March,2019,1,middle,1 mid,1.099,5.075,4.271,0.305,3.966
1/11/2021,March,2019,1,bottom,1 bottom,1.17,5.011,0.949,0.356,0.593
1/11/2021,March,2019,2,upper,2 upper,1.306,5.321,2.547,0.37,2.177
1/11/2021,March,2019,2,middle,2 mid,1.055,4.432,4.887,0.741,4.146
1/11/2021,March,2019,2,bottom,2 bottom,1.423,5.29,0.927,0.364,0.563
1/11/2021,March,2019,3,upper,3 upper,1.106,4.895,0.822,0.363,0.459
1/11/2021,March,2019,3,middle,3 mid,1.12,5.246,0.416,0.372,0.044
1/11/2021,March,2019,3,bottom,3 bottom,1.348,5.388,5.14,0.373,4.767
1/11/2021,March,2019,4,upper,4 upper,0.879,4.93,1.487,0.449,1.038
1/11/2021,March,2019,4,middle,4 mid,1.213,4.847,2.664,0.388,2.276
1/11/2021,March,2019,4,bottom,4 bottom,1.462,5.332,0.466,0.381,0.085
1/11/2021,March,2019,5,upper,5 upper,1.212,5.157,0.818,0.372,0.446
1/11/2021,March,2019,5,middle,5 mid,1.414,5.063,2.655,0.357,2.298
1/11/2021,March,2019,5,bottom,5 bottom,1.127,4.551,0.432,0.365,0.067
1/11/2021,March,2019,6,upper,6 upper,1.097,4.896,1.523,0.408,1.115
1/11/2021,March,2019,6,middle,6 mid,1.185,5.066,1.36,0.407,0.953
1/11/2021,March,2019,6,bottom,6 bottom,1.356,5.291,0.472,0.399,0.073
1/11/2021,March,2019,7,upper,7 upper,0.89,4.822,1.005,0.373,0.632
1/11/2021,March,2019,7,middle,7 mid,1.347,5.519,0.865,0.37,0.495
1/11/2021,March,2019,7,bottom,7 bottom,1.399,5.359,0.916,0.395,0.521
1/11/2021,March,2019,8,upper,8 upper,1.251,5.526,0.308,0.117,0.191
1/11/2021,March,2019,8,middle,8 mid,1.406,4.606,1.701,0.455,1.246
1/11/2021,March,2019,8,bottom,8 bottom,1.514,5.302,0.758,0.396,0.362
1/27/2021,April,2019,1,upper,1 upper,1.177,8.089,11.674,0.446,11.228
1/27/2021,April,2019,1,middle,1 mid,1.041,6.726,7.197,0.476,6.721
1/27/2021,April,2019,1,bottom,1 bottom,1.055,5.471,3.086,0.194,2.892
1/27/2021,April,2019,2,upper,2 upper,1.018,5.228,2.708,0.189,2.519
1/27/2021,April,2019,2,middle,2 mid,1.003,5.105,2.49,0.167,2.323
1/27/2021,April,2019,2,bottom,2 bottom,1.375,5.946,1.602,0.126,1.476
1/27/2021,April,2019,3,upper,3 upper,1.021,4.957,1.788,0.127,1.661
1/27/2021,April,2019,3,middle,3 mid,1.043,4.927,1.764,0.134,1.63
1/27/2021,April,2019,3,bottom,3 bottom,1.019,4.683,1.531,0.058,1.473
1/27/2021,April,2019,4,upper,4 upper,1.003,4.583,1.251,0.281,0.97
1/27/2021,April,2019,4,middle,4 mid,1.024,4.824,0.486,0.05,0.436
1/27/2021,April,2019,4,bottom,4 bottom,1.76,6.248,1.301,0.183,1.118
1/27/2021,April,2019,5,upper,5 upper,1.021,4.389,0.578,0.067,0.511
1/27/2021,April,2019,5,middle,5 mid,0.991,4.456,0.303,0.048,0.255
1/27/2021,April,2019,5,bottom,5 bottom,0.974,4.517,0.645,0.088,0.557
1/27/2021,April,2019,6,upper,6 upper,1.008,4.45,0.657,0.257,0.4
1/27/2021,April,2019,6,middle,6 mid,0.995,4.435,0.496,0.219,0.277
1/27/2021,April,2019,6,bottom,6 bottom,1.139,4.647,0.907,0.198,0.709
1/27/2021,April,2019,7,upper,7 upper,1.159,4.471,0.835,0.199,0.636
1/27/2021,April,2019,7,middle,7 mid,1.079,4.439,0.715,0.173,0.542
1/27/2021,April,2019,7,bottom,7 bottom,1.105,4.193,0.349,0.048,0.301
1/27/2021,April,2019,8,upper,8 upper,1.135,4.184,1.454,0.393,1.061
1/27/2021,April,2019,8,middle,8 mid,1.161,4.154,0.156,0.099,0.057
1/27/2021,April,2019,8,bottom,8 bottom,1.209,4.457,1.529,0.413,1.116
1/27/2021,May,2019,1,upper,1 upper,0.991,6.314,9.994,0.363,9.631
1/27/2021,May,2019,1,middle,1 mid,1.012,4.969,4.75,0.251,4.499
1/27/2021,May,2019,1,bottom,1 bottom,1.53,5.527,3.409,0.317,3.092
1/27/2021,May,2019,2,upper,2 upper,1.005,4.501,1.944,0.215,1.729
1/27/2021,May,2019,2,middle,2 mid,0.919,4.017,0.644,0.13,0.514
1/27/2021,May,2019,2,bottom,2 bottom,1.024,3.89,0.134,0.101,0.033
1/27/2021,May,2019,3,upper,3 upper,0.981,3.691,0.488,0.134,0.354
1/27/2021,May,2019,3,middle,3 mid,0.964,3.713,0.545,0.086,0.459
1/27/2021,May,2019,3,bottom,3 bottom,0.915,3.663,0.338,0.046,0.292
1/27/2021,May,2019,4,upper,4 upper,1.124,4.196,0.522,0.22,0.302
1/27/2021,May,2019,4,middle,4 mid,0.995,3.725,0.58,0.193,0.387
1/27/2021,May,2019,4,bottom,4 bottom,0.972,4.09,0.35,0.214,0.136
1/27/2021,May,2019,5,upper,5 upper,1.601,5.506,0.909,0.236,0.673
1/27/2021,May,2019,5,middle,5 mid,1.004,3.515,1.185,0.163,1.022
1/27/2021,May,2019,5,bottom,5 bottom,0.928,3.791,1.374,0.265,1.109
1/27/2021,May,2019,6,upper,6 upper,0.943,3.603,0.865,0.164,0.701
1/27/2021,May,2019,6,middle,6 mid,1.735,5.343,2.83,0.186,2.644
1/27/2021,May,2019,6,bottom,6 bottom,0.899,4.099,0.968,0.192,0.776
1/27/2021,May,2019,7,upper,7 upper,0.919,3.525,1.199,0.308,0.891
1/27/2021,May,2019,7,middle,7 mid,1.025,3.94,0.887,0.259,0.628
1/27/2021,May,2019,7,bottom,7 bottom,1.095,4.201,0.851,0.223,0.628
1/27/2021,May,2019,8,upper,8 upper,0.898,3.88,0.558,0.12,0.438
1/27/2021,May,2019,8,middle,8 mid,1.093,3.295,0.421,0.126,0.295
1/27/2021,May,2019,8,bottom,8 bottom,1.085,3.936,1.245,0.162,1.083
1/29/2021,June,2019,1,upper,1 upper,0.896,7.011,7.378,0.474,6.904
1/29/2021,June,2019,1,middle,1 mid,1.587,6.147,3.149,0.513,2.636
1/29/2021,June,2019,1,bottom,1 bottom,1.074,5.743,0.634,0.371,0.263
1/29/2021,June,2019,2,upper,2 upper,1.426,5.243,1.23,0.313,0.917
1/29/2021,June,2019,2,middle,2 mid,1.562,5.579,1.228,0.34,0.888
1/29/2021,June,2019,2,bottom,2 bottom,0.933,4.284,1.023,0.301,0.722
1/29/2021,June,2019,3,upper,3 upper,1.552,5.546,0.557,0.55,0.007
1/29/2021,June,2019,3,middle,3 mid,0.899,4.058,0.378,0.349,0.029
1/29/2021,June,2019,3,bottom,3 bottom,1.609,5.685,1.338,0.363,0.975
1/29/2021,June,2019,4,upper,4 upper,1.586,5.287,0.251,0.119,0.132
1/29/2021,June,2019,4,middle,4 mid,0.851,3.829,1.355,0.352,1.004
1/29/2021,June,2019,4,bottom,4 bottom,1.695,5.675,0.804,0.607,0.197
1/29/2021,June,2019,5,upper,5 upper,0.779,4.12,1.483,0.391,1.092
1/29/2021,June,2019,5,middle,5 mid,0.891,4.035,1.316,0.353,0.963
1/29/2021,June,2019,5,bottom,5 bottom,0.884,4.13,0.409,0.359,0.05
1/29/2021,June,2019,6,upper,6 upper,0.787,3.57,0.379,0.366,0.013
1/29/2021,June,2019,6,middle,6 mid,0.829,3.686,0.446,0.305,0.141
1/29/2021,June,2019,6,bottom,6 bottom,0.807,4.27,0.594,0.355,0.239
1/29/2021,June,2019,7,upper,7 upper,0.769,3.824,1.217,0.369,0.848
1/29/2021,June,2019,7,middle,7 mid,0.858,3.459,0.348,0.208,0.14
1/29/2021,June,2019,7,bottom,7 bottom,0.899,3.909,1.877,0.367,1.51
1/29/2021,June,2019,8,upper,8 upper,0.747,3.794,0.543,0.278,0.265
1/29/2021,June,2019,8,middle,8 mid,0.89,3.432,1.355,0.401,0.954
1/29/2021,June,2019,8,bottom,8 bottom,0.905,3.561,1.771,0.348,1.423
1/29/2021,July,2019,1,upper,1 upper,1.114,3.725,2.274,0.366,1.908
1/29/2021,July,2019,1,middle,1 mid,1.683,4.235,0.649,0.465,0.184
1/29/2021,July,2019,1,bottom,1 bottom,1.376,5.692,0.48,0.389,0.091
1/29/2021,July,2019,2,upper,2 upper,1.134,3.824,0.506,0.363,0.143
1/29/2021,July,2019,2,middle,2 mid,1.387,3.808,0.18,0.131,0.049
1/29/2021,July,2019,2,bottom,2 bottom,1.194,3.491,0.24,0.179,0.061
1/29/2021,July,2019,3,upper,3 upper,1.348,3.66,0.294,0.139,0.155
1/29/2021,July,2019,3,middle,3 mid,1.234,3.412,0.37,0.146,0.224
1/29/2021,July,2019,3,bottom,3 bottom,1.125,3.457,0.274,0.135,0.139
1/29/2021,July,2019,4,upper,4 upper,1.138,3.421,0.231,0.156,0.075
1/29/2021,July,2019,4,middle,4 mid,1.003,3.385,0.465,0.174,0.291
1/29/2021,July,2019,4,bottom,4 bottom,0.984,3.773,0.457,0.167,0.29
1/29/2021,July,2019,5,upper,5 upper,1.886,5.176,0.79,0.28,0.51
1/29/2021,July,2019,5,middle,5 mid,0.865,3.77,0.299,0.138,0.161
1/29/2021,July,2019,5,bottom,5 bottom,1.074,3.755,0.481,0.177,0.304
1/29/2021,July,2019,6,upper,6 upper,1.024,3.311,0.495,0.316,0.179
1/29/2021,July,2019,6,middle,6 mid,1.174,3.363,0.337,0.154,0.183
1/29/2021,July,2019,6,bottom,6 bottom,1.096,3.578,0.351,0.111,0.24
1/29/2021,July,2019,7,upper,7 upper,1.085,3.336,0.291,0.144,0.147
1/29/2021,July,2019,7,middle,7 mid,0.911,3.598,0.421,0.187,0.235
1/29/2021,July,2019,7,bottom,7 bottom,0.962,4.191,0.518,0.142,0.376
1/29/2021,July,2019,8,upper,8 upper,0.843,3.378,0.587,0.137,0.45
1/29/2021,July,2019,8,middle,8 mid,0.953,3.66,0.423,0.207,0.216
1/29/2021,July,2019,8,bottom,8 bottom,0.948,4.099,0.642,0.224,0.418
2/3/2021,August,2019,1,upper,1 upper,1.527,5.631,0.751,0.103,0.648
2/3/2021,August,2019,1,middle,1 mid,2.204,5.808,0.669,0.234,0.435
