variable_old,variable,coef,lower_95QI,upper_95QI,sign
Intercept,Intercept,0.011162497,-0.034631256,0.057944666,0 in 95% Quantile Interval
Elevated NO3-,Elevated NO3-,0.039143479,-0.053202154,0.130242088,0 in 95% Quantile Interval
29°C,29°C,-0.049316462,-0.106956965,0.006630357,0 in 95% Quantile Interval
Starved,Starved,0.010334217,-0.047088587,0.06845604,0 in 95% Quantile Interval
Symbotic,Symbotic,-0.072820491,-0.13433803,-0.01255543,0 not in 95% Quantile Interval
Elevated NO3- × 29°C,Elevated NO3- × 29°C,0.005759992,-0.13856281,0.148533879,0 in 95% Quantile Interval
dose_levelElevated:feedStarved,Elevated NO3- × Starved,-0.101138771,-0.25301719,0.049678098,0 in 95% Quantile Interval
dose_levelElevated:symbiontSymbiotic,Elevated NO3- × Symbiotic,-0.000793509,-0.12867768,0.12607824,0 in 95% Quantile Interval
temp30:feedStarved,29°C,0.048379484,-0.034751446,0.130857565,0 in 95% Quantile Interval
temp30:symbiontSymbiotic,29°C × Symbiotic,0.083709229,0.006437216,0.162684179,0 not in 95% Quantile Interval
feedStarved:symbiontSymbiotic,Starved × Symbiotic,-0.051127472,-0.131089063,0.029550873,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved,Elevated NO3- × 29°C × Starved,0.035105769,-0.159467182,0.238344376,0 in 95% Quantile Interval
dose_levelElevated:temp30:symbiontSymbiotic,Elevated NO3- × 29°C × Symbiotic,-0.087058553,-0.282686464,0.114952419,0 in 95% Quantile Interval
dose_levelElevated:feedStarved:symbiontSymbiotic,Elevated NO3- × Starved × Symbiotic,0.138390255,-0.071891108,0.353377014,0 in 95% Quantile Interval
temp30:feedStarved:symbiontSymbiotic,29°C × Starved × Symbiotic,0.030949765,-0.082193031,0.14665505,0 in 95% Quantile Interval
dose_levelElevated:temp30:feedStarved:symbiontSymbiotic,Elevated NO3- × 29°C × Starved × Symbiotic,-0.144973352,-0.430398516,0.13041071,0 in 95% Quantile Interval
,,,,,
,×,,,,
