date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,stand_beetag,peg_beetag,exp_beetag,exp_num,exp_subrun,beetag_exprun,exp_startdate,N_species,N_dose,temp,food,sym_state,treat_ID,N_species_dose,PES_day2,PES_day6,PES_day10
08_01_22,08_03_22,238,O,238O,159,9,O17,W14,O17W14,3,B,O17W14_exp3B,08_25_22,N,18,20,F,A,N_18_20_F_A,N_18,2,NA,NA
08_01_22,08_03_22,242,Y,242Y,166,6,O17,W15,O17W15,3,B,O17W15_exp3B,08_25_22,N,18,20,F,A,N_18_20_F_A,N_18,2,NA,NA
08_01_22,8_05_22,251,J,251J,172,11,O17,W17,O17W17,3,B,O17W17_exp3B,08_25_22,N,18,20,F,S,N_18_20_F_S,N_18,3,NA,NA
08_01_22,8_05_22,246,B,246B,169,9,O17,W20,O17W20,3,B,O17W20_exp3B,08_25_22,N,18,20,F,S,N_18_20_F_S,N_18,5,NA,NA
08_01_22,8_06_22,256,F,256F,177,8,O17,W33,O17W33,3,B,O17W33_exp3B,08_25_22,N,18,20,F,S,N_18_20_F_S,N_18,5,NA,NA
08_01_22,08_03_22,238,X,238X,160,2,O20,W34,O20W34,3,B,O20W34_exp3B,08_25_22,N,18,20,S,A,N_18_20_S_A,N_18,2,NA,NA
08_01_22,8_05_22,244,H,244H,168,3,O20,W35,O20W35,3,B,O20W35_exp3B,08_25_22,N,18,20,S,A,N_18_20_S_A,N_18,3,NA,NA
08_01_22,8_05_22,250,A,250A,171,7,O20,W36,O20W36,3,B,O20W36_exp3B,08_25_22,N,18,20,S,S,N_18_20_S_S,N_18,2,NA,NA
08_01_22,8_05_22,252,J,252J,173,11,O20,W37,O20W37,3,B,O20W37_exp3B,08_25_22,N,18,20,S,S,N_18_20_S_S,N_18,2,NA,NA
06_22_36,07_31_36,236,C,236C,153,15,O20,W38,O20W38,3,B,O20W38_exp3B,08_25_22,N,18,20,S,S,N_18_20_S_S,N_18,1,NA,NA
08_01_22,08_03_22,240,K,240K,162,5,R13,W64,R13W64,3,A,R13W64_exp3A,08_21_22,A,10,20,S,S,A_10_20_S_S,A_10,2,1,NA
08_01_22,08_03_22,242,S,242S,165,16,W20,O84,W20O84,3,B,W20O84_exp3B,08_25_22,A,10,30,S,A,A_10_30_S_A,A_10,2,1,NA
08_01_22,08_02_22,237,I,237I,154,11,R1,W3,R1W3,3,A,R1W3_exp3A,08_21_22,N,18,20,F,A,N_18_20_F_A,N_18,3,1,NA
08_01_22,08_02_22,237,BE,237BE,157,11,R10,W47,R10W47,3,A,R10W47_exp3A,08_21_22,N,18,20,S,A,N_18_20_S_A,N_18,3,1,NA
08_01_22,08_03_22,239,P,239P,161,4,R10,W48,R10W48,3,A,R10W48_exp3A,08_21_22,N,18,20,S,S,N_18_20_S_S,N_18,2,1,NA
06_29_22,07_07_22,227,D,227D,148,12,Y12,B64,Y12B64,2,A,Y12B64_exp2A,8_4_22,N,5,30,F,A,N_5_30_F_A,N_5,1,1,NA
06_29_22,07_07_22,225,E,225E,146,16,Y2,B14,Y2B14,3,A,Y2B14_exp3A,08_21_22,N,5,20,F,A,N_5_20_F_A,N_5,2,1,NA
08_01_22,08_02_22,237,R,237R,155,4,Y3,B26,Y3B26,3,A,Y3B26_exp3A,08_21_22,N,5,20,S,A,N_5_20_S_A,N_5,3,1,NA
08_01_22,08_03_22,239,O,239O,161,3,Y3,B28,Y3B28,3,A,Y3B28_exp3A,08_21_22,N,5,20,S,S,N_5_20_S_S,N_5,1,1,NA
06_29_22,07_07_22,217,G,217G,143,14,B34,G3310,B34G3310,2,B,B34G3310_exp2B,8_9_22,A,0,30,S,S,A_0_30_S_S,A_0,3,1,1
08_01_22,08_03_22,240,H,240H,162,2,B24,G41,B24G41,3,A,B24G41_exp3A,08_21_22,A,0,20,S,S,A_0_20_S_S,A_0,3,1,1
08_01_22,08_02_22,237,AF,237AF,156,2,B28,G59,B28G59,3,A,B28G59_exp3A,08_21_22,A,0,30,F,A,A_0_30_F_A,A_0,3,1,1
08_01_22,,237,A,237A,154,3,B29,G64,B29G64,3,A,B29G64_exp3A,08_21_22,A,0,30,S,A,A_0_30_S_A,A_0,1,1,1
08_01_22,08_02_22,237,AN,237AN,156,10,B29,G65,B29G65,3,A,B29G65_exp3A,08_21_22,A,0,30,S,A,A_0_30_S_A,A_0,2,1,1
