date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,exp_num,stand_beetag,peg_beetag,exp_1_beetag,exp_1_subrun,beetag_exprun,exp_startdate,treat_ID,N_species,N_dose,temp,food,sym_state,N_species_dose,survival_day1,survival_day2,survival_day3,survival_day4,survival_day5,survival_day6,survival_day7,survival_day8,survival_day9,survival_day10,survival_day11,survival_day12
06_29_22,06_30_22,167,G,167G,113,14,1,B13,G10,B13G10,B,B13G10_exp1B,7_17_22,A_0_30_F_S,A,0,30,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,175,D,175D,121,14,2,B13,G10,B13G10,A,B13G10_exp2A,08_04_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,239,B,239B,160,6,3,B13,G10,B13G10,A,B13G10_exp3A,08_21_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,178,B,178B,122,15,1,B13,G13,B13G13,B,B13G13_exp1B,7_17_22,A_0_30_F_S,A,0,30,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,206,E,206E,137,1,2,B13,G13,B13G13,A,B13G13_exp2A,,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,240,P,240P,162,10,3,B13,G13,B13G13,A,B13G13_exp3A,08_21_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,167,M,167M,114,4,1,B13,G2,B13G2,B,B13G2_exp1B,7_17_22,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,174,A,174A,121,1,2,B13,G2,B13G2,A,B13G2_exp2A,,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,223,A,223A,145,11,3,B13,G2,B13G2,A,B13G2_exp3A,08_21_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,178,I,178I,123,6,1,B13,G3,B13G3,B,B13G3_exp1B,7_17_22,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,199,A,199A,134,7,2,B13,G3,B13G3,A,B13G3_exp2A,,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,E,237E,154,7,3,B13,G3,B13G3,A,B13G3_exp3A,08_21_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,184,Q,184Q,126,15,1,B13,G8,B13G8,B,B13G8_exp1B,7_17_22,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,226,K,226K,148,4,2,B13,G8,B13G8,A,B13G8_exp2A,,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,AT,237AT,156,16,3,B13,G8,B13G8,A,B13G8_exp3A,08_21_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,168,C,168C,115,5,1,B14,G14,B14G14,A,B14G14_exp1A,7_15_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,149,D,149D,101,3,2,B14,G14,B14G14,B,B14G14_exp2B,08_09_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,150,P,150P,102,5,1,B14,G15,B14G15,A,B14G15_exp1A,7_15_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,184,I,184I,126,7,2,B14,G15,B14G15,B,B14G15_exp2B,,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_23_22,142,B,142B,97,2,1,B14,G17,B14G17,A,B14G17_exp1A,7_15_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,159,D,159D,109,13,2,B14,G17,B14G17,B,B14G17_exp2B,,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_23_22,145,F,145F,99,12,1,B14,G20,B14G20,A,B14G20_exp1A,7_15_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,202,D,202D,135,15,2,B14,G20,B14G20,B,B14G20_exp2B,,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,153,M,153M,105,1,1,B14,G21,B14G21,A,B14G21_exp1A,7_15_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,223,D,223D,145,14,2,B14,G21,B14G21,B,B14G21_exp2B,,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,168,K,168K,115,13,1,B15,G22,B15G22,A,B15G22_exp1A,7_15_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,169,I,169I,116,13,2,B15,G22,B15G22,B,B15G22_exp2B,,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,150,I,150I,101,14,1,B15,G23,B15G23,A,B15G23_exp1A,7_15_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,203,C,203C,136,2,2,B15,G23,B15G23,B,B15G23_exp2B,,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,149,C,149C,101,2,1,B15,G24,B15G24,A,B15G24_exp1A,7_15_22,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,180,A,180A,123,15,2,B15,G24,B15G24,B,B15G24_exp2B,,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,157,N,157N,107,14,1,B15,G25,B15G25,A,B15G25_exp1A,7_15_22,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_05_22,208,A,208A,139,1,2,B15,G25,B15G25,B,B15G25_exp2B,,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
