date_collected,exp_day_of_coll,exp_subrun,treatment_ID,NO3_mean_observed,N_species,N_dose,temp,food,N_species_dose_temp,sample_name,NO3_and_NO2_uM,NO2_uM,NO3_uM,NO3_INTENDED,NO3_DISCREPANCY,NH4_uM,NH4_INTENDED,NH4_DISCREPANCY,PO4
8_27_22,7,3A,A_0_20_F,3.023,A,0,20,F,A_0_20,NA,4.328,0.262,4.066,0,4.066,3.551,0,3.551,NA
8_27_22,3,3B,A_0_20_F,3.023,A,0,20,F,A_0_20,20_A_0_F,2.057,0.077,1.98,0,1.98,4.999,0,4.999,0.046
8_31_22,11,3A,A_0_20_S,1.605,A,0,20,S,A_0_20,NA,2.051,0.364,1.687,0,1.687,6.422,0,6.422,NA
8_23_22,3,3A,A_0_20_S,1.605,A,0,20,S,A_0_20,0 µM NH4 20C,0.792,0.068,0.724,0,0.724,3.059,0,3.059,0.008
8_31_22,7,3B,A_0_20_S,1.605,A,0,20,S,A_0_20,A CNTRL Day 7 20C,3.121,0.331,2.79,0,2.79,3.465,0,3.465,0.026
9_4_22,11,3B,A_0_20_S,1.605,A,0,20,S,A_0_20,20_A_0_S,1.538,0.319,1.219,0,1.219,9.712,0,9.712,NA
8_27_22,7,3A,A_0_30_F,2.3655,A,0,30,F,A_0_30,NA,3.205,1.313,1.892,0,1.892,12.403,0,12.403,NA
8_27_22,3,3B,A_0_30_F,2.3655,A,0,30,F,A_0_30,30_A_0_F,3.115,0.276,2.839,0,2.839,21.551,0,21.551,0.392
8_31_22,11,3A,A_0_30_S,2.871,A,0,30,S,A_0_30,NA,4.385,2.099,2.286,0,2.286,16.526,0,16.526,NA
8_23_22,3,3A,A_0_30_S,2.871,A,0,30,S,A_0_30,0 µM NH4 30C,3.422,0.545,2.877,0,2.877,13.913,0,13.913,0.039
8_31_22,7,3B,A_0_30_S,2.871,A,0,30,S,A_0_30,A CNTRL Day 7 30C,3.527,0.74,2.787,0,2.787,12.373,0,12.373,0.461
9_4_22,11,3B,A_0_30_S,2.871,A,0,30,S,A_0_30,30_A_0_S,4.635,1.101,3.534,0,3.534,9.181,0,9.181,NA
8_27_22,7,3A,A_10_20_F,3.503,A,10,20,F,A_10_20,NA,4.329,0.434,3.895,0,3.895,11.449,10,1.449,NA
8_27_22,3,3B,A_10_20_F,3.503,A,10,20,F,A_10_20,20_A_10_F,3.314,0.203,3.111,0,3.111,13.319,10,3.319,0.006
8_31_22,11,3A,A_10_20_S,3.133,A,10,20,S,A_10_20,NA,2.878,0.551,2.327,0,2.327,11.122,10,1.122,NA
8_23_22,3,3A,A_10_20_S,3.133,A,10,20,S,A_10_20,10 µM NH4 20C,5.514,0.158,5.356,0,5.356,15.566,10,5.566,0.212
8_31_22,7,3B,A_10_20_S,3.133,A,10,20,S,A_10_20,A10 Day7 20C,3.261,0.517,2.744,0,2.744,18.228,10,8.228,0.048
9_4_22,11,3B,A_10_20_S,3.133,A,10,20,S,A_10_20,20_A_10_S,2.882,0.777,2.105,0,2.105,36.307,10,26.307,NA
8_27_22,7,3A,A_10_30_F,2.017,A,10,30,F,A_10_30,NA,2.06,0.464,1.596,0,1.596,19.336,10,9.336,NA
8_27_22,3,3B,A_10_30_F,2.017,A,10,30,F,A_10_30,30_A_10_F,2.654,0.216,2.438,0,2.438,24.666,10,14.666,0.159
8_31_22,11,3A,A_10_30_S,3.6255,A,10,30,S,A_10_30,NA,3.723,1.679,2.044,0,2.044,17.96,10,7.96,NA
8_23_22,3,3A,A_10_30_S,3.6255,A,10,30,S,A_10_30,10 µM NH4 30C,4.371,0.424,3.947,0,3.947,24.271,10,14.271,0.247
8_31_22,7,3B,A_10_30_S,3.6255,A,10,30,S,A_10_30,A10 Day7 30C,5.007,1.405,3.602,0,3.602,23.071,10,13.071,0.153
9_4_22,11,3B,A_10_30_S,3.6255,A,10,30,S,A_10_30,30_A_10_S,7.341,2.432,4.909,0,4.909,19.911,10,9.911,NA
8_27_22,7,3A,A_5_20_F,2.518,A,5,20,F,A_5_20,NA,3.051,0.589,2.462,0,2.462,12.255,5,7.255,NA
8_27_22,3,3B,A_5_20_F,2.518,A,5,20,F,A_5_20,20_A_5_F,2.695,0.121,2.574,0,2.574,14.611,5,9.611,0.154
8_31_22,11,3A,A_5_20_S,3.4665,A,5,20,S,A_5_20,NA,5.886,0.697,5.189,0,5.189,12.442,5,7.442,NA
8_23_22,3,3A,A_5_20_S,3.4665,A,5,20,S,A_5_20,5 µM NH4 20C,3.721,0.094,3.627,0,3.627,9.302,5,4.302,0.114
8_31_22,7,3B,A_5_20_S,3.4665,A,5,20,S,A_5_20,A5 Day 7 20C,2.542,0.304,2.238,0,2.238,6.5,5,1.5,0.043
9_4_22,11,3B,A_5_20_S,3.4665,A,5,20,S,A_5_20,20_A_5_S,4.028,1.216,2.812,0,2.812,16.7,5,11.7,NA
8_27_22,7,3A,A_5_30_F,2.6645,A,5,30,F,A_5_30,NA,2.759,0.949,1.81,0,1.81,12.468,5,7.468,NA
8_27_22,3,3B,A_5_30_F,2.6645,A,5,30,F,A_5_30,30_A_5_F,3.657,0.138,3.519,0,3.519,8.066,5,3.066,0.057
8_31_22,11,3A,A_5_30_S,3.08375,A,5,30,S,A_5_30,NA,4.364,2.337,2.027,0,2.027,25.834,5,20.834,NA
8_23_22,3,3A,A_5_30_S,3.08375,A,5,30,S,A_5_30,5 µM NH4 30C,3.708,0.307,3.401,0,3.401,23.262,5,18.262,0.275
8_31_22,7,3B,A_5_30_S,3.08375,A,5,30,S,A_5_30,A5 Day 7 30C,3.709,0.974,2.735,0,2.735,17.564,5,12.564,0.273
9_4_22,11,3B,A_5_30_S,3.08375,A,5,30,S,A_5_30,30_A_5_S,5.54,1.368,4.172,0,4.172,13.003,5,8.003,NA
8_27_22,7,3A,A_7.5_20_F,3.24,A,7.5,20,F,A_7.5_20,NA,4.308,0.229,4.079,0,4.079,10.676,7.5,3.176,NA
8_27_22,3,3B,A_7.5_20_F,3.24,A,7.5,20,F,A_7.5_20,20_A_7.5_F,2.545,0.144,2.401,0,2.401,12.902,7.5,5.402,0.094
8_31_22,11,3A,A_7.5_20_S,2.461,A,7.5,20,S,A_7.5_20,NA,3.684,0.524,3.16,0,3.16,12.564,7.5,5.064,NA
8_23_22,3,3A,A_7.5_20_S,2.461,A,7.5,20,S,A_7.5_20,7.5 µM NH4 20C,3.056,0.08,2.976,0,2.976,9.961,7.5,2.461,0.04
8_31_22,7,3B,A_7.5_20_S,2.461,A,7.5,20,S,A_7.5_20,A7.5 Day 7 20C,1.775,0.14,1.635,0,1.635,8.931,7.5,1.431,0.075
9_4_22,11,3B,A_7.5_20_S,2.461,A,7.5,20,S,A_7.5_20,20_A_7.5_S,2.748,0.675,2.073,0,2.073,21.036,7.5,13.536,NA
8_27_22,7,3A,A_7.5_30_F,2.424,A,7.5,30,F,A_7.5_30,NA,4.363,1.037,3.326,0,3.326,22.475,7.5,14.975,NA
8_27_22,3,3B,A_7.5_30_F,2.424,A,7.5,30,F,A_7.5_30,30_A_7.5_F,1.647,0.125,1.522,0,1.522,7.429,7.5,-0.071,-0.002
8_31_22,11,3A,A_7.5_30_S,3.125,A,7.5,30,S,A_7.5_30,NA,4.842,2.699,2.143,0,2.143,25.198,7.5,17.698,NA
8_23_22,3,3A,A_7.5_30_S,3.125,A,7.5,30,S,A_7.5_30,7.5 µM NH4 30C,4.943,0.468,4.475,0,4.475,25.26,7.5,17.76,0.185
8_31_22,7,3B,A_7.5_30_S,3.125,A,7.5,30,S,A_7.5_30,A7.5 Day 7 30C,3.288,0.714,2.574,0,2.574,17.208,7.5,9.708,0.27
9_4_22,11,3B,A_7.5_30_S,3.125,A,7.5,30,S,A_7.5_30,30_A_7.5_S,4.33,1.022,3.308,0,3.308,9.46,7.5,1.96,NA
8_27_22,7,3A,N_0_20_F,1.214,N,0,20,F,N_0_20,NA,1.696,0.293,1.403,0,1.403,5.581,0,5.581,NA
8_27_22,3,3B,N_0_20_F,1.214,N,0,20,F,N_0_20,20_N_0_F,1.106,0.081,1.025,0,1.025,3.782,0,3.782,0.091
8_31_22,11,3A,N_0_20_S,3.13625,N,0,20,S,N_0_20,NA,3.954,0.594,3.36,0,3.36,4.706,0,4.706,NA
8_23_22,3,3A,N_0_20_S,3.13625,N,0,20,S,N_0_20,0 µM NO3 20C,4.447,0.116,4.331,0,4.331,7.066,0,7.066,0.11
8_31_22,7,3B,N_0_20_S,3.13625,N,0,20,S,N_0_20,N CNTRL Day 7 20C,3.234,0.318,2.916,0,2.916,2.737,0,2.737,0.128
9_4_22,11,3B,N_0_20_S,3.13625,N,0,20,S,N_0_20,20_N_0_S,2.454,0.516,1.938,0,1.938,8.438,0,8.438,NA
8_27_22,7,3A,N_0_30_F,1.5285,N,0,30,F,N_0_30,NA,2.129,0.883,1.246,0,1.246,21.249,0,21.249,NA
8_27_22,3,3B,N_0_30_F,1.5285,N,0,30,F,N_0_30,30_N_0_F,2.072,0.261,1.811,0,1.811,4.876,0,4.876,0.018
