,X,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,NO3_category
1,10,08_20_22,2,B,2,0,B3,B3,-0.00154,-0.014759857,0.014759857,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G26Y50,2B,G26Y50_exp2B,167,106,0,Low
2,11,08_15_22,2,A,2,0,C3,C3,-0.00144,-0.018841429,0.018841429,N_1.5_30_F_S,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_S,F_S,N_1.5,N,Nitrate,1.5,30,F,S,G33Y1,2A,G33Y1_exp2A,206,77,0,Low
3,6,08_15_22,2,A,3,0,B2,B2,-0.00139,-0.02115555,0.02115555,N_5_30_F_S,N_5_30_F,5.8445,11.501,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,Y12B65,2A,Y12B65_exp2A,192,89,0,Low
4,18,08_20_22,2,B,1,1,B5,B5,-0.00068,-0.021545761,0.021545761,N_0_30_S_A,N_0_30_S,3.325,13.65775,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G84,2B,B32G84_exp2B,211,102,0,Low
5,15,09_05_22,3,B,1,0,C4,C4,-0.00372,-0.021598636,0.021598636,N_0_30_F_A,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,W1O1,3B,W1O1_exp3B,238,177,0,Low
6,16,09_01_22,3,A,1,0,D4,D4,-0.00385,-0.02334343,0.02334343,N_0_30_F_S,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B25G47,3A,B25G47_exp3A,240,133,0,Low
7,4,7_26_22,1,B,2,0,D1,D1,-0.00114,-0.025687992,0.025687992,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5_30_S_A,S_A,A_5,A,Ammonium,5,30,S,A,Y12B62,1B,Y12B62_exp1B,169,56,0,Low
8,22,09_05_22,3,B,2,1,B6,B6,-0.00204,-0.026971514,0.026971514,A_7.5_30_S_S,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_S,S_S,A_7.5,A,Ammonium,7.5,30,S,S,W14O66,3B,W14O66_exp3B,254,182,0,Low
9,5,08_15_22,2,A,3,0,A2,A2,-0.00155,-0.027081657,0.027081657,N_5_30_F_A,N_5_30_F,5.8445,11.501,N_5_30_F_A,F_A,N_5,N,Nitrate,5,30,F,A,Y12B62,2A,Y12B62_exp2A,186,89,0,Low
10,6,08_15_22,2,A,2,0,B2,B2,-0.0023,-0.027683694,0.027683694,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G23Y1819,2A,G23Y1819_exp2A,199,73,0,Low
11,17,7_26_22,1,B,2,0,A5,A5,-0.00293,-0.028406337,0.028406337,A_7.5_20_S_S,A_7.5_20_S,2.461,13.123,A_7.5_20_S_S,S_S,A_7.5,A,Ammonium,7.5,20,S,S,Y23B1927,1B,Y23B1927_exp1B,167,59,0,Low
12,3,7_26_22,1,A,2,0,C1,C1,-0.00283,-0.028636209,0.028636209,A_5_30_F_S,A_5_30_F,2.6645,10.267,A_5_30_F_S,F_S,A_5,A,Ammonium,5,30,F,S,G32Y92,1A,G32Y92_exp1A,152,14,0,Low
13,7,7_26_22,1,A,1,0,C2,C2,-0.00086,-0.028637709,0.028637709,A_0_30_F_A,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B31G78,1A,B31G78_exp1A,144,6,0,Low
14,11,7_26_22,1,B,1,0,C3,C3,-0.00123,-0.029779574,0.029779574,N_0_20_F_A,N_0_20_F,1.214,4.6815,CNTRL_0_20_F_A,F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B22G28,1B,B22G28_exp1B,169,34,0,Low
15,17,7_26_22,1,B,2,1,A5,A5,-0.00356,-0.02985483,0.02985483,A_7.5_20_S_S,A_7.5_20_S,2.461,13.123,A_7.5_20_S_S,S_S,A_7.5,A,Ammonium,7.5,20,S,S,Y23B3299,1B,Y23B3299_exp1B,182,59,0,Low
16,4,7_26_22,1,A,1,0,D1,D1,-0.00184,-0.03001097,0.03001097,A_0_20_F_S,A_0_20_F,3.023,4.275,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B24G40,1A,B24G40_exp1A,143,3,0,Low
17,9,08_20_22,2,B,1,0,A3,A3,-0.00246,-0.030655281,0.030655281,A_0_30_S_A,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B34G100,2B,B34G100_exp2B,224,104,0,Low
18,5,08_15_22,2,A,2,0,A2,A2,-0.00223,-0.031862701,0.031862701,A_5_30_S_S,A_5_30_S,3.08375,19.91575,A_5_30_S_S,S_S,A_5,A,Ammonium,5,30,S,S,G38Y37,2A,G38Y37_exp2A,205,80,0,Low
19,6,09_05_22,3,B,2,1,B2,B2,-0.00305,-0.032176449,0.032176449,A_5_30_S_S,A_5_30_S,3.08375,19.91575,A_5_30_S_S,S_S,A_5,A,Ammonium,5,30,S,S,W10O45,3B,W10O45_exp3B,254,178,0,Low
