variable,coef,lower_95_CI,upper_95_CI,sign_95_CI,lower_90_CI,upper_90_CI,sign_90_CI,label
(Intercept),0.011368320540767323,-0.03492873726632511,0.057387563435875866,0 in 95% CI,-0.027739165148274597,0.0499651993340447,0 in 90% CI,INTERCEPT
dose_levelElevated,0.039709979879103435,-0.048024835115862356,0.12895717040043592,0 in 95% CI,-0.03337596624166165,0.11430993123337883,0 in 90% CI,Elevated NO3-
temp29,-0.04949153417720954,-0.10616574058350911,0.005983466021538333,0 in 95% CI,-0.09642458020488749,-0.002793927175092877,0 not in 90% CI,29°C
feedStarved,0.009975765714427293,-0.04555410357152388,0.0668472446879382,0 in 95% CI,-0.036836241277924814,0.05792570892985812,0 in 90% CI,Starved
symbiontSymbiotic,-0.07345575145291725,-0.13412286279706392,-0.013840007955766141,0 not in 95% CI,-0.12423533316486324,-0.02255584146172999,0 not in 90% CI,Symbiotic
dose_levelElevated:temp29,0.004824178535677743,-0.13549097511737035,0.1455454948025881,0 in 95% CI,-0.11128115885367983,0.12162057559029125,0 in 90% CI,Elevated NO3- x 29°C
dose_levelElevated:feedStarved,-0.10244720350338236,-0.24885168858938578,0.04202820644605016,0 in 95% CI,-0.2270449041753814,0.019785516103850903,0 in 90% CI,Elevated NO3- x Starved
dose_levelElevated:symbiontSymbiotic,-0.002506138232564269,-0.12772060129685542,0.12312444047060261,0 in 95% CI,-0.10615501200106628,0.10219514125358756,0 in 90% CI,Elevated NO3- x Symbiotic
temp29:feedStarved,0.047315041441982675,-0.033037622364793524,0.12845521507644858,0 in 95% CI,-0.01954607467524549,0.11566727697524021,0 in 90% CI,29°C x Starved
temp29:symbiontSymbiotic,0.08400666450623723,0.00815214203928755,0.16166487935031526,0 not in 95% CI,0.019362081629893155,0.14928064318635348,0 not in 90% CI,29°C x Symbiotic
feedStarved:symbiontSymbiotic,-0.05005955864209739,-0.13208485273415363,0.02993303840436841,0 in 95% CI,-0.11735842013120693,0.01707271801320835,0 in 90% CI,Starved x Symbiotic
dose_levelElevated:temp29:feedStarved,0.036501631329726086,-0.15027727686217032,0.23421957130079013,0 in 95% CI,-0.12338820930271444,0.20187774465930436,0 in 90% CI,Elevated NO3- x 29°C x Starved
dose_levelElevated:temp29:symbiontSymbiotic,-0.08441298528502778,-0.27757001587646646,0.10333016608263572,0 in 95% CI,-0.24506391328654048,0.07463215827659288,0 in 90% CI,Elevated NO3- x 29°C x Symbiotic
dose_levelElevated:feedStarved:symbiontSymbiotic,0.1387159516664644,-0.07154940196816507,0.35316878508894783,0 in 95% CI,-0.03649014952538089,0.31932230967801717,0 in 90% CI,Elevated NO3- x Starved x Symbiotic
temp29:feedStarved:symbiontSymbiotic,0.029176932124456288,-0.08227230734178999,0.14039716761307997,0 in 95% CI,-0.06389527235456614,0.12252600324764809,0 in 90% CI,29°C x Starved x Symbiotic
dose_levelElevated:temp29:feedStarved:symbiontSymbiotic,-0.1443263376653292,-0.4201598346448746,0.11946579650366643,0 in 95% CI,-0.37276742441291155,0.07407725745230935,0 in 90% CI,Elevated NO3- x 29°C x Starved x Symbiotic
