variable,coef,lower_95_CI,upper_95_CI,sign_95_CI,lower_90_CI,upper_90_CI,sign_90_CI,label
(Intercept),0.4925339929452277,-0.12318531704747884,1.1087426102392908,0 in 95% CI,-0.03093522971582491,1.0105718660059824,0 in 90% CI,INTERCEPT
dose_levelElevated,-0.025982366244202276,-1.2524120289155969,1.206994390317186,0 in 95% CI,-1.0389961549167006,1.0096323876683675,0 in 90% CI,Elevated NO3-
temp29,-0.40014308480230376,-1.1543218577941212,0.33747740565107615,0 in 95% CI,-1.0404452800898512,0.2217494375586646,0 in 90% CI,29°C
feedStarved,0.19603632959823952,-0.5788567430322924,0.9979119073338809,0 in 95% CI,-0.4566928159424406,0.8549572087716737,0 in 90% CI,Starved
symbiontSymbiotic,0.33003768622111995,-0.46573306344488974,1.1567633983372816,0 in 95% CI,-0.3385178691860196,1.0276855018548239,0 in 90% CI,Symbiotic
dose_levelElevated:temp29,0.2407597058521373,-1.6464759554755914,2.158635346439384,0 in 95% CI,-1.3540762512913598,1.8435076507508907,0 in 90% CI,Elevated NO3- x 29°C
dose_levelElevated:feedStarved,-0.32992132940425156,-2.335240688220028,1.5930355385526616,0 in 95% CI,-2.021474146769495,1.2766642165380597,0 in 90% CI,Elevated NO3- x Starved
dose_levelElevated:symbiontSymbiotic,-0.8067263840997876,-2.59193777727476,0.8101452663689219,0 in 95% CI,-2.305636538737739,0.573520939669754,0 in 90% CI,Elevated NO3- x Symbiotic
temp29:feedStarved,0.03296109109904785,-1.0666714414155567,1.1340762986047541,0 in 95% CI,-0.8923815368334909,0.9621498724621685,0 in 90% CI,29°C x Starved
temp29:symbiontSymbiotic,0.30099433415374066,-0.7475029907615425,1.3474474006355321,0 in 95% CI,-0.5694927575391454,1.1786309331281428,0 in 90% CI,29°C x Symbiotic
feedStarved:symbiontSymbiotic,-1.3061118995037904,-2.400730337432464,-0.17045241072017328,0 not in 95% CI,-2.21925147607373,-0.3713218329123606,0 not in 90% CI,Starved x Symbiotic
dose_levelElevated:temp29:feedStarved,-0.03928311880356462,-2.5386157982695794,2.590623666377474,0 in 95% CI,-2.1229313091339,2.1486974092320605,0 in 90% CI,Elevated NO3- x 29°C x Starved
dose_levelElevated:temp29:symbiontSymbiotic,0.48942346317559826,-2.033068498848876,3.1285731691801333,0 in 95% CI,-1.6459801600416377,2.7287004423690724,0 in 90% CI,Elevated NO3- x 29°C x Symbiotic
dose_levelElevated:feedStarved:symbiontSymbiotic,1.13652982226742,-1.5775640452576445,4.057717593762659,0 in 95% CI,-1.14346622453,3.6503270447697647,0 in 90% CI,Elevated NO3- x Starved x Symbiotic
temp29:feedStarved:symbiontSymbiotic,1.122867858302555,-0.4413096531790625,2.6977453510214335,0 in 95% CI,-0.18896112681455865,2.4354865503590895,0 in 90% CI,29°C x Starved x Symbiotic
dose_levelElevated:temp29:feedStarved:symbiontSymbiotic,-1.6460073606675572,-5.391783892426356,1.769829418166698,0 in 95% CI,-4.7789228944483595,1.1911995871682524,0 in 90% CI,Elevated NO3- x 29°C x Starved x Symbiotic
