variable,coef,lower_95_CI,upper_95_CI,sign_95_CI,lower_90_CI,upper_90_CI,sign_90_CI,label
(Intercept),-2.2722311332885266,-7.580035570299836,3.1907851329842356,0 in 95% CI,-6.68131991000158,2.217231784897653,0 in 90% CI,INTERCEPT
dose_levelElevated,4.499299701918049,-6.1420501747877205,15.39034101769669,0 in 95% CI,-4.168011158381859,13.673394932791597,0 in 90% CI,Elevated NO3-
temp29,5.188561936050963,-1.3907141229773914,11.763396408940936,0 in 95% CI,-0.3078689775486597,10.790451884488341,0 in 90% CI,29°C
feedStarved,0.4103729281698514,-6.193943860611126,6.840662595088746,0 in 95% CI,-5.175273165905296,5.846637157911497,0 in 90% CI,Starved
symbiontSymbiotic,-3.1854660380190922,-10.535545931389711,3.8013900391144757,0 in 95% CI,-9.290988722479975,2.5734694948637395,0 in 90% CI,Symbiotic
dose_levelElevated:temp29,-1.4296177479762546,-18.136014524724704,14.315452189808497,0 in 95% CI,-15.606510024304248,11.596542811197944,0 in 90% CI,Elevated NO3- x 29°C
dose_levelElevated:feedStarved,-1.9775405718165664,-18.811063148527424,14.825220431691642,0 in 95% CI,-16.282858716088914,11.950588589674474,0 in 90% CI,Elevated NO3- x Starved
dose_levelElevated:symbiontSymbiotic,-4.331254292896339,-19.050814045392322,10.161331961754005,0 in 95% CI,-16.788508915448705,7.9468116924846415,0 in 90% CI,Elevated NO3- x Symbiotic
temp29:feedStarved,-1.2449095725063581,-10.960718905801416,8.368753029495206,0 in 95% CI,-9.337226920822042,6.6039042177100935,0 in 90% CI,29°C x Starved
temp29:symbiontSymbiotic,1.7410155619519108,-7.3154290370855755,11.13537672193385,0 in 95% CI,-5.604553617349404,9.621194482668619,0 in 90% CI,29°C x Symbiotic
feedStarved:symbiontSymbiotic,0.1964958151145948,-8.893468964773469,9.576737454594875,0 in 95% CI,-7.371913210270762,8.079392655378225,0 in 90% CI,Starved x Symbiotic
dose_levelElevated:temp29:feedStarved,-5.850155534657498,-28.267148624474107,16.41159039424072,0 in 95% CI,-24.78675954082909,12.818590496246765,0 in 90% CI,Elevated NO3- x 29°C x Starved
dose_levelElevated:temp29:symbiontSymbiotic,-8.381188094005637,-31.445937222089242,13.411389443469496,0 in 95% CI,-27.464010451756558,10.004054864519453,0 in 90% CI,Elevated NO3- x 29°C x Symbiotic
dose_levelElevated:feedStarved:symbiontSymbiotic,-1.9482150231328939,-27.291162851342815,22.024475278377807,0 in 95% CI,-23.174423985521692,18.130729719126247,0 in 90% CI,Elevated NO3- x Starved x Symbiotic
temp29:feedStarved:symbiontSymbiotic,4.431793845529718,-8.51609144396171,17.485938570050624,0 in 95% CI,-6.516446531622488,15.62832747431707,0 in 90% CI,29°C x Starved x Symbiotic
dose_levelElevated:temp29:feedStarved:symbiontSymbiotic,15.57978987969289,-15.086716292466287,48.213581762483585,0 in 95% CI,-10.179162047256346,43.48920844791658,0 in 90% CI,Elevated NO3- x 29°C x Starved x Symbiotic
