variable,coef,lower_95_CI,upper_95_CI,sign_95_CI,lower_90_CI,upper_90_CI,sign_90_CI,label
(Intercept),0.08613911213450759,0.07226309366772776,0.10033741629332113,0 not in 95% CI,0.07449104206014558,0.0978737043128323,0 not in 90% CI,INTERCEPT
dose_levelElevated,0.013224598392376139,-0.012741110705330046,0.039959854512585415,0 in 95% CI,-0.00865953929659415,0.03574965933571683,0 in 90% CI,Elevated NO3-
temp29,-0.01875732926593926,-0.03573551515300964,-0.0024657645223744224,0 not in 95% CI,-0.0329082074335835,-0.004971351497003232,0 not in 90% CI,29°C
feedStarved,0.009615820105750149,-0.007331948130559046,0.02643223947151552,0 in 95% CI,-0.0047322229451095335,0.024041323832195458,0 in 90% CI,Starved
symbiontSymbiotic,0.005727051380864833,-0.012003426161753889,0.02360839057924372,0 in 95% CI,-0.00930894849508402,0.020769509752709935,0 in 90% CI,Symbiotic
e_coli1,0.011985539018170236,-0.005783863713587023,0.029251841646432852,0 in 95% CI,-0.0027132269507939067,0.026586415477087132,0 in 90% CI,E. coli
dose_levelElevated:temp29,3.347177071936876e-4,-0.03960726599851865,0.04398635688033164,0 in 95% CI,-0.033216324074300314,0.03653226240733875,0 in 90% CI,Elevated NO3- x 29°C
dose_levelElevated:feedStarved,-0.009968602265285877,-0.05450586699309713,0.03473504180537437,0 in 95% CI,-0.04728410203301091,0.026951061490949953,0 in 90% CI,Elevated NO3- x Starved
dose_levelElevated:symbiontSymbiotic,-0.0059734989657030824,-0.04387095121892375,0.029688868089780978,0 in 95% CI,-0.03790990273338173,0.023997914039725066,0 in 90% CI,Elevated NO3- x Symbiotic
dose_levelElevated:e_coli1,0.03298591403699132,-0.005040255774042994,0.07481521638156681,0 in 95% CI,1.1624654716743294e-4,0.06736704492842249,0 not in 90% CI,Elevated NO3- x E. coli
temp29:feedStarved,0.011490181537126635,-0.012037637479629252,0.03709185391280475,0 in 95% CI,-0.008286044366395781,0.032700438941029364,0 in 90% CI,29°C x Starved
temp29:symbiontSymbiotic,0.003085482705431758,-0.019340830746457358,0.02654152074631445,0 in 95% CI,-0.01591185849336432,0.022685819321404146,0 in 90% CI,29°C x Symbiotic
temp29:e_coli1,0.009101455567646508,-0.013921461341379905,0.03377419131566271,0 in 95% CI,-0.010161223440547516,0.029733915710236897,0 in 90% CI,29°C x E. coli
feedStarved:symbiontSymbiotic,-0.009064306518887512,-0.033980986890674664,0.015004369572355028,0 in 95% CI,-0.030021553996353745,0.010801456831238867,0 in 90% CI,Starved x Symbiotic
feedStarved:e_coli1,0.005030433762664304,-0.01828585160292939,0.028945823013461998,0 in 95% CI,-0.014214446729938365,0.02516280426565235,0 in 90% CI,Starved x E. coli
symbiontSymbiotic:e_coli1,-0.0041250396255895876,-0.0289886899642427,0.01934510788504177,0 in 95% CI,-0.02445712306282654,0.015358388346848993,0 in 90% CI,Symbiotic x E. coli
dose_levelElevated:temp29:feedStarved,-0.019163503091041364,-0.07878755872323841,0.03455366199446228,0 in 95% CI,-0.06802196182844487,0.025928257429955803,0 in 90% CI,Elevated NO3- x 29°C x Starved
dose_levelElevated:temp29:symbiontSymbiotic,-0.010099718740101273,-0.06946949639526251,0.047067816636932595,0 in 95% CI,-0.0591417965491671,0.037275575114867114,0 in 90% CI,Elevated NO3- x 29°C x Symbiotic
dose_levelElevated:temp29:e_coli1,-0.019657942363470262,-0.08177920655144387,0.03721332634609078,0 in 95% CI,-0.07058662466589931,0.027765326897368065,0 in 90% CI,Elevated NO3- x 29°C x E. coli
dose_levelElevated:feedStarved:symbiontSymbiotic,0.04629689788815737,-0.01287988453791576,0.11171413176267728,0 in 95% CI,-0.0036481669122130165,0.10078696630939459,0 in 90% CI,Elevated NO3- x Starved x Symbiotic
dose_levelElevated:feedStarved:e_coli1,-0.043154583653096976,-0.11137412669757013,0.021464279478347427,0 in 95% CI,-0.09879369334548606,0.01024225555026885,0 in 90% CI,Elevated NO3- x Starved x E. coli
dose_levelElevated:symbiontSymbiotic:e_coli1,-0.015299349153944295,-0.07179275317290204,0.03562870445775834,0 in 95% CI,-0.06221973864707853,0.02722984300732267,0 in 90% CI,Elevated NO3- x Symbiotic x E. coli
temp29:feedStarved:symbiontSymbiotic,-0.01463594787624638,-0.0495817108187766,0.017866455465178142,0 in 95% CI,-0.04434582343767779,0.01228663936837986,0 in 90% CI,29°C x Starved x Symbiotic
temp29:feedStarved:e_coli1,-0.027293622456318722,-0.06405888061201767,0.005174633550262189,0 in 95% CI,-0.05773701857582439,-6.686348464172038e-5,0 not in 90% CI,29°C x Starved x E. coli
temp29:symbiontSymbiotic:e_coli1,-0.015704980683333758,-0.0490410453249798,0.01636832608626562,0 in 95% CI,-0.042697541776921616,0.011190072329739967,0 in 90% CI,29°C x Symbiotic x E. coli
