col_num,treat_ID_full,PAM_delta,pam_percent_change,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,temp_x_feed,temp_x_symbiont,feed_x_symbiont,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_feed_x_symbiont,temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_symbiont
252,A_0_20_F_S,0.563,37.53333333,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,20-x-Fed,20-x-Symbiotic,Fed-x-Symbiotic,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-Fed-x-Symbiotic,20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-Symbiotic
252,A_10_20_F_S,0.546,49.63636364,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,20-x-Fed,20-x-Symbiotic,Fed-x-Symbiotic,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-Fed-x-Symbiotic,20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-Symbiotic
184,N_1.5_20_S_A,0.501,2.408653846,Low,Low,20,Starved,Aposymbiotic,Low_20_Starved_Aposymbiotic,Low-x-20,Low-x-Starved,Low-x-Aposymbiotic,20-x-Starved,20-x-Aposymbiotic,Starved-x-Aposymbiotic,Low-x-20-x-Starved,Low-x-20-x-Aposymbiotic,Low-x-Starved-x-Aposymbiotic,20-x-Starved-x-Aposymbiotic,Low-x-20-x-Starved-x-Aposymbiotic
208,N_0_29_S_S,0.49,25.78947368,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic,Low-x-29,Low-x-Starved,Low-x-Symbiotic,29-x-Starved,29-x-Symbiotic,Starved-x-Symbiotic,Low-x-29-x-Starved,Low-x-29-x-Symbiotic,Low-x-Starved-x-Symbiotic,29-x-Starved-x-Symbiotic,Low-x-29-x-Starved-x-Symbiotic
255,A_0_29_S_S,0.484,15.61290323,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic,Low-x-29,Low-x-Starved,Low-x-Symbiotic,29-x-Starved,29-x-Symbiotic,Starved-x-Symbiotic,Low-x-29-x-Starved,Low-x-29-x-Symbiotic,Low-x-Starved-x-Symbiotic,29-x-Starved-x-Symbiotic,Low-x-29-x-Starved-x-Symbiotic
245,A_5_29_S_S,0.462,11.26829268,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic,Low-x-29,Low-x-Starved,Low-x-Symbiotic,29-x-Starved,29-x-Symbiotic,Starved-x-Symbiotic,Low-x-29-x-Starved,Low-x-29-x-Symbiotic,Low-x-Starved-x-Symbiotic,29-x-Starved-x-Symbiotic,Low-x-29-x-Starved-x-Symbiotic
246,N_18_29_F_S,0.449,10.95121951,Elevated,Elevated,29,Fed,Symbiotic,Elevated_29_Fed_Symbiotic,Elevated-x-29,Elevated-x-Fed,Elevated-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Elevated-x-29-x-Fed,Elevated-x-29-x-Symbiotic,Elevated-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Elevated-x-29-x-Fed-x-Symbiotic
256,N_0_20_F_S,0.446,3.208633094,Low,Low,20,Fed,Symbiotic,Low_20_Fed_Symbiotic,Low-x-20,Low-x-Fed,Low-x-Symbiotic,20-x-Fed,20-x-Symbiotic,Fed-x-Symbiotic,Low-x-20-x-Fed,Low-x-20-x-Symbiotic,Low-x-Fed-x-Symbiotic,20-x-Fed-x-Symbiotic,Low-x-20-x-Fed-x-Symbiotic
256,N_0_29_F_S,0.436,33.53846154,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,29-x-Fed,29-x-Symbiotic,Fed-x-Symbiotic,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-Fed-x-Symbiotic,29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-Symbiotic
150,N_0_29_F_A,0.433,3.866071429,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,29-x-Fed,29-x-Aposymbiotic,Fed-x-Aposymbiotic,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-Fed-x-Aposymbiotic,29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-Aposymbiotic
