col_num,treat_ID_full,e_coli,abs_resp_rate_SA_corr,NO3_category,dose_level,temp,feed,symbiont,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,dose_level_x_e_coli,temp_x_feed,temp_x_symbiont,temp_x_e_coli,feed_x_symbiont,feed_x_e_coli,symbiont_x_e_coli,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_temp_x_e_coli,dose_level_x_feed_x_symbiont,dose_level_x_feed_x_e_coli,dose_level_x_symbiont_x_e_coli,temp_x_feed_x_symbiont,temp_x_feed_x_e_coli,temp_x_symbiont_x_e_coli,feed_x_symbiont_x_e_coli,dose_level_x_temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_e_coli,dose_level_x_temp_x_symbiont_x_e_coli,dose_level_x_feed_x_symbiont_x_e_coli,temp_x_feed_x_symbiont_x_e_coli,dose_level_x_temp_x_feed_x_symbiont_x_e_coli
167,N_1.5_29_F_A,0,0.014759857,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,Low-x-0,29-x-Fed,29-x-Aposymbiotic,29-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-29-x-0,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-0,Low-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic,29-x-Fed-x-0,29-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-0,Low-x-29-x-Aposymbiotic-x-0,Low-x-Fed-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic-x-0
206,N_1.5_29_F_S,0,0.018841429,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,Low-x-0,29-x-Fed,29-x-Symbiotic,29-x-0,Fed-x-Symbiotic,Fed-x-0,Symbiotic-x-0,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-29-x-0,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-0,Low-x-Symbiotic-x-0,29-x-Fed-x-Symbiotic,29-x-Fed-x-0,29-x-Symbiotic-x-0,Fed-x-Symbiotic-x-0,Low-x-29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-0,Low-x-29-x-Symbiotic-x-0,Low-x-Fed-x-Symbiotic-x-0,29-x-Fed-x-Symbiotic-x-0,Low-x-29-x-Fed-x-Symbiotic-x-0
192,N_5_29_F_S,0,0.02115555,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,Low-x-0,29-x-Fed,29-x-Symbiotic,29-x-0,Fed-x-Symbiotic,Fed-x-0,Symbiotic-x-0,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-29-x-0,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-0,Low-x-Symbiotic-x-0,29-x-Fed-x-Symbiotic,29-x-Fed-x-0,29-x-Symbiotic-x-0,Fed-x-Symbiotic-x-0,Low-x-29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-0,Low-x-29-x-Symbiotic-x-0,Low-x-Fed-x-Symbiotic-x-0,29-x-Fed-x-Symbiotic-x-0,Low-x-29-x-Fed-x-Symbiotic-x-0
211,N_0_29_S_A,1,0.021545761,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic,Low-x-29,Low-x-Starved,Low-x-Aposymbiotic,Low-x-1,29-x-Starved,29-x-Aposymbiotic,29-x-1,Starved-x-Aposymbiotic,Starved-x-1,Aposymbiotic-x-1,Low-x-29-x-Starved,Low-x-29-x-Aposymbiotic,Low-x-29-x-1,Low-x-Starved-x-Aposymbiotic,Low-x-Starved-x-1,Low-x-Aposymbiotic-x-1,29-x-Starved-x-Aposymbiotic,29-x-Starved-x-1,29-x-Aposymbiotic-x-1,Starved-x-Aposymbiotic-x-1,Low-x-29-x-Starved-x-Aposymbiotic,Low-x-29-x-Starved-x-1,Low-x-29-x-Aposymbiotic-x-1,Low-x-Starved-x-Aposymbiotic-x-1,29-x-Starved-x-Aposymbiotic-x-1,Low-x-29-x-Starved-x-Aposymbiotic-x-1
238,N_0_29_F_A,0,0.021598636,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,Low-x-0,29-x-Fed,29-x-Aposymbiotic,29-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-29-x-0,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-0,Low-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic,29-x-Fed-x-0,29-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-0,Low-x-29-x-Aposymbiotic-x-0,Low-x-Fed-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic-x-0
240,N_0_29_F_S,0,0.02334343,Low,Low,29,Fed,Symbiotic,Low_29_Fed_Symbiotic,Low-x-29,Low-x-Fed,Low-x-Symbiotic,Low-x-0,29-x-Fed,29-x-Symbiotic,29-x-0,Fed-x-Symbiotic,Fed-x-0,Symbiotic-x-0,Low-x-29-x-Fed,Low-x-29-x-Symbiotic,Low-x-29-x-0,Low-x-Fed-x-Symbiotic,Low-x-Fed-x-0,Low-x-Symbiotic-x-0,29-x-Fed-x-Symbiotic,29-x-Fed-x-0,29-x-Symbiotic-x-0,Fed-x-Symbiotic-x-0,Low-x-29-x-Fed-x-Symbiotic,Low-x-29-x-Fed-x-0,Low-x-29-x-Symbiotic-x-0,Low-x-Fed-x-Symbiotic-x-0,29-x-Fed-x-Symbiotic-x-0,Low-x-29-x-Fed-x-Symbiotic-x-0
169,A_5_29_S_A,0,0.025687992,Low,Low,29,Starved,Aposymbiotic,Low_29_Starved_Aposymbiotic,Low-x-29,Low-x-Starved,Low-x-Aposymbiotic,Low-x-0,29-x-Starved,29-x-Aposymbiotic,29-x-0,Starved-x-Aposymbiotic,Starved-x-0,Aposymbiotic-x-0,Low-x-29-x-Starved,Low-x-29-x-Aposymbiotic,Low-x-29-x-0,Low-x-Starved-x-Aposymbiotic,Low-x-Starved-x-0,Low-x-Aposymbiotic-x-0,29-x-Starved-x-Aposymbiotic,29-x-Starved-x-0,29-x-Aposymbiotic-x-0,Starved-x-Aposymbiotic-x-0,Low-x-29-x-Starved-x-Aposymbiotic,Low-x-29-x-Starved-x-0,Low-x-29-x-Aposymbiotic-x-0,Low-x-Starved-x-Aposymbiotic-x-0,29-x-Starved-x-Aposymbiotic-x-0,Low-x-29-x-Starved-x-Aposymbiotic-x-0
254,A_7.5_29_S_S,1,0.026971514,Low,Low,29,Starved,Symbiotic,Low_29_Starved_Symbiotic,Low-x-29,Low-x-Starved,Low-x-Symbiotic,Low-x-1,29-x-Starved,29-x-Symbiotic,29-x-1,Starved-x-Symbiotic,Starved-x-1,Symbiotic-x-1,Low-x-29-x-Starved,Low-x-29-x-Symbiotic,Low-x-29-x-1,Low-x-Starved-x-Symbiotic,Low-x-Starved-x-1,Low-x-Symbiotic-x-1,29-x-Starved-x-Symbiotic,29-x-Starved-x-1,29-x-Symbiotic-x-1,Starved-x-Symbiotic-x-1,Low-x-29-x-Starved-x-Symbiotic,Low-x-29-x-Starved-x-1,Low-x-29-x-Symbiotic-x-1,Low-x-Starved-x-Symbiotic-x-1,29-x-Starved-x-Symbiotic-x-1,Low-x-29-x-Starved-x-Symbiotic-x-1
186,N_5_29_F_A,0,0.027081657,Low,Low,29,Fed,Aposymbiotic,Low_29_Fed_Aposymbiotic,Low-x-29,Low-x-Fed,Low-x-Aposymbiotic,Low-x-0,29-x-Fed,29-x-Aposymbiotic,29-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,Low-x-29-x-Fed,Low-x-29-x-Aposymbiotic,Low-x-29-x-0,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-0,Low-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic,29-x-Fed-x-0,29-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic,Low-x-29-x-Fed-x-0,Low-x-29-x-Aposymbiotic-x-0,Low-x-Fed-x-Aposymbiotic-x-0,29-x-Fed-x-Aposymbiotic-x-0,Low-x-29-x-Fed-x-Aposymbiotic-x-0
199,N_1.5_20_F_A,0,0.027683694,Low,Low,20,Fed,Aposymbiotic,Low_20_Fed_Aposymbiotic,Low-x-20,Low-x-Fed,Low-x-Aposymbiotic,Low-x-0,20-x-Fed,20-x-Aposymbiotic,20-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,Low-x-20-x-Fed,Low-x-20-x-Aposymbiotic,Low-x-20-x-0,Low-x-Fed-x-Aposymbiotic,Low-x-Fed-x-0,Low-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic,20-x-Fed-x-0,20-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,Low-x-20-x-Fed-x-Aposymbiotic,Low-x-20-x-Fed-x-0,Low-x-20-x-Aposymbiotic-x-0,Low-x-Fed-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic-x-0,Low-x-20-x-Fed-x-Aposymbiotic-x-0
