,beetag,exprun,n_species,col_num,beetag_exprun,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,N_species_dose,temp,food,sym_state,red_day1,green_day1,blue_day1,red_day11,green_day11,blue_day11,red_delta,red_percent_change,NO3_category
53,B13G2,exp1B,Ammonium,167,B13G2_exp1B,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,208.8760259,164.7034772,144.6862515,208.3695593,167.1223934,151.8654584,-0.506466584,-0.242472338,Low
532,B13G2,exp2A,Nitrate,174,B13G2_exp2A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,136.4513329,128.817513,80.13607429,144.7957754,137.7017218,101.5544858,8.344442552,6.115325059,Low
516,B13G2,exp3A,Nitrate,223,B13G2_exp3A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,168.9377985,132.2965638,109.0120105,191.351928,158.3874888,132.8904231,22.41412947,13.26768175,Low
73,B13G3,exp1B,Ammonium,178,B13G3_exp1B,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,139.631519,112.7438045,87.81716853,130.8905931,99.76008472,69.44708484,-8.740925884,-6.259994841,Low
596,B13G3,exp2A,Nitrate,199,B13G3_exp2A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,177.6671392,202.3450304,155.2079369,136.0159186,144.3890338,91.76887061,-41.65122057,-23.44340138,Low
580,B13G3,exp3A,Nitrate,237,B13G3_exp3A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,157.1495984,167.1344909,135.9650281,143.4023395,151.6419569,121.8632276,-13.74725886,-8.747880361,Low
36,B13G8,exp1B,Ammonium,184,B13G8_exp1B,A_0_30_F_A,A_0_30_F,2.3655,16.977,A_0,30,F,A,130.4982818,148.4848223,124.5006648,137.3283961,163.8883758,135.9036649,6.830114304,5.233872974,Low
597,B13G8,exp2A,Nitrate,226,B13G8_exp2A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,182.57371,171.8000302,116.6453507,139.3153293,98.92727635,53.65738769,-43.25838074,-23.69365268,Low
605,B13G8,exp3A,Nitrate,237,B13G8_exp3A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,181.9300647,196.964977,167.2273189,127.308367,120.6146574,82.55714755,-54.62169773,-30.02345863,Low
515,B14G14,exp1A,Nitrate,168,B14G14_exp1A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,182.7364124,197.2756875,171.6800263,207.57583,229.8315413,205.343118,24.83941763,13.59303125,Low
583,B14G14,exp2B,Nitrate,149,B14G14_exp2B,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,170.6260882,149.4118269,100.0859687,148.2170242,130.5832265,86.8009098,-22.40906399,-13.1334336,Low
578,B14G15,exp1A,Nitrate,150,B14G15_exp1A,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,208.9218594,217.4446876,210.7763899,191.7960071,188.310632,176.1296514,-17.12585232,-8.197252491,Low
601,B14G15,exp2B,Nitrate,184,B14G15_exp2B,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,111.5000381,126.0101824,111.5028444,81.77878822,88.05208155,62.1268748,-29.72124985,-26.65582036,Low
576,B15G22,exp1A,Nitrate,168,B15G22_exp1A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,189.2227795,215.3782701,185.449607,174.0294279,196.4579161,153.905618,-15.19335163,-8.029345975,Low
531,B15G22,exp2B,Nitrate,169,B15G22_exp2B,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,136.1156251,157.1464396,111.7600405,145.0830027,168.1191901,134.1782894,8.967377574,6.588058916,Low
545,B15G23,exp1A,Nitrate,150,B15G23_exp1A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,154.2338258,145.0846326,125.4507682,159.0571787,139.6736481,109.3171558,4.823352966,3.127299049,Low
538,B15G23,exp2B,Nitrate,203,B15G23_exp2B,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,157.5554331,185.5698692,141.1512065,164.5067268,188.4436931,138.6781219,6.95129366,4.411966964,Low
533,B22G27,exp1B,Nitrate,160,B22G27_exp1B,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,155.2957288,139.8120967,121.8536955,164.6938387,149.2089832,123.3369154,9.398109877,6.051750393,Low
508,B22G28,exp1B,Nitrate,169,B22G28_exp1B,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,114.2485725,128.5258185,84.65919962,135.4510951,162.8758668,119.5765167,21.20252264,18.55823856,Low
557,B22G28,exp2A,Nitrate,187,B22G28_exp2A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,173.9814138,180.6510324,135.486734,172.149072,176.6488958,126.6749154,-1.832341795,-1.053182495,Low
522,B22G28,exp3A,Nitrate,227,B22G28_exp3A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,177.4735332,194.7486858,165.3068216,192.738248,211.4435551,169.4401919,15.26471489,8.601121876,Low
565,B22G29,exp1B,Nitrate,183,B22G29_exp1B,N_0_20_F_A,N_0_20_F,1.214,4.6815,N_0,20,F,A,160.7561007,135.9708497,124.0455549,153.4026941,124.3114199,104.9926272,-7.353406615,-4.574262863,Low
594,B22G29,exp2A,Nitrate,202,B22G29_exp2A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,143.6475802,102.4843652,68.1195321,114.2539096,67.28954589,47.17970068,-29.39367064,-20.46235001,Low
584,B22G29,exp3A,Nitrate,237,B22G29_exp3A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,181.0451477,189.1909198,149.0258608,157.0144807,166.3523007,123.3604328,-24.03066702,-13.27330079,Low
607,B22G30,exp2A,Nitrate,228,B22G30_exp2A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,143.0756758,101.3659236,67.32334829,88.99926542,66.80363686,44.67359028,-54.07641042,-37.79567009,Low
593,B22G30,exp3A,Nitrate,237,B22G30_exp3A,N_0_20_S_A,N_0_20_S,3.13625,5.73675,N_0,20,S,A,198.7171608,213.8705196,173.6993352,159.5939936,176.1445864,147.1850983,-39.12316721,-19.68786544,Low
