col_num,treat_ID_full,e_coli,abs_resp_rate_SA_corr,pollution,dose,temp,feed,symbiont,dose_level,new_treat_ID_full,dose_level_x_temp,dose_level_x_feed,dose_level_x_symbiont,dose_level_x_e_coli,temp_x_feed,temp_x_symbiont,temp_x_e_coli,feed_x_symbiont,feed_x_e_coli,symbiont_x_e_coli,dose_level_x_temp_x_feed,dose_level_x_temp_x_symbiont,dose_level_x_temp_x_e_coli,dose_level_x_feed_x_symbiont,dose_level_x_feed_x_e_coli,dose_level_x_symbiont_x_e_coli,temp_x_feed_x_symbiont,temp_x_feed_x_e_coli,temp_x_symbiont_x_e_coli,feed_x_symbiont_x_e_coli,dose_level_x_temp_x_feed_x_symbiont,dose_level_x_temp_x_feed_x_e_coli,dose_level_x_temp_x_symbiont_x_e_coli,dose_level_x_feed_x_symbiont_x_e_coli,temp_x_feed_x_symbiont_x_e_coli,dose_level_x_temp_x_feed_x_symbiont_x_e_coli
168,N_0_20_F_A,0,0.119251703,Nitrate,0,20,Fed,Aposymbiotic,control-0,Nitrate_control-0_20_Fed_Aposymbiotic,control-0-x-20,control-0-x-Fed,control-0-x-Aposymbiotic,control-0-x-0,20-x-Fed,20-x-Aposymbiotic,20-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,control-0-x-20-x-Fed,control-0-x-20-x-Aposymbiotic,control-0-x-20-x-0,control-0-x-Fed-x-Aposymbiotic,control-0-x-Fed-x-0,control-0-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic,20-x-Fed-x-0,20-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,control-0-x-20-x-Fed-x-Aposymbiotic,control-0-x-20-x-Fed-x-0,control-0-x-20-x-Aposymbiotic-x-0,control-0-x-Fed-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic-x-0,control-0-x-20-x-Fed-x-Aposymbiotic-x-0
150,N_0_20_F_A,1,0.173322843,Nitrate,0,20,Fed,Aposymbiotic,control-0,Nitrate_control-0_20_Fed_Aposymbiotic,control-0-x-20,control-0-x-Fed,control-0-x-Aposymbiotic,control-0-x-1,20-x-Fed,20-x-Aposymbiotic,20-x-1,Fed-x-Aposymbiotic,Fed-x-1,Aposymbiotic-x-1,control-0-x-20-x-Fed,control-0-x-20-x-Aposymbiotic,control-0-x-20-x-1,control-0-x-Fed-x-Aposymbiotic,control-0-x-Fed-x-1,control-0-x-Aposymbiotic-x-1,20-x-Fed-x-Aposymbiotic,20-x-Fed-x-1,20-x-Aposymbiotic-x-1,Fed-x-Aposymbiotic-x-1,control-0-x-20-x-Fed-x-Aposymbiotic,control-0-x-20-x-Fed-x-1,control-0-x-20-x-Aposymbiotic-x-1,control-0-x-Fed-x-Aposymbiotic-x-1,20-x-Fed-x-Aposymbiotic-x-1,control-0-x-20-x-Fed-x-Aposymbiotic-x-1
145,N_0_20_F_S,1,0.098087823,Nitrate,0,20,Fed,Symbiotic,control-0,Nitrate_control-0_20_Fed_Symbiotic,control-0-x-20,control-0-x-Fed,control-0-x-Symbiotic,control-0-x-1,20-x-Fed,20-x-Symbiotic,20-x-1,Fed-x-Symbiotic,Fed-x-1,Symbiotic-x-1,control-0-x-20-x-Fed,control-0-x-20-x-Symbiotic,control-0-x-20-x-1,control-0-x-Fed-x-Symbiotic,control-0-x-Fed-x-1,control-0-x-Symbiotic-x-1,20-x-Fed-x-Symbiotic,20-x-Fed-x-1,20-x-Symbiotic-x-1,Fed-x-Symbiotic-x-1,control-0-x-20-x-Fed-x-Symbiotic,control-0-x-20-x-Fed-x-1,control-0-x-20-x-Symbiotic-x-1,control-0-x-Fed-x-Symbiotic-x-1,20-x-Fed-x-Symbiotic-x-1,control-0-x-20-x-Fed-x-Symbiotic-x-1
153,N_0_20_F_S,0,0.047530762,Nitrate,0,20,Fed,Symbiotic,control-0,Nitrate_control-0_20_Fed_Symbiotic,control-0-x-20,control-0-x-Fed,control-0-x-Symbiotic,control-0-x-0,20-x-Fed,20-x-Symbiotic,20-x-0,Fed-x-Symbiotic,Fed-x-0,Symbiotic-x-0,control-0-x-20-x-Fed,control-0-x-20-x-Symbiotic,control-0-x-20-x-0,control-0-x-Fed-x-Symbiotic,control-0-x-Fed-x-0,control-0-x-Symbiotic-x-0,20-x-Fed-x-Symbiotic,20-x-Fed-x-0,20-x-Symbiotic-x-0,Fed-x-Symbiotic-x-0,control-0-x-20-x-Fed-x-Symbiotic,control-0-x-20-x-Fed-x-0,control-0-x-20-x-Symbiotic-x-0,control-0-x-Fed-x-Symbiotic-x-0,20-x-Fed-x-Symbiotic-x-0,control-0-x-20-x-Fed-x-Symbiotic-x-0
150,N_0_20_S_A,0,0.11931486,Nitrate,0,20,Starved,Aposymbiotic,control-0,Nitrate_control-0_20_Starved_Aposymbiotic,control-0-x-20,control-0-x-Starved,control-0-x-Aposymbiotic,control-0-x-0,20-x-Starved,20-x-Aposymbiotic,20-x-0,Starved-x-Aposymbiotic,Starved-x-0,Aposymbiotic-x-0,control-0-x-20-x-Starved,control-0-x-20-x-Aposymbiotic,control-0-x-20-x-0,control-0-x-Starved-x-Aposymbiotic,control-0-x-Starved-x-0,control-0-x-Aposymbiotic-x-0,20-x-Starved-x-Aposymbiotic,20-x-Starved-x-0,20-x-Aposymbiotic-x-0,Starved-x-Aposymbiotic-x-0,control-0-x-20-x-Starved-x-Aposymbiotic,control-0-x-20-x-Starved-x-0,control-0-x-20-x-Aposymbiotic-x-0,control-0-x-Starved-x-Aposymbiotic-x-0,20-x-Starved-x-Aposymbiotic-x-0,control-0-x-20-x-Starved-x-Aposymbiotic-x-0
149,N_0_20_S_S,0,0.072682676,Nitrate,0,20,Starved,Symbiotic,control-0,Nitrate_control-0_20_Starved_Symbiotic,control-0-x-20,control-0-x-Starved,control-0-x-Symbiotic,control-0-x-0,20-x-Starved,20-x-Symbiotic,20-x-0,Starved-x-Symbiotic,Starved-x-0,Symbiotic-x-0,control-0-x-20-x-Starved,control-0-x-20-x-Symbiotic,control-0-x-20-x-0,control-0-x-Starved-x-Symbiotic,control-0-x-Starved-x-0,control-0-x-Symbiotic-x-0,20-x-Starved-x-Symbiotic,20-x-Starved-x-0,20-x-Symbiotic-x-0,Starved-x-Symbiotic-x-0,control-0-x-20-x-Starved-x-Symbiotic,control-0-x-20-x-Starved-x-0,control-0-x-20-x-Symbiotic-x-0,control-0-x-Starved-x-Symbiotic-x-0,20-x-Starved-x-Symbiotic-x-0,control-0-x-20-x-Starved-x-Symbiotic-x-0
157,N_0_20_S_S,1,0.1082725,Nitrate,0,20,Starved,Symbiotic,control-0,Nitrate_control-0_20_Starved_Symbiotic,control-0-x-20,control-0-x-Starved,control-0-x-Symbiotic,control-0-x-1,20-x-Starved,20-x-Symbiotic,20-x-1,Starved-x-Symbiotic,Starved-x-1,Symbiotic-x-1,control-0-x-20-x-Starved,control-0-x-20-x-Symbiotic,control-0-x-20-x-1,control-0-x-Starved-x-Symbiotic,control-0-x-Starved-x-1,control-0-x-Symbiotic-x-1,20-x-Starved-x-Symbiotic,20-x-Starved-x-1,20-x-Symbiotic-x-1,Starved-x-Symbiotic-x-1,control-0-x-20-x-Starved-x-Symbiotic,control-0-x-20-x-Starved-x-1,control-0-x-20-x-Symbiotic-x-1,control-0-x-Starved-x-Symbiotic-x-1,20-x-Starved-x-Symbiotic-x-1,control-0-x-20-x-Starved-x-Symbiotic-x-1
152,"A_0_20_F_A
",1,0.081947941,Ammonium,0,20,Fed,Aposymbiotic,control-0,Ammonium_control-0_20_Fed_Aposymbiotic,control-0-x-20,control-0-x-Fed,control-0-x-Aposymbiotic,control-0-x-1,20-x-Fed,20-x-Aposymbiotic,20-x-1,Fed-x-Aposymbiotic,Fed-x-1,Aposymbiotic-x-1,control-0-x-20-x-Fed,control-0-x-20-x-Aposymbiotic,control-0-x-20-x-1,control-0-x-Fed-x-Aposymbiotic,control-0-x-Fed-x-1,control-0-x-Aposymbiotic-x-1,20-x-Fed-x-Aposymbiotic,20-x-Fed-x-1,20-x-Aposymbiotic-x-1,Fed-x-Aposymbiotic-x-1,control-0-x-20-x-Fed-x-Aposymbiotic,control-0-x-20-x-Fed-x-1,control-0-x-20-x-Aposymbiotic-x-1,control-0-x-Fed-x-Aposymbiotic-x-1,20-x-Fed-x-Aposymbiotic-x-1,control-0-x-20-x-Fed-x-Aposymbiotic-x-1
152,"A_0_20_F_A
",0,0.084220357,Ammonium,0,20,Fed,Aposymbiotic,control-0,Ammonium_control-0_20_Fed_Aposymbiotic,control-0-x-20,control-0-x-Fed,control-0-x-Aposymbiotic,control-0-x-0,20-x-Fed,20-x-Aposymbiotic,20-x-0,Fed-x-Aposymbiotic,Fed-x-0,Aposymbiotic-x-0,control-0-x-20-x-Fed,control-0-x-20-x-Aposymbiotic,control-0-x-20-x-0,control-0-x-Fed-x-Aposymbiotic,control-0-x-Fed-x-0,control-0-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic,20-x-Fed-x-0,20-x-Aposymbiotic-x-0,Fed-x-Aposymbiotic-x-0,control-0-x-20-x-Fed-x-Aposymbiotic,control-0-x-20-x-Fed-x-0,control-0-x-20-x-Aposymbiotic-x-0,control-0-x-Fed-x-Aposymbiotic-x-0,20-x-Fed-x-Aposymbiotic-x-0,control-0-x-20-x-Fed-x-Aposymbiotic-x-0
143,A_0_20_F_S,0,0.03001097,Ammonium,0,20,Fed,Symbiotic,control-0,Ammonium_control-0_20_Fed_Symbiotic,control-0-x-20,control-0-x-Fed,control-0-x-Symbiotic,control-0-x-0,20-x-Fed,20-x-Symbiotic,20-x-0,Fed-x-Symbiotic,Fed-x-0,Symbiotic-x-0,control-0-x-20-x-Fed,control-0-x-20-x-Symbiotic,control-0-x-20-x-0,control-0-x-Fed-x-Symbiotic,control-0-x-Fed-x-0,control-0-x-Symbiotic-x-0,20-x-Fed-x-Symbiotic,20-x-Fed-x-0,20-x-Symbiotic-x-0,Fed-x-Symbiotic-x-0,control-0-x-20-x-Fed-x-Symbiotic,control-0-x-20-x-Fed-x-0,control-0-x-20-x-Symbiotic-x-0,control-0-x-Fed-x-Symbiotic-x-0,20-x-Fed-x-Symbiotic-x-0,control-0-x-20-x-Fed-x-Symbiotic-x-0
