"","col_num","treat_ID_full","e_coli","abs_resp_rate_SA_corr","pollution","dose","temp","feed","symbiont","dose_level","new_treat_ID_full"
"1",168,"N_0_20_F_A",0,0.119251703,"Nitrate","0","20","Fed","Aposymbiotic","control-0","Nitrate_control-0_20_Fed_Aposymbiotic"
"2",150,"N_0_20_F_A",1,0.173322843,"Nitrate","0","20","Fed","Aposymbiotic","control-0","Nitrate_control-0_20_Fed_Aposymbiotic"
"3",145,"N_0_20_F_S",1,0.098087823,"Nitrate","0","20","Fed","Symbiotic","control-0","Nitrate_control-0_20_Fed_Symbiotic"
"4",153,"N_0_20_F_S",0,0.047530762,"Nitrate","0","20","Fed","Symbiotic","control-0","Nitrate_control-0_20_Fed_Symbiotic"
"5",150,"N_0_20_S_A",0,0.11931486,"Nitrate","0","20","Starved","Aposymbiotic","control-0","Nitrate_control-0_20_Starved_Aposymbiotic"
"6",149,"N_0_20_S_S",0,0.072682676,"Nitrate","0","20","Starved","Symbiotic","control-0","Nitrate_control-0_20_Starved_Symbiotic"
"7",157,"N_0_20_S_S",1,0.1082725,"Nitrate","0","20","Starved","Symbiotic","control-0","Nitrate_control-0_20_Starved_Symbiotic"
"8",152,"A_0_20_F_A
",1,0.081947941,"Ammonium","0","20","Fed","Aposymbiotic","control-0","Ammonium_control-0_20_Fed_Aposymbiotic"
"9",152,"A_0_20_F_A
",0,0.084220357,"Ammonium","0","20","Fed","Aposymbiotic","control-0","Ammonium_control-0_20_Fed_Aposymbiotic"
"10",143,"A_0_20_F_S",0,0.03001097,"Ammonium","0","20","Fed","Symbiotic","control-0","Ammonium_control-0_20_Fed_Symbiotic"
"11",155,"A_0_20_F_S",1,0.053697984,"Ammonium","0","20","Fed","Symbiotic","control-0","Ammonium_control-0_20_Fed_Symbiotic"
"12",168,"N_0_30_F_A",1,0.07143839,"Nitrate","0","30","Fed","Aposymbiotic","control-0","Nitrate_control-0_30_Fed_Aposymbiotic"
"13",150,"N_0_30_F_A",0,0.041588441,"Nitrate","0","30","Fed","Aposymbiotic","control-0","Nitrate_control-0_30_Fed_Aposymbiotic"
"14",147,"N_0_30_F_S",1,0.098439963,"Nitrate","0","30","Fed","Symbiotic","control-0","Nitrate_control-0_30_Fed_Symbiotic"
"15",153,"N_0_30_F_S",0,0.056036216,"Nitrate","0","30","Fed","Symbiotic","control-0","Nitrate_control-0_30_Fed_Symbiotic"
"16",162,"N_0_30_S_A",1,0.053819186,"Nitrate","0","30","Starved","Aposymbiotic","control-0","Nitrate_control-0_30_Starved_Aposymbiotic"
"17",151,"N_0_30_S_A",0,0.035581522,"Nitrate","0","30","Starved","Aposymbiotic","control-0","Nitrate_control-0_30_Starved_Aposymbiotic"
"18",154,"N_0_30_S_S",0,0.064881032,"Nitrate","0","30","Starved","Symbiotic","control-0","Nitrate_control-0_30_Starved_Symbiotic"
"19",157,"N_0_30_S_S",1,0.117202826,"Nitrate","0","30","Starved","Symbiotic","control-0","Nitrate_control-0_30_Starved_Symbiotic"
"20",160,"A_0_30_F_A",1,0.112395863,"Ammonium","0","30","Fed","Aposymbiotic","control-0","Ammonium_control-0_30_Fed_Aposymbiotic"
"21",144,"A_0_30_F_A",0,0.028637709,"Ammonium","0","30","Fed","Aposymbiotic","control-0","Ammonium_control-0_30_Fed_Aposymbiotic"
"22",144,"A_0_30_F_S",0,0.036414468,"Ammonium","0","30","Fed","Symbiotic","control-0","Ammonium_control-0_30_Fed_Symbiotic"
"23",155,"A_0_30_F_S",1,0.036166859,"Ammonium","0","30","Fed","Symbiotic","control-0","Ammonium_control-0_30_Fed_Symbiotic"
"24",155,"A_0_30_S_A",1,0.082548858,"Ammonium","0","30","Starved","Aposymbiotic","control-0","Ammonium_control-0_30_Starved_Aposymbiotic"
"25",154,"A_0_30_S_A",0,0.040639849,"Ammonium","0","30","Starved","Aposymbiotic","control-0","Ammonium_control-0_30_Starved_Aposymbiotic"
"26",144,"A_0_30_S_S",1,0.046742469,"Ammonium","0","30","Starved","Symbiotic","control-0","Ammonium_control-0_30_Starved_Symbiotic"
"27",157,"A_0_30_S_S",0,0.09676817,"Ammonium","0","30","Starved","Symbiotic","control-0","Ammonium_control-0_30_Starved_Symbiotic"
"28",146,"A_0_20_S_A",1,0.069207506,"Ammonium","0","20","Starved","Aposymbiotic","control-0","Ammonium_control-0_20_Starved_Aposymbiotic"
"29",144,"A_0_20_S_S",0,0.044037176,"Ammonium","0","20","Starved","Symbiotic","control-0","Ammonium_control-0_20_Starved_Symbiotic"
