num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
3,09_05_22,3,B,1,0,C1,C1,-0.0044,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,O3B13,3B,O3B13_exp3B,242,173,0
3,09_01_22,3,A,1,0,C1,C1,-0.00535,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G34,3A,B23G34_exp3A,237,131,0
3,08_20_22,2,B,1,0,C1,C1,-0.00593,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B27G53,2B,B27G53_exp2B,170,99,0
4,09_05_22,3,B,1,1,D1,D1,-0.0051,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,O3B14,3B,O3B14_exp3B,244,173,0
4,09_01_22,3,A,1,1,D1,D1,-0.0038,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G35,3A,B23G35_exp3A,237,131,0
4,7_26_22,1,A,1,1,D1,D1,-0.00499,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B24G38,1A,B24G38_exp1A,152,3,0
4,7_26_22,1,A,1,0,D1,D1,-0.00184,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B24G40,1A,B24G40_exp1A,143,3,0
4,08_20_22,2,B,1,0,D1,D1,-0.00282,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B27G56,2B,B27G56_exp2B,211,99,0
5,7_26_22,1,A,1,0,A2,A2,-0.00265,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B34G97,1A,B34G97_exp1A,162,8,0
5,7_26_22,1,B,1,1,A2,A2,-0.00201,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B26G52,1B,B26G52_exp1B,173,37,0
5,08_20_22,2,B,1,0,A2,A2,-0.0042,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B30G72,2B,B30G72_exp2B,215,100,0
5,7_26_22,1,A,1,1,A2,A2,-0.00385,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B24G42,1A,B24G42_exp1A,155,3,0
5,08_15_22,2,A,1,1,A2,A2,-0.00696,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B23G37,2A,B23G37_exp2A,220,67,0
5,09_01_22,3,A,1,1,A2,A2,-0.00414,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B23G37,3A,B23G37_exp3A,241,131,0
5,08_20_22,2,B,1,1,A2,A2,-0.00425,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B27G57,2B,B27G57_exp2B,226,99,0
6,09_01_22,3,A,1,0,B2,B2,-0.00401,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B24G41,3A,B24G41_exp3A,240,132,0
6,7_26_22,1,B,1,1,B2,B2,-0.00107,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B28G60,1B,B28G60_exp1B,187,38,0
6,7_26_22,1,A,1,0,B2,B2,-0.003,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B34G3106,1A,B34G3106_exp1A,144,8,0
6,09_05_22,3,B,1,0,B2,B2,-0.00509,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O4B24,3B,O4B24_exp3B,254,174,0
6,09_01_22,3,A,1,1,B2,B2,-0.00095,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B24G40,3A,B24G40_exp3A,237,132,0
6,7_26_22,1,A,1,1,B2,B2,-0.00298,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B34G100,1A,B34G100_exp1A,146,8,0
7,09_01_22,3,A,1,0,C2,C2,-0.00265,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B28G58,3A,B28G58_exp3A,235,135,0
