num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,red_day1,red_day11,red_delta
22,09_01_22,3,A,3,0,B6,B6,-0.00229,-0.052111178,0.052111178,N_18_30_F_S,N_18_30_F_S,F_S,N_18,N,Nitrate,18,30,F,S,R14W73,3A,R14W73_exp3A,239,149,0,77.11323004,78.24288055,1.129650503
17,08_20_22,2,B,3,0,A5,A5,-0.00422,-0.080700117,0.080700117,N_18_20_F_A,N_18_20_F_A,F_A,N_18,N,Nitrate,18,20,F,A,R3W10,2B,R3W10_exp2B,194,115,0,81.18489115,90.42694384,9.242052686
18,08_15_22,2,A,1,1,B5,B5,-0.00219,-0.057115553,0.057115553,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B26G49,2A,B26G49_exp2A,206,70,0,81.87768345,87.44900366,5.571320204
18,08_15_22,2,A,3,0,B5,B5,-0.00321,-0.12562473,0.12562473,N_18_20_F_S,N_18_20_F_S,F_S,N_18,N,Nitrate,18,20,F,S,R1W2,2A,R1W2_exp2A,206,81,0,82.48632038,54.84867093,-27.63764946
18,7_26_22,1,B,1,1,B5,B5,-0.00247,-0.06725436,0.06725436,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G84,1B,B32G84_exp1B,171,40,0,83.82684197,65.53674887,-18.2900931
11,08_15_22,2,A,2,1,C3,C3,-0.00328,-0.232987475,0.232987475,N_1.5_30_F_A,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G33Y97,2A,G33Y97_exp2A,227,77,0,84.43537064,68.14369949,-16.29167115
7,7_26_22,1,A,3,0,C2,C2,-0.0058,-0.123180422,0.123180422,N_5_30_S_A,N_5_30_S_A,S_A,N_5,N,Nitrate,5,30,S,A,Y14B76,1A,Y14B76_exp1A,151,28,0,84.73251259,90.20406241,5.471549822
23,7_26_22,1,A,2,0,C6,C6,-0.00462,-0.06590733,0.06590733,N_5_20_F_S,N_5_20_F_S,F_S,N_5,N,Nitrate,5,20,F,S,Y1B10,1A,Y1B10_exp1A,142,25,0,85.97951192,91.53340087,5.553888953
11,08_15_22,2,A,2,0,C3,C3,-0.00144,-0.018841429,0.018841429,N_1.5_30_F_S,N_1.5_30_F_S,F_S,N_1.5,N,Nitrate,1.5,30,F,S,G33Y1,2A,G33Y1_exp2A,206,77,0,88.82134397,139.8450644,51.02372046
18,08_20_22,2,B,1,0,B5,B5,-0.00728,-0.080239079,0.080239079,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B32G87,2B,B32G87_exp2B,208,102,0,90.49490531,160.1856349,69.69072963
12,7_26_22,1,A,1,0,D3,D3,-0.00293,-0.047530762,0.047530762,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B14G21,1A,B14G21_exp1A,153,1,0,90.76119021,94.34421593,3.583025717
21,09_01_22,3,A,3,0,A6,A6,-0.00326,-0.136482505,0.136482505,N_18_30_F_A,N_18_30_F_A,F_A,N_18,N,Nitrate,18,30,F,A,R14W70,3A,R14W70_exp3A,227,149,0,91.31874613,91.76619275,0.447446619
19,09_01_22,3,A,1,1,C5,C5,-0.00489,-0.105525172,0.105525172,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B26G51,3A,B26G51_exp3A,239,134,0,92.07675432,136.6606305,44.58387619
15,08_15_22,2,A,1,0,C4,C4,-0.00362,-0.073999178,0.073999178,N_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B25G43,2A,B25G43_exp2A,174,69,0,93.96177762,109.0399786,15.07820098
15,08_20_22,2,B,1,1,C4,C4,-0.00487,-0.118783515,0.118783515,N_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G25,2B,B15G25_exp2B,208,98,0,94.95035898,102.6165395,7.66618052
7,08_15_22,2,A,3,0,C2,C2,-0.00136,-0.035142002,0.035142002,N_5_30_S_A,N_5_30_S_A,S_A,N_5,N,Nitrate,5,30,S,A,Y13B70,2A,Y13B70_exp2A,194,90,0,96.13666155,111.1799717,15.04331019
18,7_26_22,1,A,3,1,B5,B5,-0.00492,-0.118008154,0.118008154,N_18_20_F_S,N_18_20_F_S,F_S,N_18,N,Nitrate,18,20,F,S,R3W13,1A,R3W13_exp1A,153,19,0,96.90387444,93.91624775,-2.987626695
16,08_20_22,2,B,1,0,D4,D4,-0.00223,-0.051867893,0.051867893,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G80,2B,B31G80_exp2B,206,101,0,97.01998831,113.4105021,16.3905138
17,08_20_22,2,B,3,1,A5,A5,-0.00971,-0.15671939,0.15671939,N_18_20_F_A,N_18_20_F_A,F_A,N_18,N,Nitrate,18,20,F,A,R3W8,2B,R3W8_exp2B,159,115,0,97.32069372,110.050373,12.72967926
17,08_20_22,2,B,1,1,A5,A5,-0.00467,-0.057669903,0.057669903,N_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G82,2B,B31G82_exp2B,223,101,0,97.44467794,140.7180218,43.27334387
12,08_20_22,2,B,1,0,D3,D3,-0.00323,-0.104599018,0.104599018,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B14G17,2B,B14G17_exp2B,159,97,0,97.56304444,103.3682632,5.805218798
4,08_20_22,2,B,3,1,D1,D1,-0.00634,-0.136182646,0.136182646,N_5_20_S_S,N_5_20_S_S,S_S,N_5,N,Nitrate,5,20,S,S,Y5B39,2B,Y5B39_exp2B,225,128,0,98.51700795,123.5621567,25.04514875
19,08_15_22,2,A,3,1,C5,C5,-0.0036,-0.109767767,0.109767767,N_18_20_S_A,N_18_20_S_A,S_A,N_18,N,Nitrate,18,20,S,A,R10W47,2A,R10W47_exp2A,228,82,0,98.67386505,88.61658614,-10.05727892
14,08_20_22,2,B,2,1,B4,B4,-0.0041,-0.073588375,0.073588375,N_1.5_30_S_S,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,G28Y67,2B,G28Y67_exp2B,225,108,0,100.151368,120.4622958,20.31092789
10,08_15_22,2,A,2,1,B3,B3,-0.00635,-0.148187589,0.148187589,N_1.5_20_S_S,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G24Y44,2A,G24Y44_exp2A,208,74,0,100.3588425,120.5994791,20.24063664
17,7_26_22,1,A,1,0,A5,A5,-0.00178,-0.035581522,0.035581522,N_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B30G73,1A,B30G73_exp1A,151,5,0,101.9514382,107.5255274,5.574089187
6,08_20_22,2,B,3,0,B2,B2,-0.00621,-0.143578181,0.143578181,N_5_30_F_S,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,Y14B77,2B,Y14B77_exp2B,175,124,0,102.0553616,94.05980718,-7.995554428
18,08_15_22,2,A,1,0,B5,B5,-0.00713,-0.107485748,0.107485748,N_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B26G51,2A,B26G51_exp2A,196,70,0,102.4156125,133.9673116,31.55169905
13,09_01_22,3,A,1,1,A4,A4,-0.00521,-0.099494056,0.099494056,N_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B13G10,3A,B13G10_exp3A,239,129,0,102.5291905,82.61829467,-19.91089584
20,08_20_22,2,B,3,0,D5,D5,-0.00626,-0.103440903,0.103440903,N_18_20_S_S,N_18_20_S_S,S_S,N_18,N,Nitrate,18,20,S,S,R4W17,2B,R4W17_exp2B,188,116,0,103.1552742,127.0354937,23.8802195
