,row_number,exp_num,subrun,N_species,N_dose,temp,row_number.1,food,sym_state,treat_ID,beetag,image_day,beetag_day_concat,image_name,beetag_exprun_day,CoralR,CoralG,CoralB,RedR,RedG,RedB,GreenR,GreenG,GreenB,BlueR,BlueG,BlueB,Red,Green,Blue,QC_or_no
1,1,2,A,A,7.5,30,1,S,A,A_7.5_30_S_A,Y23B2009,11,Y23B2009_day11,Y23B99_2A_day11.JPG,Y23B2009_exp2A_day11,158.908,130.4572,115.9924,157.1274,14.96259,34.70242,68.60942,141.1025,61.3329,71.89752,114.4296,158.6011,0.59476,0.54477,0.39054,1
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,1,A,A,10,30,2,S,A,A_10_30_S_A,R20W87,1,R20W87_day1,R20W87_1A_day1.JPG,R20W87_exp1A_day1,178.2835,156.2776,147.1199,171.6801,40.77292,46.21841,76.63741,131.9575,49.14004,106.8549,140.3038,167.5214,0.48134,0.35316,0.64182,1
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3,1,A,A,7.5,30,3,S,A,A_7.5_30_S_A,Y21B5628,1,Y21B5628_day1,Y21B56_1A_day1.JPG,Y21B5628_exp1A_day1,170.2833,144.87,125.439,178.2625,68.34589,73.75046,95.89306,138.6909,74.40471,117.2144,141.2682,170.1841,0.48845,0.48439,0.31363,1
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,1,B,A,7.5,20,4,S,A,A_7.5_20_S_A,Y23B1026,1,Y23B1026_day1,Y23B10_1B_day1.JPG,Y23B1026_exp1B_day1,166.8535,163.4363,162.4719,179.7762,35.60282,49.69873,88.54657,148.8307,67.79443,105.7791,144.9453,182.7525,0.35871,0.37812,0.65121,1
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2,A,A,7.5,30,5,S,A,A_7.5_30_S_A,Y23B1621,11,Y23B1621_day11,Y23B26_2A_day11.JPG,Y23B1621_exp2A_day11,170.4997,139.7643,117.2021,186.9953,36.6959,54.08671,91.62275,178.6169,79.5386,113.5186,167.2873,208.9757,0.54542,0.43101,0.25563,1
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,6,1,A,A,10,30,6,S,A,A_10_30_S_A,R20W88,11,R20W88_day11,R20W88_1A_day11.JPG,R20W88_exp1A_day11,171.7542,129.699,87.74027,187.273,18.81028,27.65092,84.70944,150.7311,36.64027,112.7789,147.9471,177.6497,0.50681,0.48883,0.31419,1
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,7,1,B,A,5,30,7,F,S,A_5_30_F_S,G33Y100,1,G33Y100_day1,G33Y1_1B_day1.JPG,G33Y100_exp1B_day1,176.3908,117.8563,88.67764,187.8234,24.85374,32.77402,92.56918,156.4816,50.74868,113.462,148.5761,174.8294,0.57386,0.39007,0.28642,1
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,8,1,A,A,0,30,8,F,S,CNTRL_30_F_S,B31G82,11,B31G82_day11,B31G81_1A_day11.JPG,B31G82_exp1A_day11,180.2772,154.3416,118.9612,189.3086,24.74402,35.13122,85.1745,152.5007,52.6256,96.60507,138.4815,174.4818,0.49046,0.55507,0.41563,1
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,9,3,B,A,5,20,9,S,S,A_5_20_S_S,O11G26,11,O11G26_day11,O11G26_3B_day11.JPG,O11G26_exp3B_day11,153.0014,116.4634,96.41517,190.2325,23.68099,40.83653,97.76512,174.7358,62.63393,122.1167,169.5928,201.7635,0.45263,0.32959,0.28393,1
