num,date,time,temp,light_intensity,Coupler Detached (LGR S/N: 21475268),Coupler Attached (LGR S/N: 21475268),Host Connected (LGR S/N: 21475268),Stopped (LGR S/N: 21475268),End Of File (LGR S/N: 21475268)
1,7/15/2022,10:47:09 AM,24.835,0,,,,,
2,7/15/2022,10:47:18 AM,,,Logged,,,,
3,7/15/2022,11:17:09 AM,19.948,64.6,,,,,
4,7/15/2022,11:47:09 AM,19.948,21.5,,,,,
5,7/15/2022,12:17:09 PM,19.948,64.6,,,,,
6,7/15/2022,12:47:09 PM,19.948,64.6,,,,,
7,7/15/2022,1:17:09 PM,19.948,64.6,,,,,
8,7/15/2022,1:47:09 PM,19.948,0,,,,,
9,7/15/2022,2:17:09 PM,19.948,64.6,,,,,
10,7/15/2022,2:47:09 PM,19.948,53.8,,,,,
11,7/15/2022,3:17:09 PM,19.948,32.3,,,,,
12,7/15/2022,3:47:09 PM,20.138,161.5,,,,,
13,7/15/2022,4:17:09 PM,19.948,139.9,,,,,
14,7/15/2022,4:47:09 PM,19.948,139.9,,,,,
15,7/15/2022,5:17:09 PM,19.948,139.9,,,,,
16,7/15/2022,5:47:09 PM,19.948,150.7,,,,,
17,7/15/2022,6:17:09 PM,19.948,64.6,,,,,
18,7/15/2022,6:47:09 PM,19.853,10.8,,,,,
19,7/15/2022,7:17:09 PM,19.853,0,,,,,
20,7/15/2022,7:47:09 PM,19.853,0,,,,,
21,7/15/2022,8:17:09 PM,19.853,0,,,,,
22,7/15/2022,8:47:09 PM,19.853,0,,,,,
23,7/15/2022,9:17:09 PM,19.853,0,,,,,
24,7/15/2022,9:47:09 PM,19.853,0,,,,,
25,7/15/2022,10:17:09 PM,19.853,0,,,,,
26,7/15/2022,10:47:09 PM,19.853,0,,,,,
27,7/15/2022,11:17:09 PM,19.853,0,,,,,
28,7/15/2022,11:47:09 PM,19.853,0,,,,,
29,7/16/2022,12:17:09 AM,19.853,0,,,,,
30,7/16/2022,12:47:09 AM,19.853,0,,,,,
31,7/16/2022,1:17:09 AM,19.853,0,,,,,
32,7/16/2022,1:47:09 AM,19.853,0,,,,,
33,7/16/2022,2:17:09 AM,19.853,0,,,,,
34,7/16/2022,2:47:09 AM,19.853,0,,,,,
35,7/16/2022,3:17:09 AM,19.853,0,,,,,
36,7/16/2022,3:47:09 AM,19.853,0,,,,,
37,7/16/2022,4:17:09 AM,19.853,0,,,,,
38,7/16/2022,4:47:09 AM,19.853,0,,,,,
39,7/16/2022,5:17:09 AM,19.853,0,,,,,
40,7/16/2022,5:47:09 AM,19.853,0,,,,,
