num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
4,7_26_22,1,A,1,1,D1,D1,-0.00499,-0.081947941,0.081947941,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B24G38,1A,B24G38_exp1A,152,3,0
3,7_26_22,1,A,1,0,C1,C1,-0.00299,-0.084220357,0.084220357,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B24G39,1A,B24G39_exp1A,152,3,0
3,7_26_22,1,B,1,0,C1,C1,-0.00293,-0.076521051,0.076521051,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B26G49,1B,B26G49_exp1B,178,37,0
4,7_26_22,1,B,1,1,D1,D1,-0.00152,-0.032269747,0.032269747,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B26G50,1B,B26G50_exp1B,184,37,0
3,08_15_22,2,A,1,0,C1,C1,-0.00501,-0.119535514,0.119535514,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G33,2A,B23G33_exp2A,194,67,0
4,08_15_22,2,A,1,1,D1,D1,-0.00663,-0.085719309,0.085719309,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G35,2A,B23G35_exp2A,231,67,0
3,08_20_22,2,B,1,0,C1,C1,-0.00593,-0.095456951,0.095456951,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B27G53,2B,B27G53_exp2B,170,99,0
4,08_20_22,2,B,1,1,D1,D1,-0.00418,-0.06976092,0.06976092,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B27G54,2B,B27G54_exp2B,212,99,0
3,09_01_22,3,A,1,0,C1,C1,-0.00535,-0.099212535,0.099212535,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G34,3A,B23G34_exp3A,237,131,0
4,09_01_22,3,A,1,1,D1,D1,-0.0038,-0.103630518,0.103630518,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B23G35,3A,B23G35_exp3A,237,131,0
3,09_05_22,3,B,1,0,C1,C1,-0.0044,-0.081614983,0.081614983,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,O3B13,3B,O3B13_exp3B,242,173,0
4,09_05_22,3,B,1,1,D1,D1,-0.0051,-0.084561289,0.084561289,"A_0_20_F_A
","CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,O3B14,3B,O3B14_exp3B,244,173,0
4,7_26_22,1,A,1,0,D1,D1,-0.00184,-0.03001097,0.03001097,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B24G40,1A,B24G40_exp1A,143,3,0
5,7_26_22,1,A,1,1,A2,A2,-0.00385,-0.053697984,0.053697984,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B24G42,1A,B24G42_exp1A,155,3,0
